-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               matmul_kernel_persistent         0.00%       0.000us         0.00%       0.000us       0.000us        2.310s        97.03%        2.310s     248.901us           0 B           0 B           0 B           0 B          9280  
execute_259_context_1(sq259sk259sqsq67081sqsk67081)_...         0.00%       0.000us         0.00%       0.000us       0.000us      72.268ms         3.04%      72.268ms      72.268ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      43.510ms         1.83%      43.510ms      43.510ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      40.969ms         1.72%      40.969ms      40.969ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      39.730ms         1.67%      39.730ms      39.730ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      39.571ms         1.66%      39.571ms      39.571ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      39.550ms         1.66%      39.550ms      39.550ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      39.409ms         1.66%      39.409ms      39.409ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      39.215ms         1.65%      39.215ms      39.215ms           0 B           0 B           0 B           0 B             1  
