-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               matmul_kernel_persistent         0.00%       0.000us         0.00%       0.000us       0.000us        2.428s        96.22%        2.428s     233.076us           0 B           0 B           0 B           0 B         10416            --  
execute_259_context_1(sq259sk259sqsq67081sqsk67081)_...         0.00%       0.000us         0.00%       0.000us       0.000us     169.579ms         6.72%     169.579ms      84.790ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us     105.312ms         4.17%     105.312ms      35.104ms           0 B           0 B           0 B           0 B             3            --  
execute_212_context_1(sq212sk212sqsq44944sqsk44944)_...         0.00%       0.000us         0.00%       0.000us       0.000us      97.603ms         3.87%      97.603ms      97.603ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      71.261ms         2.82%      71.261ms      35.631ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      71.208ms         2.82%      71.208ms      35.604ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      71.168ms         2.82%      71.168ms      35.584ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      71.129ms         2.82%      71.129ms      35.565ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      71.093ms         2.82%      71.093ms      35.547ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      71.057ms         2.82%      71.057ms      35.529ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      70.870ms         2.81%      70.870ms      35.435ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      70.262ms         2.78%      70.262ms      35.131ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      70.222ms         2.78%      70.222ms      35.111ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      70.178ms         2.78%      70.178ms      35.089ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      70.104ms         2.78%      70.104ms      35.052ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.958ms         2.77%      69.958ms      34.979ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.912ms         2.77%      69.912ms      34.956ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.892ms         2.77%      69.892ms      34.946ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.853ms         2.77%      69.853ms      34.926ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.808ms         2.77%      69.808ms      34.904ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.680ms         2.76%      69.680ms      34.840ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.520ms         2.76%      69.520ms      34.760ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.448ms         2.75%      69.448ms      34.724ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      67.116ms         2.66%      67.116ms      33.558ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.448ms         2.63%      66.448ms      33.224ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.417ms         2.63%      66.417ms      33.209ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      39.757ms         1.58%      39.757ms      39.757ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.534ms         1.41%      35.534ms      35.534ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.417ms         1.40%      35.417ms      35.417ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.408ms         1.40%      35.408ms      35.408ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.963ms         1.39%      34.963ms      34.963ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.909ms         1.38%      34.909ms      34.909ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.902ms         1.38%      34.902ms      34.902ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.675ms         1.37%      34.675ms      34.675ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.533ms         1.33%      33.533ms      33.533ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.222ms         1.32%      33.222ms      33.222ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.102ms         1.31%      33.102ms      33.102ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.062ms         1.31%      33.062ms      33.062ms           0 B           0 B           0 B           0 B             1            --  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      23.583ms         0.93%      23.583ms      10.566us           0 B           0 B           0 B           0 B          2232            --  
std::enable_if<((0)==(0))||(!vllm::_typeConvert<c10:...         0.00%       0.000us         0.00%       0.000us       0.000us      18.102ms         0.72%      18.102ms       3.561us           0 B           0 B           0 B           0 B          5084            --  
                                       _rms_norm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.757ms         0.39%       9.757ms       1.873us           0 B           0 B           0 B           0 B          5208            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       8.853ms         0.35%       8.853ms       1.720us           0 B           0 B           0 B           0 B          5146            --  
                                           aten::linear         0.63%      15.389ms         0.79%      19.416ms     313.164us       8.749ms         0.35%       8.749ms     141.111us           0 B           0 B      32.70 MB           0 B            62            --  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       8.393ms         0.33%       8.393ms       3.302us           0 B           0 B           0 B           0 B          2542            --  
void vllm::rotary_embedding_kernel<c10::BFloat16, c1...         0.00%       0.000us         0.00%       0.000us       0.000us       6.833ms         0.27%       6.833ms       2.624us           0 B           0 B           0 B           0 B          2604            --  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.295ms         0.21%       5.295ms       1.857us           0 B           0 B           0 B           0 B          2852            --  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       3.232ms         0.13%       3.232ms      10.427us           0 B           0 B           0 B           0 B           310            --  
                     _compute_local_logits_stats_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.993ms         0.08%       1.993ms      33.785us           0 B           0 B           0 B           0 B            59            --  
                                       _resample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.888ms         0.07%       1.888ms      32.007us           0 B           0 B           0 B           0 B            59            --  
                                 _C::fused_add_rms_norm         0.16%       3.860ms         0.27%       6.597ms      30.540us       1.550ms         0.06%       1.550ms       7.177us           0 B           0 B           0 B           0 B           216            --  
                                            aten::copy_         0.80%      19.690ms         1.49%      36.632ms      34.855us       1.361ms         0.05%       1.361ms       1.295us           0 B           0 B           0 B           0 B          1051            --  
                                _vllm_fa2_C::varlen_fwd         0.22%       5.495ms         0.44%      10.815ms     100.135us       1.314ms         0.05%       1.314ms      12.167us           0 B           0 B       3.22 MB           0 B           108            --  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.234ms         0.05%       1.234ms      10.197us           0 B           0 B           0 B           0 B           121            --  
                                       _C::silu_and_mul         0.07%       1.640ms         0.13%       3.129ms      28.970us       1.186ms         0.05%       1.186ms      10.981us           0 B           0 B           0 B           0 B           108            --  
                  _C_cache_ops::reshape_and_cache_flash         0.36%       8.709ms         0.65%      15.831ms      37.874us     783.556us         0.03%     783.556us       1.875us           0 B           0 B           0 B           0 B           418            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     749.833us         0.03%     749.833us      12.094us           0 B           0 B           0 B           0 B            62            --  
                                       cuLaunchKernelEx         1.19%      29.243ms         1.19%      29.243ms      18.231us     735.778us         0.03%     735.778us       0.459us           0 B           0 B           0 B           0 B          1604            --  
                                            aten::index         0.62%      15.280ms         1.01%      24.803ms     100.011us     624.129us         0.02%     624.129us       2.517us           0 B           0 B       7.49 MB       7.49 MB           248            --  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     510.852us         0.02%     510.852us       1.228us           0 B           0 B           0 B           0 B           416            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     494.858us         0.02%     494.858us       1.596us           0 B           0 B           0 B           0 B           310            --  
                                   _C::rotary_embedding         0.17%       4.214ms         0.28%       6.987ms      41.100us     466.911us         0.02%     466.911us       2.747us           0 B           0 B           0 B           0 B           170            --  
                                      _rejection_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     355.071us         0.01%     355.071us       6.018us           0 B           0 B           0 B           0 B            59            --  
                          _prepare_dflash_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     318.720us         0.01%     318.720us       5.141us           0 B           0 B           0 B           0 B            62            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     299.747us         0.01%     299.747us       2.417us           0 B           0 B           0 B           0 B           124            --  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     292.872us         0.01%     292.872us       1.362us           0 B           0 B           0 B           0 B           215            --  
