-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               matmul_kernel_persistent         0.00%       0.000us         0.00%       0.000us       0.000us        2.430s        96.32%        2.430s     233.303us           0 B           0 B           0 B           0 B         10416            --  
execute_259_context_1(sq259sk259sqsq67081sqsk67081)_...         0.00%       0.000us         0.00%       0.000us       0.000us     161.405ms         6.40%     161.405ms      80.702ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us     106.017ms         4.20%     106.017ms      35.339ms           0 B           0 B           0 B           0 B             3            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us     105.947ms         4.20%     105.947ms      35.316ms           0 B           0 B           0 B           0 B             3            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us     101.032ms         4.00%     101.032ms      33.677ms           0 B           0 B           0 B           0 B             3            --  
execute_212_context_1(sq212sk212sqsq44944sqsk44944)_...         0.00%       0.000us         0.00%       0.000us       0.000us      91.595ms         3.63%      91.595ms      91.595ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      74.723ms         2.96%      74.723ms      37.362ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      72.937ms         2.89%      72.937ms      36.469ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      71.584ms         2.84%      71.584ms      35.792ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      71.215ms         2.82%      71.215ms      35.607ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      70.794ms         2.81%      70.794ms      35.397ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      70.788ms         2.81%      70.788ms      35.394ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      70.730ms         2.80%      70.730ms      35.365ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.917ms         2.77%      69.917ms      34.958ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.797ms         2.77%      69.797ms      34.899ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.722ms         2.76%      69.722ms      34.861ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.708ms         2.76%      69.708ms      34.854ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.561ms         2.76%      69.561ms      34.780ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.519ms         2.76%      69.519ms      34.760ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      68.768ms         2.73%      68.768ms      34.384ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.535ms         2.64%      66.535ms      33.267ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.518ms         2.64%      66.518ms      33.259ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      43.405ms         1.72%      43.405ms      43.405ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.793ms         1.42%      35.793ms      35.793ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.686ms         1.41%      35.686ms      35.686ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.477ms         1.41%      35.477ms      35.477ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.411ms         1.40%      35.411ms      35.411ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.360ms         1.40%      35.360ms      35.360ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.235ms         1.40%      35.235ms      35.235ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.211ms         1.40%      35.211ms      35.211ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.916ms         1.38%      34.916ms      34.916ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.828ms         1.38%      34.828ms      34.828ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.785ms         1.38%      34.785ms      34.785ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.685ms         1.37%      34.685ms      34.685ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.668ms         1.37%      34.668ms      34.668ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.496ms         1.37%      34.496ms      34.496ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.157ms         1.35%      34.157ms      34.157ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.162ms         1.31%      33.162ms      33.162ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.140ms         1.31%      33.140ms      33.140ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.138ms         1.31%      33.138ms      33.138ms           0 B           0 B           0 B           0 B             1            --  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      23.967ms         0.95%      23.967ms      10.738us           0 B           0 B           0 B           0 B          2232            --  
std::enable_if<((0)==(0))||(!vllm::_typeConvert<c10:...         0.00%       0.000us         0.00%       0.000us       0.000us      18.083ms         0.72%      18.083ms       3.557us           0 B           0 B           0 B           0 B          5084            --  
                                       _rms_norm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.740ms         0.39%       9.740ms       1.870us           0 B           0 B           0 B           0 B          5208            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       8.887ms         0.35%       8.887ms       1.727us           0 B           0 B           0 B           0 B          5146            --  
                                           aten::linear         0.60%      14.852ms         0.76%      18.831ms     303.724us       8.750ms         0.35%       8.750ms     141.129us           0 B           0 B      32.70 MB           0 B            62            --  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       8.415ms         0.33%       8.415ms       3.310us           0 B           0 B           0 B           0 B          2542            --  
void vllm::rotary_embedding_kernel<c10::BFloat16, c1...         0.00%       0.000us         0.00%       0.000us       0.000us       6.823ms         0.27%       6.823ms       2.620us           0 B           0 B           0 B           0 B          2604            --  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.292ms         0.21%       5.292ms       1.856us           0 B           0 B           0 B           0 B          2852            --  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       3.288ms         0.13%       3.288ms      10.608us           0 B           0 B           0 B           0 B           310            --  
                                 _C::fused_add_rms_norm         0.14%       3.558ms         0.24%       6.010ms      27.824us       1.546ms         0.06%       1.546ms       7.159us           0 B           0 B           0 B           0 B           216            --  
                                _vllm_fa2_C::varlen_fwd         0.20%       4.903ms         0.40%       9.844ms      91.150us       1.315ms         0.05%       1.315ms      12.180us           0 B           0 B       3.22 MB           0 B           108            --  
                                            aten::copy_         0.79%      19.377ms         1.46%      36.011ms      34.134us       1.283ms         0.05%       1.283ms       1.216us           0 B           0 B           0 B           0 B          1055            --  
                                       _C::silu_and_mul         0.06%       1.508ms         0.12%       2.844ms      26.333us       1.193ms         0.05%       1.193ms      11.043us           0 B           0 B           0 B           0 B           108            --  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.190ms         0.05%       1.190ms       9.835us           0 B           0 B           0 B           0 B           121            --  
                  _C_cache_ops::reshape_and_cache_flash         0.35%       8.697ms         0.64%      15.757ms      37.695us     787.023us         0.03%     787.023us       1.883us           0 B           0 B           0 B           0 B           418            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     764.399us         0.03%     764.399us      12.329us           0 B           0 B           0 B           0 B            62            --  
                                            aten::index         0.60%      14.831ms         0.97%      23.756ms      95.792us     635.624us         0.03%     635.624us       2.563us           0 B           0 B       7.49 MB       7.49 MB           248            --  
                                       cuLaunchKernelEx         1.14%      28.071ms         1.14%      28.071ms      17.457us     624.042us         0.02%     624.042us       0.388us           0 B           0 B           0 B           0 B          1608            --  
                     _compute_local_logits_stats_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     560.521us         0.02%     560.521us       9.500us           0 B           0 B           0 B           0 B            59            --  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     514.278us         0.02%     514.278us       1.236us           0 B           0 B           0 B           0 B           416            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     491.303us         0.02%     491.303us       1.585us           0 B           0 B           0 B           0 B           310            --  
                                   _C::rotary_embedding         0.15%       3.759ms         0.26%       6.374ms      37.496us     465.987us         0.02%     465.987us       2.741us           0 B           0 B           0 B           0 B           170            --  
                                      _rejection_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     369.321us         0.01%     369.321us       6.260us           0 B           0 B           0 B           0 B            59            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     309.510us         0.01%     309.510us       2.496us           0 B           0 B           0 B           0 B           124            --  
                          _prepare_dflash_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     293.223us         0.01%     293.223us       4.729us           0 B           0 B           0 B           0 B            62            --  
