-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               matmul_kernel_persistent         0.00%       0.000us         0.00%       0.000us       0.000us        2.518s        96.41%        2.518s     245.725us           0 B           0 B           0 B           0 B         10248            --  
execute_259_context_1(sq259sk259sqsq67081sqsk67081)_...         0.00%       0.000us         0.00%       0.000us       0.000us     142.810ms         5.47%     142.810ms      71.405ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us     100.016ms         3.83%     100.016ms      33.339ms           0 B           0 B           0 B           0 B             3            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      99.997ms         3.83%      99.997ms      33.332ms           0 B           0 B           0 B           0 B             3            --  
execute_181_context_1(sq181sk181sqsq32761sqsk32761)_...         0.00%       0.000us         0.00%       0.000us       0.000us      97.505ms         3.73%      97.505ms      97.505ms           0 B           0 B           0 B           0 B             1            --  
execute_212_context_1(sq212sk212sqsq44944sqsk44944)_...         0.00%       0.000us         0.00%       0.000us       0.000us      96.064ms         3.68%      96.064ms      96.064ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      71.339ms         2.73%      71.339ms      35.670ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      67.275ms         2.58%      67.275ms      33.637ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.760ms         2.56%      66.760ms      33.380ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.707ms         2.55%      66.707ms      33.354ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.707ms         2.55%      66.707ms      33.354ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.616ms         2.55%      66.616ms      33.308ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.518ms         2.55%      66.518ms      33.259ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.508ms         2.55%      66.508ms      33.254ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.497ms         2.55%      66.497ms      33.249ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.495ms         2.55%      66.495ms      33.248ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.489ms         2.55%      66.489ms      33.244ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.469ms         2.54%      66.469ms      33.235ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.332ms         2.54%      66.332ms      33.166ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      37.789ms         1.45%      37.789ms      37.789ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.328ms         1.28%      33.328ms      33.328ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.322ms         1.28%      33.322ms      33.322ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.274ms         1.27%      33.274ms      33.274ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.246ms         1.27%      33.246ms      33.246ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.243ms         1.27%      33.243ms      33.243ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.214ms         1.27%      33.214ms      33.214ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.205ms         1.27%      33.205ms      33.205ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.201ms         1.27%      33.201ms      33.201ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.199ms         1.27%      33.199ms      33.199ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.190ms         1.27%      33.190ms      33.190ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.190ms         1.27%      33.190ms      33.190ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.184ms         1.27%      33.184ms      33.184ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.180ms         1.27%      33.180ms      33.180ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.176ms         1.27%      33.176ms      33.176ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.175ms         1.27%      33.175ms      33.175ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.168ms         1.27%      33.168ms      33.168ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.160ms         1.27%      33.160ms      33.160ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.154ms         1.27%      33.154ms      33.154ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.149ms         1.27%      33.149ms      33.149ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.144ms         1.27%      33.144ms      33.144ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.133ms         1.27%      33.133ms      33.133ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.127ms         1.27%      33.127ms      33.127ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.103ms         1.27%      33.103ms      33.103ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.101ms         1.27%      33.101ms      33.101ms           0 B           0 B           0 B           0 B             1            --  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      22.756ms         0.87%      22.756ms      10.362us           0 B           0 B           0 B           0 B          2196            --  
std::enable_if<((0)==(0))||(!vllm::_typeConvert<c10:...         0.00%       0.000us         0.00%       0.000us       0.000us      18.457ms         0.71%      18.457ms       3.690us           0 B           0 B           0 B           0 B          5002            --  
                                           aten::linear         0.54%      13.581ms         0.68%      17.052ms     279.543us      12.526ms         0.48%      12.526ms     205.339us           0 B           0 B      35.61 MB           0 B            61            --  
                                       _rms_norm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.820ms         0.38%       9.820ms       1.916us           0 B           0 B           0 B           0 B          5124            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       8.786ms         0.34%       8.786ms       1.735us           0 B           0 B           0 B           0 B          5063            --  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       8.588ms         0.33%       8.588ms       3.434us           0 B           0 B           0 B           0 B          2501            --  
void vllm::rotary_embedding_kernel<c10::BFloat16, c1...         0.00%       0.000us         0.00%       0.000us       0.000us       6.766ms         0.26%       6.766ms       2.641us           0 B           0 B           0 B           0 B          2562            --  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.235ms         0.20%       5.235ms       1.866us           0 B           0 B           0 B           0 B          2806            --  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       3.148ms         0.12%       3.148ms      10.322us           0 B           0 B           0 B           0 B           305            --  
                                 _C::fused_add_rms_norm         0.19%       4.693ms         0.32%       8.106ms      28.147us       2.046ms         0.08%       2.046ms       7.105us           0 B           0 B           0 B           0 B           288            --  
                                _vllm_fa2_C::varlen_fwd         0.26%       6.590ms         0.53%      13.200ms      91.665us       1.598ms         0.06%       1.598ms      11.095us           0 B           0 B       4.03 MB           0 B           144            --  
                                            aten::copy_         0.77%      19.401ms         1.44%      36.105ms      32.150us       1.514ms         0.06%       1.514ms       1.348us           0 B           0 B           0 B           0 B          1123            --  
                                       _C::silu_and_mul         0.08%       1.976ms         0.15%       3.769ms      26.175us       1.496ms         0.06%       1.496ms      10.386us           0 B           0 B           0 B           0 B           144            --  
                     _compute_local_logits_stats_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.354ms         0.05%       1.354ms      23.746us           0 B           0 B           0 B           0 B            57            --  
                                       _resample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.274ms         0.05%       1.274ms      22.347us           0 B           0 B           0 B           0 B            57            --  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.193ms         0.05%       1.193ms      10.108us           0 B           0 B           0 B           0 B           118            --  
                  _C_cache_ops::reshape_and_cache_flash         0.34%       8.474ms         0.62%      15.527ms      34.581us     855.776us         0.03%     855.776us       1.906us           0 B           0 B           0 B           0 B           449            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     751.974us         0.03%     751.974us      12.327us           0 B           0 B           0 B           0 B            61            --  
                                            aten::index         0.53%      13.372ms         0.85%      21.455ms      87.932us     617.793us         0.02%     617.793us       2.532us           0 B           0 B       7.25 MB       7.25 MB           244            --  
                                   _C::rotary_embedding         0.18%       4.407ms         0.29%       7.407ms      36.133us     586.276us         0.02%     586.276us       2.860us           0 B           0 B           0 B           0 B           205            --  
