-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               matmul_kernel_persistent         0.00%       0.000us         0.00%       0.000us       0.000us        2.386s        96.31%        2.386s     232.873us           0 B           0 B           0 B           0 B         10248            --  
execute_259_context_1(sq259sk259sqsq67081sqsk67081)_...         0.00%       0.000us         0.00%       0.000us       0.000us     165.420ms         6.68%     165.420ms      82.710ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us     105.307ms         4.25%     105.307ms      35.102ms           0 B           0 B           0 B           0 B             3            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us     101.245ms         4.09%     101.245ms      33.748ms           0 B           0 B           0 B           0 B             3            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us     100.930ms         4.07%     100.930ms      33.643ms           0 B           0 B           0 B           0 B             3            --  
execute_181_context_1(sq181sk181sqsq32761sqsk32761)_...         0.00%       0.000us         0.00%       0.000us       0.000us      94.527ms         3.81%      94.527ms      94.527ms           0 B           0 B           0 B           0 B             1            --  
execute_212_context_1(sq212sk212sqsq44944sqsk44944)_...         0.00%       0.000us         0.00%       0.000us       0.000us      94.403ms         3.81%      94.403ms      94.403ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      70.493ms         2.84%      70.493ms      35.246ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      70.173ms         2.83%      70.173ms      35.087ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      70.087ms         2.83%      70.087ms      35.044ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.905ms         2.82%      69.905ms      34.953ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      69.861ms         2.82%      69.861ms      34.931ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      68.903ms         2.78%      68.903ms      34.451ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      68.785ms         2.78%      68.785ms      34.392ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      68.264ms         2.75%      68.264ms      34.132ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      67.399ms         2.72%      67.399ms      33.699ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      67.192ms         2.71%      67.192ms      33.596ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      66.415ms         2.68%      66.415ms      33.208ms           0 B           0 B           0 B           0 B             2            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      39.907ms         1.61%      39.907ms      39.907ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      39.366ms         1.59%      39.366ms      39.366ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.298ms         1.42%      35.298ms      35.298ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.237ms         1.42%      35.237ms      35.237ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.188ms         1.42%      35.188ms      35.188ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.106ms         1.42%      35.106ms      35.106ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.084ms         1.42%      35.084ms      35.084ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      35.008ms         1.41%      35.008ms      35.008ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.864ms         1.41%      34.864ms      34.864ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.825ms         1.41%      34.825ms      34.825ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.571ms         1.40%      34.571ms      34.571ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.514ms         1.39%      34.514ms      34.514ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.502ms         1.39%      34.502ms      34.502ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.476ms         1.39%      34.476ms      34.476ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.369ms         1.39%      34.369ms      34.369ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.353ms         1.39%      34.353ms      34.353ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.318ms         1.38%      34.318ms      34.318ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.170ms         1.38%      34.170ms      34.170ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.146ms         1.38%      34.146ms      34.146ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.136ms         1.38%      34.136ms      34.136ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      34.134ms         1.38%      34.134ms      34.134ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.894ms         1.37%      33.894ms      33.894ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.221ms         1.34%      33.221ms      33.221ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.177ms         1.34%      33.177ms      33.177ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.164ms         1.34%      33.164ms      33.164ms           0 B           0 B           0 B           0 B             1            --  
execute_16_context_0(sq0sk0sqsq0sqsk0)_generation_1(...         0.00%       0.000us         0.00%       0.000us       0.000us      33.135ms         1.34%      33.135ms      33.135ms           0 B           0 B           0 B           0 B             1            --  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      22.096ms         0.89%      22.096ms      10.062us           0 B           0 B           0 B           0 B          2196            --  
std::enable_if<((0)==(0))||(!vllm::_typeConvert<c10:...         0.00%       0.000us         0.00%       0.000us       0.000us      18.037ms         0.73%      18.037ms       3.606us           0 B           0 B           0 B           0 B          5002            --  
                                       _rms_norm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.758ms         0.39%       9.758ms       1.904us           0 B           0 B           0 B           0 B          5124            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       8.771ms         0.35%       8.771ms       1.732us           0 B           0 B           0 B           0 B          5063            --  
                                           aten::linear         0.57%      13.944ms         0.72%      17.747ms     290.937us       8.674ms         0.35%       8.674ms     142.198us           0 B           0 B      35.61 MB           0 B            61            --  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       8.474ms         0.34%       8.474ms       3.388us           0 B           0 B           0 B           0 B          2501            --  
void vllm::rotary_embedding_kernel<c10::BFloat16, c1...         0.00%       0.000us         0.00%       0.000us       0.000us       6.754ms         0.27%       6.754ms       2.636us           0 B           0 B           0 B           0 B          2562            --  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.232ms         0.21%       5.232ms       1.865us           0 B           0 B           0 B           0 B          2806            --  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       3.041ms         0.12%       3.041ms       9.971us           0 B           0 B           0 B           0 B           305            --  
                                 _C::fused_add_rms_norm         0.20%       5.000ms         0.34%       8.463ms      29.386us       2.017ms         0.08%       2.017ms       7.003us           0 B           0 B           0 B           0 B           288            --  
                                _vllm_fa2_C::varlen_fwd         0.30%       7.274ms         0.58%      14.288ms      99.224us       1.593ms         0.06%       1.593ms      11.061us           0 B           0 B       4.03 MB           0 B           144            --  
                                       _C::silu_and_mul         0.09%       2.137ms         0.16%       4.004ms      27.807us       1.497ms         0.06%       1.497ms      10.394us           0 B           0 B           0 B           0 B           144            --  
                                            aten::copy_         0.81%      19.920ms         1.49%      36.733ms      32.768us       1.466ms         0.06%       1.466ms       1.307us           0 B           0 B           0 B           0 B          1121            --  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.210ms         0.05%       1.210ms      10.256us           0 B           0 B           0 B           0 B           118            --  
                     _compute_local_logits_stats_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     978.564us         0.04%     978.564us      17.168us           0 B           0 B           0 B           0 B            57            --  
                                       _resample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     882.570us         0.04%     882.570us      15.484us           0 B           0 B           0 B           0 B            57            --  
                  _C_cache_ops::reshape_and_cache_flash         0.37%       9.245ms         0.67%      16.481ms      36.707us     856.806us         0.03%     856.806us       1.908us           0 B           0 B           0 B           0 B           449            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     739.622us         0.03%     739.622us      12.125us           0 B           0 B           0 B           0 B            61            --  
                                            aten::index         0.57%      14.067ms         0.91%      22.353ms      91.609us     615.780us         0.02%     615.780us       2.524us           0 B           0 B       7.25 MB       7.25 MB           244            --  
                                   _C::rotary_embedding         0.18%       4.526ms         0.31%       7.535ms      36.758us     583.301us         0.02%     583.301us       2.845us           0 B           0 B           0 B           0 B           205            --  
