family,method,tps_mean,ar_tps_mean,original_tps_mean,zip_tps_mean,speedup_ar,speedup_original,speedup_zip
cross,cross/dense_fusion/ce,1209.617123516306,1115.5579857895318,1115.8973269545231,1044.8098814505029,1.084314954923205,1.0839802469014652,1.1577402615005077
cross,cross/five_ba56/auf,1306.9500985339266,1115.5579857895318,1115.8973269545231,1044.8098814505029,1.1715585153361605,1.171193782931759,1.2509067367614646
cross,cross/five_ba56/ce,1248.692813784155,1116.121739727274,1104.8169700227952,1029.3036862830236,1.1188800481119394,1.1306395752820841,1.2132359454397694
cross,cross/five_maps/auf,1530.9680407041494,1116.121739727274,1104.8169700227952,1029.3036862830236,1.371715130999313,1.385994517105698,1.4874143023162594
cross,cross/five_maps/ce,1443.6098489973554,1105.8832829106295,1120.953670767695,1058.3402120348126,1.305338915576851,1.2882290489664006,1.3642328129592647
llama,llama/dense_fusion/auf,4651.668628829049,1586.6992120231896,4141.609742108507,4196.707481506769,2.931732671576518,1.123156027770054,1.1084097759548555
llama,llama/dense_fusion/ce,4585.188606145241,1584.0579478890756,4100.771681034968,4165.140952195881,2.8948372523338595,1.1181407068041884,1.1008545635764095
llama,llama/five_ba56/auf,4579.174944939022,1584.0579478890756,4100.771681034968,4165.140952195881,2.8910100242506878,1.116673876134496,1.0994140266174757
llama,llama/five_ba56/ce,4479.726873232717,1586.6992120231896,4141.609742108507,4196.707481506769,2.8233638073699585,1.0816398917178662,1.0674388729056252
llama,llama/five_maps/auf,4672.536381005796,1586.6992120231896,4141.609742108507,4196.707481506769,2.944891526503987,1.1281963705767364,1.1133832040098184
llama,llama/five_maps/ce,4546.164203016537,1584.0579478890756,4100.771681034968,4165.140952195881,2.8702290284779663,1.1086214729487625,1.0914797456999485
llama,llama/normal_ce/ce,4541.297958887158,1584.0579478890756,4100.771681034968,4165.140952195881,2.867056193349093,1.1074319126831504,1.0903209182667237
q8,q8/dense_fusion/auf,2844.8088907254833,1236.88786659987,2659.434698641017,2674.361795824904,2.299972546515144,1.0697348541129523,1.0637365370046334
q8,q8/dense_fusion/ce,2842.578962590616,1236.9483190397373,2764.0948896698087,2768.1851062155297,2.298105465158305,1.0283900584968242,1.0268727098865986
q8,q8/five_ba56/auf,2822.125851012177,1236.88786659987,2659.434698641017,2674.361795824904,2.2816344643060917,1.0612091048964705,1.0552544729026638
q8,q8/five_ba56/ce,2819.9779267298186,1236.9483190397373,2764.0948896698087,2768.1851062155297,2.2798052061170013,1.020218641726718,1.0187101161231658
q8,q8/five_maps/auf,2788.592047018034,1236.9483190397373,2764.0948896698087,2768.1851062155297,2.254425500999007,1.008864817621067,1.0073724046426218
q8,q8/five_maps/ce,2685.6879660333143,1229.261160972721,2696.2150551803297,2691.99926984591,2.184810715680991,0.9960958674224195,0.9976805396500062
q8,q8/normal_ce/ce,2758.1505848916295,1236.88786659987,2659.434698641017,2674.361795824904,2.2299043056845176,1.0371368884661343,1.0313353219069943
