timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/08 16:23:20.501, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 16:23:20.502, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 16:23:20.502, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 16:23:20.502, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 16:23:30.504, 0, NVIDIA L40S, 17 %, 1899 MiB
2026/09/08 16:23:30.519, 1, NVIDIA L40S, 0 %, 1 MiB
2026/09/08 16:23:30.519, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/08 16:23:30.519, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/08 16:23:40.520, 0, NVIDIA L40S, 97 %, 18397 MiB
2026/09/08 16:23:40.520, 1, NVIDIA L40S, 96 %, 18397 MiB
2026/09/08 16:23:40.520, 2, NVIDIA L40S, 98 %, 18397 MiB
2026/09/08 16:23:40.520, 3, NVIDIA L40S, 97 %, 18397 MiB
2026/09/08 16:23:50.522, 0, NVIDIA L40S, 98 %, 18415 MiB
2026/09/08 16:23:50.522, 1, NVIDIA L40S, 97 %, 18415 MiB
2026/09/08 16:23:50.522, 2, NVIDIA L40S, 97 %, 18415 MiB
2026/09/08 16:23:50.522, 3, NVIDIA L40S, 97 %, 18415 MiB
2026/09/08 16:24:00.523, 0, NVIDIA L40S, 93 %, 18481 MiB
2026/09/08 16:24:00.523, 1, NVIDIA L40S, 92 %, 18481 MiB
2026/09/08 16:24:00.523, 2, NVIDIA L40S, 98 %, 20475 MiB
2026/09/08 16:24:00.523, 3, NVIDIA L40S, 98 %, 20137 MiB
2026/09/08 16:24:10.524, 0, NVIDIA L40S, 95 %, 18549 MiB
2026/09/08 16:24:10.524, 1, NVIDIA L40S, 95 %, 18549 MiB
2026/09/08 16:24:10.524, 2, NVIDIA L40S, 93 %, 20527 MiB
2026/09/08 16:24:10.525, 3, NVIDIA L40S, 95 %, 20175 MiB
2026/09/08 16:24:20.526, 0, NVIDIA L40S, 95 %, 18551 MiB
2026/09/08 16:24:20.526, 1, NVIDIA L40S, 93 %, 18551 MiB
2026/09/08 16:24:20.526, 2, NVIDIA L40S, 95 %, 20527 MiB
2026/09/08 16:24:20.526, 3, NVIDIA L40S, 94 %, 20175 MiB
2026/09/08 16:24:30.527, 0, NVIDIA L40S, 98 %, 18551 MiB
2026/09/08 16:24:30.527, 1, NVIDIA L40S, 94 %, 18551 MiB
2026/09/08 16:24:30.527, 2, NVIDIA L40S, 98 %, 20529 MiB
2026/09/08 16:24:30.527, 3, NVIDIA L40S, 98 %, 20175 MiB
2026/09/08 16:24:40.528, 0, NVIDIA L40S, 94 %, 18551 MiB
2026/09/08 16:24:40.528, 1, NVIDIA L40S, 92 %, 18551 MiB
2026/09/08 16:24:40.529, 2, NVIDIA L40S, 93 %, 20529 MiB
2026/09/08 16:24:40.529, 3, NVIDIA L40S, 93 %, 20175 MiB
2026/09/08 16:24:50.530, 0, NVIDIA L40S, 94 %, 18551 MiB
2026/09/08 16:24:50.530, 1, NVIDIA L40S, 98 %, 18551 MiB
2026/09/08 16:24:50.530, 2, NVIDIA L40S, 92 %, 20529 MiB
2026/09/08 16:24:50.530, 3, NVIDIA L40S, 92 %, 20175 MiB
2026/09/08 16:25:00.531, 0, NVIDIA L40S, 98 %, 18551 MiB
2026/09/08 16:25:00.531, 1, NVIDIA L40S, 98 %, 18551 MiB
2026/09/08 16:25:00.531, 2, NVIDIA L40S, 93 %, 20531 MiB
2026/09/08 16:25:00.531, 3, NVIDIA L40S, 91 %, 20175 MiB
2026/09/08 16:25:10.532, 0, NVIDIA L40S, 98 %, 18551 MiB
2026/09/08 16:25:10.532, 1, NVIDIA L40S, 98 %, 18551 MiB
2026/09/08 16:25:10.532, 2, NVIDIA L40S, 98 %, 20531 MiB
2026/09/08 16:25:10.532, 3, NVIDIA L40S, 98 %, 20177 MiB
2026/09/08 16:25:20.533, 0, NVIDIA L40S, 93 %, 18551 MiB
2026/09/08 16:25:20.533, 1, NVIDIA L40S, 94 %, 18551 MiB
2026/09/08 16:25:20.533, 2, NVIDIA L40S, 94 %, 20531 MiB
2026/09/08 16:25:20.533, 3, NVIDIA L40S, 98 %, 20177 MiB
2026/09/08 16:25:30.534, 0, NVIDIA L40S, 98 %, 18551 MiB
2026/09/08 16:25:30.534, 1, NVIDIA L40S, 97 %, 18551 MiB
2026/09/08 16:25:30.534, 2, NVIDIA L40S, 93 %, 20531 MiB
2026/09/08 16:25:30.534, 3, NVIDIA L40S, 94 %, 20177 MiB
