timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 21:11:40.067, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 21:11:40.068, 1, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 21:11:40.068, 2, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 21:11:40.068, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 21:11:50.070, 0, NVIDIA L40S, 58 %, 18877 MiB
2026/09/06 21:11:50.070, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 21:11:50.070, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 21:11:50.070, 3, NVIDIA L40S, 55 %, 18809 MiB
2026/09/06 21:12:00.071, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 21:12:00.071, 1, NVIDIA L40S, 81 %, 18739 MiB
2026/09/06 21:12:00.071, 2, NVIDIA L40S, 73 %, 18885 MiB
2026/09/06 21:12:00.071, 3, NVIDIA L40S, 100 %, 3 MiB
