timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 16:50:56.223, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 16:50:56.223, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 16:50:56.223, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 16:50:56.224, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 16:51:06.225, 0, NVIDIA L40S, 30 %, 21719 MiB
2026/09/05 16:51:06.225, 1, NVIDIA L40S, 24 %, 18739 MiB
2026/09/05 16:51:06.225, 2, NVIDIA L40S, 21 %, 17309 MiB
2026/09/05 16:51:06.225, 3, NVIDIA L40S, 21 %, 17309 MiB
2026/09/05 16:51:16.226, 0, NVIDIA L40S, 98 %, 38489 MiB
2026/09/05 16:51:16.226, 1, NVIDIA L40S, 79 %, 38609 MiB
2026/09/05 16:51:16.226, 2, NVIDIA L40S, 93 %, 38517 MiB
2026/09/05 16:51:16.227, 3, NVIDIA L40S, 97 %, 38509 MiB
2026/09/05 16:51:26.228, 0, NVIDIA L40S, 79 %, 38507 MiB
2026/09/05 16:51:26.228, 1, NVIDIA L40S, 84 %, 38931 MiB
2026/09/05 16:51:26.228, 2, NVIDIA L40S, 92 %, 38585 MiB
2026/09/05 16:51:26.228, 3, NVIDIA L40S, 79 %, 38533 MiB
2026/09/05 16:51:36.229, 0, NVIDIA L40S, 87 %, 38577 MiB
2026/09/05 16:51:36.229, 1, NVIDIA L40S, 97 %, 38931 MiB
2026/09/05 16:51:36.229, 2, NVIDIA L40S, 87 %, 38803 MiB
2026/09/05 16:51:36.229, 3, NVIDIA L40S, 80 %, 38665 MiB
2026/09/05 16:51:46.230, 0, NVIDIA L40S, 90 %, 38577 MiB
2026/09/05 16:51:46.231, 1, NVIDIA L40S, 98 %, 38931 MiB
2026/09/05 16:51:46.231, 2, NVIDIA L40S, 93 %, 38867 MiB
2026/09/05 16:51:46.231, 3, NVIDIA L40S, 98 %, 38673 MiB
2026/09/05 16:51:56.232, 0, NVIDIA L40S, 80 %, 39011 MiB
2026/09/05 16:51:56.232, 1, NVIDIA L40S, 98 %, 38931 MiB
2026/09/05 16:51:56.232, 2, NVIDIA L40S, 99 %, 38891 MiB
2026/09/05 16:51:56.232, 3, NVIDIA L40S, 93 %, 38673 MiB
2026/09/05 16:52:06.233, 0, NVIDIA L40S, 98 %, 39011 MiB
2026/09/05 16:52:06.233, 1, NVIDIA L40S, 92 %, 38931 MiB
2026/09/05 16:52:06.233, 2, NVIDIA L40S, 98 %, 38891 MiB
2026/09/05 16:52:06.233, 3, NVIDIA L40S, 98 %, 38793 MiB
2026/09/05 16:52:16.234, 0, NVIDIA L40S, 98 %, 39011 MiB
2026/09/05 16:52:16.235, 1, NVIDIA L40S, 78 %, 38931 MiB
2026/09/05 16:52:16.443, 2, NVIDIA L40S, 98 %, 38891 MiB
2026/09/05 16:52:16.444, 3, NVIDIA L40S, 98 %, 38793 MiB
2026/09/05 16:52:26.445, 0, NVIDIA L40S, 77 %, 39011 MiB
2026/09/05 16:52:26.445, 1, NVIDIA L40S, 86 %, 38931 MiB
2026/09/05 16:52:26.445, 2, NVIDIA L40S, 98 %, 38891 MiB
2026/09/05 16:52:26.445, 3, NVIDIA L40S, 98 %, 38793 MiB
2026/09/05 16:52:36.446, 0, NVIDIA L40S, 86 %, 39011 MiB
2026/09/05 16:52:36.446, 1, NVIDIA L40S, 98 %, 38931 MiB
2026/09/05 16:52:36.446, 2, NVIDIA L40S, 98 %, 38891 MiB
2026/09/05 16:52:36.447, 3, NVIDIA L40S, 83 %, 38835 MiB
2026/09/05 16:52:46.448, 0, NVIDIA L40S, 98 %, 39011 MiB
2026/09/05 16:52:46.448, 1, NVIDIA L40S, 86 %, 38931 MiB
2026/09/05 16:52:46.448, 2, NVIDIA L40S, 82 %, 38891 MiB
2026/09/05 16:52:46.448, 3, NVIDIA L40S, 98 %, 38935 MiB
2026/09/05 16:52:56.449, 0, NVIDIA L40S, 88 %, 39011 MiB
2026/09/05 16:52:56.449, 1, NVIDIA L40S, 87 %, 38931 MiB
2026/09/05 16:52:56.449, 2, NVIDIA L40S, 82 %, 38963 MiB
2026/09/05 16:52:56.449, 3, NVIDIA L40S, 98 %, 38935 MiB
2026/09/05 16:53:06.450, 0, NVIDIA L40S, 86 %, 39011 MiB
2026/09/05 16:53:06.451, 1, NVIDIA L40S, 92 %, 38931 MiB
2026/09/05 16:53:06.451, 2, NVIDIA L40S, 84 %, 39043 MiB
2026/09/05 16:53:06.451, 3, NVIDIA L40S, 82 %, 38935 MiB
2026/09/05 16:53:16.452, 0, NVIDIA L40S, 98 %, 39011 MiB
2026/09/05 16:53:16.452, 1, NVIDIA L40S, 92 %, 38931 MiB
2026/09/05 16:53:16.452, 2, NVIDIA L40S, 98 %, 39299 MiB
2026/09/05 16:53:16.452, 3, NVIDIA L40S, 80 %, 38935 MiB
2026/09/05 16:53:26.453, 0, NVIDIA L40S, 81 %, 39011 MiB
2026/09/05 16:53:26.453, 1, NVIDIA L40S, 93 %, 38931 MiB
2026/09/05 16:53:26.454, 2, NVIDIA L40S, 98 %, 39299 MiB
2026/09/05 16:53:26.454, 3, NVIDIA L40S, 81 %, 38935 MiB
