timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 16:49:22.289, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 16:49:22.289, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 16:49:22.290, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 16:49:22.290, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 16:49:32.291, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 16:49:32.292, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 16:49:32.292, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 16:49:32.292, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 16:49:42.293, 0, NVIDIA L40S, 1 %, 21307 MiB
2026/09/05 16:49:42.293, 1, NVIDIA L40S, 24 %, 4383 MiB
2026/09/05 16:49:42.293, 2, NVIDIA L40S, 28 %, 24079 MiB
2026/09/05 16:49:42.293, 3, NVIDIA L40S, 28 %, 21403 MiB
2026/09/05 16:49:52.294, 0, NVIDIA L40S, 0 %, 26573 MiB
2026/09/05 16:49:52.294, 1, NVIDIA L40S, 0 %, 26573 MiB
2026/09/05 16:49:52.295, 2, NVIDIA L40S, 0 %, 26571 MiB
2026/09/05 16:49:52.295, 3, NVIDIA L40S, 0 %, 26571 MiB
2026/09/05 16:50:02.296, 0, NVIDIA L40S, 3 %, 583 MiB
2026/09/05 16:50:02.296, 1, NVIDIA L40S, 10 %, 583 MiB
2026/09/05 16:50:02.296, 2, NVIDIA L40S, 3 %, 583 MiB
2026/09/05 16:50:02.296, 3, NVIDIA L40S, 0 %, 583 MiB
2026/09/05 16:50:12.297, 0, NVIDIA L40S, 93 %, 27343 MiB
2026/09/05 16:50:12.297, 1, NVIDIA L40S, 93 %, 27323 MiB
2026/09/05 16:50:12.297, 2, NVIDIA L40S, 94 %, 27343 MiB
2026/09/05 16:50:12.297, 3, NVIDIA L40S, 94 %, 27333 MiB
2026/09/05 16:50:22.298, 0, NVIDIA L40S, 0 %, 27445 MiB
2026/09/05 16:50:22.298, 1, NVIDIA L40S, 0 %, 27371 MiB
2026/09/05 16:50:22.298, 2, NVIDIA L40S, 0 %, 27391 MiB
2026/09/05 16:50:22.298, 3, NVIDIA L40S, 0 %, 27383 MiB
2026/09/05 16:50:32.299, 0, NVIDIA L40S, 4 %, 9499 MiB
2026/09/05 16:50:32.300, 1, NVIDIA L40S, 4 %, 9499 MiB
2026/09/05 16:50:32.300, 2, NVIDIA L40S, 7 %, 9499 MiB
2026/09/05 16:50:32.300, 3, NVIDIA L40S, 4 %, 9499 MiB
2026/09/05 16:50:42.301, 0, NVIDIA L40S, 94 %, 27343 MiB
2026/09/05 16:50:42.301, 1, NVIDIA L40S, 96 %, 27337 MiB
2026/09/05 16:50:42.301, 2, NVIDIA L40S, 93 %, 27349 MiB
2026/09/05 16:50:42.301, 3, NVIDIA L40S, 97 %, 27347 MiB
