timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 19:48:17.483, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 19:48:17.484, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 19:48:17.484, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 19:48:17.485, 3, NVIDIA L40S, 7 %, 0 MiB
2026/09/05 19:48:27.486, 0, NVIDIA L40S, 0 %, 547 MiB
2026/09/05 19:48:27.486, 1, NVIDIA L40S, 0 %, 547 MiB
2026/09/05 19:48:27.486, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 19:48:27.486, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 19:48:37.487, 0, NVIDIA L40S, 0 %, 25123 MiB
2026/09/05 19:48:37.487, 1, NVIDIA L40S, 0 %, 25123 MiB
2026/09/05 19:48:37.487, 2, NVIDIA L40S, 0 %, 25123 MiB
2026/09/05 19:48:37.487, 3, NVIDIA L40S, 6 %, 9499 MiB
2026/09/05 19:48:47.488, 0, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 19:48:47.488, 1, NVIDIA L40S, 90 %, 26589 MiB
2026/09/05 19:48:47.488, 2, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 19:48:47.488, 3, NVIDIA L40S, 91 %, 26589 MiB
2026/09/05 19:48:57.489, 0, NVIDIA L40S, 88 %, 26591 MiB
2026/09/05 19:48:57.489, 1, NVIDIA L40S, 89 %, 26589 MiB
2026/09/05 19:48:57.489, 2, NVIDIA L40S, 86 %, 26591 MiB
2026/09/05 19:48:57.489, 3, NVIDIA L40S, 91 %, 26589 MiB
2026/09/05 19:49:07.490, 0, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 19:49:07.490, 1, NVIDIA L40S, 90 %, 26589 MiB
2026/09/05 19:49:07.490, 2, NVIDIA L40S, 85 %, 26591 MiB
2026/09/05 19:49:07.490, 3, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 19:49:17.491, 0, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 19:49:17.491, 1, NVIDIA L40S, 90 %, 26589 MiB
2026/09/05 19:49:17.491, 2, NVIDIA L40S, 85 %, 26591 MiB
2026/09/05 19:49:17.491, 3, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 19:49:27.492, 0, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 19:49:27.492, 1, NVIDIA L40S, 90 %, 26589 MiB
2026/09/05 19:49:27.492, 2, NVIDIA L40S, 85 %, 26591 MiB
2026/09/05 19:49:27.492, 3, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 19:49:37.493, 0, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 19:49:37.493, 1, NVIDIA L40S, 89 %, 26589 MiB
2026/09/05 19:49:37.493, 2, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 19:49:37.493, 3, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 19:49:47.494, 0, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 19:49:47.494, 1, NVIDIA L40S, 89 %, 26589 MiB
2026/09/05 19:49:47.494, 2, NVIDIA L40S, 86 %, 26591 MiB
2026/09/05 19:49:47.494, 3, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 19:49:57.495, 0, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 19:49:57.495, 1, NVIDIA L40S, 89 %, 26589 MiB
2026/09/05 19:49:57.495, 2, NVIDIA L40S, 88 %, 26591 MiB
2026/09/05 19:49:57.495, 3, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 19:50:07.496, 0, NVIDIA L40S, 86 %, 26591 MiB
2026/09/05 19:50:07.496, 1, NVIDIA L40S, 89 %, 26589 MiB
2026/09/05 19:50:07.497, 2, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 19:50:07.497, 3, NVIDIA L40S, 91 %, 26591 MiB
2026/09/05 19:50:17.498, 0, NVIDIA L40S, 91 %, 26591 MiB
2026/09/05 19:50:17.498, 1, NVIDIA L40S, 89 %, 26589 MiB
2026/09/05 19:50:17.498, 2, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 19:50:17.498, 3, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 19:50:27.499, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 19:50:27.499, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 19:50:27.499, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 19:50:27.499, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 19:50:37.500, 0, NVIDIA L40S, 20 %, 3083 MiB
2026/09/05 19:50:37.500, 1, NVIDIA L40S, 26 %, 3491 MiB
2026/09/05 19:50:37.500, 2, NVIDIA L40S, 24 %, 3083 MiB
2026/09/05 19:50:37.501, 3, NVIDIA L40S, 21 %, 3083 MiB
2026/09/05 19:50:47.502, 0, NVIDIA L40S, 97 %, 27333 MiB
2026/09/05 19:50:47.502, 1, NVIDIA L40S, 98 %, 27449 MiB
2026/09/05 19:50:47.502, 2, NVIDIA L40S, 81 %, 27387 MiB
2026/09/05 19:50:47.502, 3, NVIDIA L40S, 98 %, 27465 MiB
2026/09/05 19:50:57.503, 0, NVIDIA L40S, 97 %, 27435 MiB
2026/09/05 19:50:57.503, 1, NVIDIA L40S, 94 %, 27723 MiB
