timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/27 20:50:46.582, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 82.54 W, 39
2026/08/27 20:50:46.583, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 84.20 W, 44
2026/08/27 20:50:46.584, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 94.13 W, 66
2026/08/27 20:50:46.585, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 49.54 W, 45
2026/08/27 20:50:56.587, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 4 MiB, 49140 MiB, 28.80 W, 37
2026/08/27 20:50:56.587, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 4 MiB, 49140 MiB, 24.69 W, 42
2026/08/27 20:50:56.587, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 434 MiB, 49140 MiB, 94.51 W, 63
2026/08/27 20:50:56.587, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 434 MiB, 49140 MiB, 87.04 W, 46
2026/08/27 20:51:06.588, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 37692 MiB, 49140 MiB, 82.32 W, 40
2026/08/27 20:51:06.589, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 37662 MiB, 49140 MiB, 84.55 W, 46
2026/08/27 20:51:06.589, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 37672 MiB, 49140 MiB, 93.07 W, 61
2026/08/27 20:51:06.589, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 37712 MiB, 49140 MiB, 87.67 W, 48
2026/08/27 20:51:16.590, 0, NVIDIA RTX 6000 Ada Generation, 99 %, 38084 MiB, 49140 MiB, 299.25 W, 53
2026/08/27 20:51:16.591, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 37938 MiB, 49140 MiB, 299.21 W, 57
2026/08/27 20:51:16.591, 2, NVIDIA RTX 6000 Ada Generation, 99 %, 37954 MiB, 49140 MiB, 300.02 W, 69
2026/08/27 20:51:16.591, 3, NVIDIA RTX 6000 Ada Generation, 98 %, 37830 MiB, 49140 MiB, 299.59 W, 61
2026/08/27 20:51:26.592, 0, NVIDIA RTX 6000 Ada Generation, 87 %, 38086 MiB, 49140 MiB, 266.67 W, 57
2026/08/27 20:51:26.592, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 37938 MiB, 49140 MiB, 299.57 W, 62
2026/08/27 20:51:26.592, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 37960 MiB, 49140 MiB, 298.75 W, 71
2026/08/27 20:51:26.593, 3, NVIDIA RTX 6000 Ada Generation, 92 %, 37894 MiB, 49140 MiB, 269.64 W, 65
2026/08/27 20:51:36.594, 0, NVIDIA RTX 6000 Ada Generation, 84 %, 38194 MiB, 49140 MiB, 280.11 W, 60
2026/08/27 20:51:36.594, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 37938 MiB, 49140 MiB, 299.20 W, 67
2026/08/27 20:51:36.594, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 37980 MiB, 49140 MiB, 299.48 W, 73
2026/08/27 20:51:36.594, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 38122 MiB, 49140 MiB, 298.77 W, 70
2026/08/27 20:51:46.595, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 38200 MiB, 49140 MiB, 292.91 W, 64
2026/08/27 20:51:46.595, 1, NVIDIA RTX 6000 Ada Generation, 89 %, 38080 MiB, 49140 MiB, 280.30 W, 69
