timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/27 21:26:53.566, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 82.94 W, 46
2026/08/27 21:26:53.567, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 67.96 W, 55
2026/08/27 21:26:53.568, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 54.57 W, 42
2026/08/27 21:26:53.569, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 60.66 W, 68
2026/08/27 21:27:03.571, 0, NVIDIA RTX 6000 Ada Generation, 21 %, 17198 MiB, 49140 MiB, 86.54 W, 46
2026/08/27 21:27:03.571, 1, NVIDIA RTX 6000 Ada Generation, 24 %, 16568 MiB, 49140 MiB, 92.83 W, 55
2026/08/27 21:27:03.571, 2, NVIDIA RTX 6000 Ada Generation, 27 %, 17198 MiB, 49140 MiB, 79.66 W, 42
2026/08/27 21:27:03.571, 3, NVIDIA RTX 6000 Ada Generation, 24 %, 17418 MiB, 49140 MiB, 100.64 W, 65
2026/08/27 21:27:13.572, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 37826 MiB, 49140 MiB, 299.70 W, 55
2026/08/27 21:27:13.573, 1, NVIDIA RTX 6000 Ada Generation, 90 %, 37876 MiB, 49140 MiB, 263.19 W, 62
2026/08/27 21:27:13.573, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 37896 MiB, 49140 MiB, 289.63 W, 51
2026/08/27 21:27:13.573, 3, NVIDIA RTX 6000 Ada Generation, 99 %, 37818 MiB, 49140 MiB, 300.07 W, 72
2026/08/27 21:27:23.574, 0, NVIDIA RTX 6000 Ada Generation, 88 %, 37960 MiB, 49140 MiB, 274.45 W, 59
2026/08/27 21:27:23.574, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 38142 MiB, 49140 MiB, 299.45 W, 68
2026/08/27 21:27:23.574, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 38078 MiB, 49140 MiB, 298.85 W, 57
2026/08/27 21:27:23.575, 3, NVIDIA RTX 6000 Ada Generation, 90 %, 37932 MiB, 49140 MiB, 278.93 W, 75
2026/08/27 21:27:33.576, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 37960 MiB, 49140 MiB, 299.97 W, 64
2026/08/27 21:27:33.576, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 38142 MiB, 49140 MiB, 299.63 W, 72
2026/08/27 21:27:33.576, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 38078 MiB, 49140 MiB, 299.60 W, 61
2026/08/27 21:27:33.576, 3, NVIDIA RTX 6000 Ada Generation, 98 %, 37958 MiB, 49140 MiB, 299.56 W, 78
2026/08/27 21:27:43.577, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 37960 MiB, 49140 MiB, 300.04 W, 67
2026/08/27 21:27:43.577, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 38142 MiB, 49140 MiB, 298.77 W, 75
2026/08/27 21:27:43.578, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 38122 MiB, 49140 MiB, 299.46 W, 64
2026/08/27 21:27:43.578, 3, NVIDIA RTX 6000 Ada Generation, 99 %, 38118 MiB, 49140 MiB, 300.22 W, 80
2026/08/27 21:27:53.579, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 37960 MiB, 49140 MiB, 299.58 W, 70
2026/08/27 21:27:53.579, 1, NVIDIA RTX 6000 Ada Generation, 88 %, 38142 MiB, 49140 MiB, 275.74 W, 77
2026/08/27 21:27:53.579, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 38122 MiB, 49140 MiB, 299.22 W, 67
2026/08/27 21:27:53.579, 3, NVIDIA RTX 6000 Ada Generation, 88 %, 38118 MiB, 49140 MiB, 288.10 W, 82
2026/08/27 21:28:03.580, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 37960 MiB, 49140 MiB, 299.64 W, 72
2026/08/27 21:28:03.581, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 38142 MiB, 49140 MiB, 299.80 W, 80
2026/08/27 21:28:03.581, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 38122 MiB, 49140 MiB, 299.44 W, 70
2026/08/27 21:28:03.581, 3, NVIDIA RTX 6000 Ada Generation, 99 %, 38138 MiB, 49140 MiB, 299.34 W, 83
2026/08/27 21:28:13.582, 0, NVIDIA RTX 6000 Ada Generation, 90 %, 37960 MiB, 49140 MiB, 278.69 W, 73
2026/08/27 21:28:13.582, 1, NVIDIA RTX 6000 Ada Generation, 96 %, 38142 MiB, 49140 MiB, 299.68 W, 82
2026/08/27 21:28:13.582, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 38162 MiB, 49140 MiB, 299.40 W, 72
2026/08/27 21:28:13.582, 3, NVIDIA RTX 6000 Ada Generation, 93 %, 38138 MiB, 49140 MiB, 288.72 W, 82
2026/08/27 21:28:23.584, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 37960 MiB, 49140 MiB, 300.47 W, 75
2026/08/27 21:28:23.584, 1, NVIDIA RTX 6000 Ada Generation, 91 %, 38182 MiB, 49140 MiB, 284.00 W, 83
2026/08/27 21:28:23.584, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 38162 MiB, 49140 MiB, 289.98 W, 74
2026/08/27 21:28:23.584, 3, NVIDIA RTX 6000 Ada Generation, 93 %, 38146 MiB, 49140 MiB, 263.82 W, 81
2026/08/27 21:28:33.585, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 38212 MiB, 49140 MiB, 298.31 W, 76
2026/08/27 21:28:33.585, 1, NVIDIA RTX 6000 Ada Generation, 96 %, 38202 MiB, 49140 MiB, 298.66 W, 84
2026/08/27 21:28:33.586, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 38162 MiB, 49140 MiB, 299.27 W, 75
2026/08/27 21:28:33.586, 3, NVIDIA RTX 6000 Ada Generation, 98 %, 38146 MiB, 49140 MiB, 282.83 W, 81
2026/08/27 21:28:43.587, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 38212 MiB, 49140 MiB, 299.15 W, 77
2026/08/27 21:28:43.587, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 38202 MiB, 49140 MiB, 299.84 W, 86
2026/08/27 21:28:43.587, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 38162 MiB, 49140 MiB, 299.43 W, 76
2026/08/27 21:28:43.587, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 38146 MiB, 49140 MiB, 244.97 W, 77
2026/08/27 21:28:53.588, 0, NVIDIA RTX 6000 Ada Generation, 99 %, 38224 MiB, 49140 MiB, 299.77 W, 78
2026/08/27 21:28:53.588, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 38202 MiB, 49140 MiB, 297.38 W, 87
2026/08/27 21:28:53.588, 2, NVIDIA RTX 6000 Ada Generation, 88 %, 38162 MiB, 49140 MiB, 291.54 W, 78
2026/08/27 21:28:53.589, 3, NVIDIA RTX 6000 Ada Generation, 98 %, 38146 MiB, 49140 MiB, 243.93 W, 75
2026/08/27 21:29:03.590, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 38224 MiB, 49140 MiB, 299.43 W, 79
2026/08/27 21:29:03.590, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 38202 MiB, 49140 MiB, 299.31 W, 88
2026/08/27 21:29:03.590, 2, NVIDIA RTX 6000 Ada Generation, 90 %, 38202 MiB, 49140 MiB, 291.02 W, 78
2026/08/27 21:29:03.590, 3, NVIDIA RTX 6000 Ada Generation, 88 %, 38146 MiB, 49140 MiB, 290.22 W, 77
2026/08/27 21:29:13.591, 0, NVIDIA RTX 6000 Ada Generation, 85 %, 38224 MiB, 49140 MiB, 287.50 W, 79
2026/08/27 21:29:13.591, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 38202 MiB, 49140 MiB, 297.40 W, 88
2026/08/27 21:29:13.591, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 38202 MiB, 49140 MiB, 299.75 W, 79
2026/08/27 21:29:13.592, 3, NVIDIA RTX 6000 Ada Generation, 99 %, 38146 MiB, 49140 MiB, 300.45 W, 77
2026/08/27 21:29:23.593, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 38252 MiB, 49140 MiB, 299.12 W, 80
2026/08/27 21:29:23.593, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 38202 MiB, 49140 MiB, 298.59 W, 88
2026/08/27 21:29:23.593, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 38202 MiB, 49140 MiB, 299.25 W, 80
2026/08/27 21:29:23.593, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 38206 MiB, 49140 MiB, 299.86 W, 78
2026/08/27 21:29:33.594, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 38252 MiB, 49140 MiB, 299.98 W, 81
2026/08/27 21:29:33.594, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 38202 MiB, 49140 MiB, 292.38 W, 87
2026/08/27 21:29:33.595, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 38202 MiB, 49140 MiB, 299.71 W, 80
2026/08/27 21:29:33.595, 3, NVIDIA RTX 6000 Ada Generation, 99 %, 38206 MiB, 49140 MiB, 299.80 W, 78
2026/08/27 21:29:43.596, 0, NVIDIA RTX 6000 Ada Generation, 99 %, 38252 MiB, 49140 MiB, 295.43 W, 82
