timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/27 22:05:03.727, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 105.29 W, 67
2026/08/27 22:05:03.728, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 90.58 W, 71
2026/08/27 22:05:03.729, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 93.37 W, 73
2026/08/27 22:05:03.729, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 95.06 W, 70
2026/08/27 22:05:13.731, 0, NVIDIA RTX 6000 Ada Generation, 26 %, 18248 MiB, 49140 MiB, 102.94 W, 64
2026/08/27 22:05:13.731, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 16016 MiB, 49140 MiB, 122.57 W, 69
2026/08/27 22:05:13.732, 2, NVIDIA RTX 6000 Ada Generation, 22 %, 16016 MiB, 49140 MiB, 102.79 W, 68
2026/08/27 22:05:13.732, 3, NVIDIA RTX 6000 Ada Generation, 25 %, 16016 MiB, 49140 MiB, 102.19 W, 67
2026/08/27 22:05:23.733, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27348 MiB, 49140 MiB, 299.39 W, 70
2026/08/27 22:05:23.733, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27478 MiB, 49140 MiB, 276.93 W, 74
2026/08/27 22:05:23.733, 2, NVIDIA RTX 6000 Ada Generation, 93 %, 27526 MiB, 49140 MiB, 290.35 W, 72
2026/08/27 22:05:23.733, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27428 MiB, 49140 MiB, 300.07 W, 76
2026/08/27 22:05:33.734, 0, NVIDIA RTX 6000 Ada Generation, 84 %, 27476 MiB, 49140 MiB, 264.45 W, 72
2026/08/27 22:05:33.735, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27548 MiB, 49140 MiB, 299.84 W, 78
2026/08/27 22:05:33.735, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 27550 MiB, 49140 MiB, 299.26 W, 74
2026/08/27 22:05:33.735, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27502 MiB, 49140 MiB, 299.63 W, 79
2026/08/27 22:05:43.735, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27544 MiB, 49140 MiB, 300.03 W, 75
2026/08/27 22:05:43.736, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 27548 MiB, 49140 MiB, 295.50 W, 81
2026/08/27 22:05:43.736, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27550 MiB, 49140 MiB, 299.02 W, 76
2026/08/27 22:05:43.736, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27502 MiB, 49140 MiB, 298.82 W, 82
2026/08/27 22:05:53.736, 0, NVIDIA RTX 6000 Ada Generation, 85 %, 27544 MiB, 49140 MiB, 272.83 W, 76
2026/08/27 22:05:53.737, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27548 MiB, 49140 MiB, 299.88 W, 83
2026/08/27 22:05:53.737, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27550 MiB, 49140 MiB, 299.42 W, 77
2026/08/27 22:05:53.737, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27554 MiB, 49140 MiB, 299.81 W, 84
2026/08/27 22:06:03.737, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27556 MiB, 49140 MiB, 299.20 W, 78
2026/08/27 22:06:03.737, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27548 MiB, 49140 MiB, 298.37 W, 84
2026/08/27 22:06:03.738, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 27550 MiB, 49140 MiB, 295.66 W, 77
2026/08/27 22:06:03.738, 3, NVIDIA RTX 6000 Ada Generation, 98 %, 27554 MiB, 49140 MiB, 297.13 W, 85
2026/08/27 22:06:13.738, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27556 MiB, 49140 MiB, 299.42 W, 79
2026/08/27 22:06:13.738, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 27548 MiB, 49140 MiB, 274.58 W, 86
2026/08/27 22:06:13.738, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 27558 MiB, 49140 MiB, 299.64 W, 78
2026/08/27 22:06:13.738, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27554 MiB, 49140 MiB, 299.51 W, 85
2026/08/27 22:06:23.740, 0, NVIDIA RTX 6000 Ada Generation, 84 %, 27556 MiB, 49140 MiB, 283.52 W, 79
2026/08/27 22:06:23.740, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27562 MiB, 49140 MiB, 296.81 W, 87
2026/08/27 22:06:23.740, 2, NVIDIA RTX 6000 Ada Generation, 87 %, 27558 MiB, 49140 MiB, 285.23 W, 79
2026/08/27 22:06:23.740, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27554 MiB, 49140 MiB, 251.45 W, 82
2026/08/27 22:06:33.742, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27556 MiB, 49140 MiB, 299.69 W, 80
2026/08/27 22:06:33.742, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 27562 MiB, 49140 MiB, 275.05 W, 88
2026/08/27 22:06:33.742, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 27558 MiB, 49140 MiB, 300.07 W, 80
2026/08/27 22:06:33.742, 3, NVIDIA RTX 6000 Ada Generation, 87 %, 27554 MiB, 49140 MiB, 223.16 W, 78
2026/08/27 22:06:43.743, 0, NVIDIA RTX 6000 Ada Generation, 85 %, 27556 MiB, 49140 MiB, 278.88 W, 80
2026/08/27 22:06:43.743, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27562 MiB, 49140 MiB, 298.80 W, 89
2026/08/27 22:06:43.744, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27558 MiB, 49140 MiB, 299.84 W, 81
2026/08/27 22:06:43.744, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27554 MiB, 49140 MiB, 291.64 W, 80
2026/08/27 22:06:53.745, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27556 MiB, 49140 MiB, 299.69 W, 81
2026/08/27 22:06:53.745, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 27562 MiB, 49140 MiB, 290.74 W, 88
2026/08/27 22:06:53.745, 2, NVIDIA RTX 6000 Ada Generation, 84 %, 27558 MiB, 49140 MiB, 286.52 W, 81
2026/08/27 22:06:53.745, 3, NVIDIA RTX 6000 Ada Generation, 87 %, 27554 MiB, 49140 MiB, 275.82 W, 80
2026/08/27 22:07:03.746, 0, NVIDIA RTX 6000 Ada Generation, 94 %, 27556 MiB, 49140 MiB, 294.67 W, 81
2026/08/27 22:07:03.746, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27562 MiB, 49140 MiB, 299.08 W, 88
2026/08/27 22:07:03.746, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 27558 MiB, 49140 MiB, 299.27 W, 81
2026/08/27 22:07:03.746, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27554 MiB, 49140 MiB, 299.43 W, 81
2026/08/27 22:07:13.747, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27556 MiB, 49140 MiB, 299.58 W, 82
2026/08/27 22:07:13.747, 1, NVIDIA RTX 6000 Ada Generation, 96 %, 27662 MiB, 49140 MiB, 289.92 W, 87
2026/08/27 22:07:13.747, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27638 MiB, 49140 MiB, 295.05 W, 82
2026/08/27 22:07:13.747, 3, NVIDIA RTX 6000 Ada Generation, 89 %, 27554 MiB, 49140 MiB, 276.98 W, 80
2026/08/27 22:07:23.748, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27556 MiB, 49140 MiB, 297.23 W, 82
2026/08/27 22:07:23.748, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27662 MiB, 49140 MiB, 280.85 W, 85
2026/08/27 22:07:23.748, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27638 MiB, 49140 MiB, 299.33 W, 82
2026/08/27 22:07:23.748, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 27554 MiB, 49140 MiB, 299.60 W, 81
2026/08/27 22:07:33.749, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27556 MiB, 49140 MiB, 299.77 W, 83
2026/08/27 22:07:33.749, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27662 MiB, 49140 MiB, 293.41 W, 85
2026/08/27 22:07:33.749, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27638 MiB, 49140 MiB, 299.26 W, 82
2026/08/27 22:07:33.749, 3, NVIDIA RTX 6000 Ada Generation, 89 %, 27554 MiB, 49140 MiB, 279.98 W, 81
2026/08/27 22:07:43.749, 0, NVIDIA RTX 6000 Ada Generation, 95 %, 27636 MiB, 49140 MiB, 299.04 W, 83
2026/08/27 22:07:43.750, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 27662 MiB, 49140 MiB, 291.53 W, 84
2026/08/27 22:07:43.750, 2, NVIDIA RTX 6000 Ada Generation, 86 %, 27638 MiB, 49140 MiB, 291.17 W, 83
2026/08/27 22:07:43.750, 3, NVIDIA RTX 6000 Ada Generation, 90 %, 27554 MiB, 49140 MiB, 288.29 W, 81
2026/08/27 22:07:53.751, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27636 MiB, 49140 MiB, 299.90 W, 83
2026/08/27 22:07:53.751, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27662 MiB, 49140 MiB, 299.10 W, 83
2026/08/27 22:07:53.752, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 27638 MiB, 49140 MiB, 296.43 W, 82
2026/08/27 22:07:53.752, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27554 MiB, 49140 MiB, 299.32 W, 81
2026/08/27 22:08:03.753, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27636 MiB, 49140 MiB, 299.48 W, 83
2026/08/27 22:08:03.753, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 27662 MiB, 49140 MiB, 274.69 W, 83
2026/08/27 22:08:03.753, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 27638 MiB, 49140 MiB, 299.22 W, 83
2026/08/27 22:08:03.753, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27554 MiB, 49140 MiB, 299.09 W, 81
2026/08/27 22:08:13.755, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27636 MiB, 49140 MiB, 298.19 W, 84
2026/08/27 22:08:13.755, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27662 MiB, 49140 MiB, 299.98 W, 83
2026/08/27 22:08:13.755, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27638 MiB, 49140 MiB, 299.11 W, 83
2026/08/27 22:08:13.755, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27554 MiB, 49140 MiB, 297.34 W, 81
2026/08/27 22:08:23.756, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27636 MiB, 49140 MiB, 295.58 W, 84
2026/08/27 22:08:23.756, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27662 MiB, 49140 MiB, 299.80 W, 83
2026/08/27 22:08:23.756, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 27638 MiB, 49140 MiB, 292.99 W, 83
2026/08/27 22:08:23.756, 3, NVIDIA RTX 6000 Ada Generation, 88 %, 27554 MiB, 49140 MiB, 279.36 W, 79
2026/08/27 22:08:33.757, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27636 MiB, 49140 MiB, 299.02 W, 83
2026/08/27 22:08:33.757, 1, NVIDIA RTX 6000 Ada Generation, 87 %, 27662 MiB, 49140 MiB, 272.65 W, 81
2026/08/27 22:08:33.757, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27638 MiB, 49140 MiB, 299.07 W, 83
2026/08/27 22:08:33.757, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27574 MiB, 49140 MiB, 299.31 W, 81
2026/08/27 22:08:43.757, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 27696 MiB, 49140 MiB, 297.14 W, 84
2026/08/27 22:08:43.758, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27662 MiB, 49140 MiB, 300.10 W, 82
2026/08/27 22:08:43.758, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 27638 MiB, 49140 MiB, 298.96 W, 83
2026/08/27 22:08:43.758, 3, NVIDIA RTX 6000 Ada Generation, 88 %, 27574 MiB, 49140 MiB, 278.39 W, 80
2026/08/27 22:08:53.759, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 27696 MiB, 49140 MiB, 293.20 W, 83
2026/08/27 22:08:53.759, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 27662 MiB, 49140 MiB, 287.00 W, 82
2026/08/27 22:08:53.760, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27638 MiB, 49140 MiB, 299.19 W, 83
2026/08/27 22:08:53.760, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27614 MiB, 49140 MiB, 299.56 W, 81
2026/08/27 22:09:03.761, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27696 MiB, 49140 MiB, 299.33 W, 84
2026/08/27 22:09:03.761, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27662 MiB, 49140 MiB, 299.14 W, 82
2026/08/27 22:09:03.761, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27638 MiB, 49140 MiB, 300.56 W, 83
2026/08/27 22:09:03.761, 3, NVIDIA RTX 6000 Ada Generation, 90 %, 27614 MiB, 49140 MiB, 286.52 W, 81
2026/08/27 22:09:13.763, 0, NVIDIA RTX 6000 Ada Generation, 87 %, 27696 MiB, 49140 MiB, 286.25 W, 83
2026/08/27 22:09:13.763, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27662 MiB, 49140 MiB, 299.61 W, 82
2026/08/27 22:09:13.763, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27638 MiB, 49140 MiB, 298.97 W, 83
2026/08/27 22:09:13.763, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27614 MiB, 49140 MiB, 299.56 W, 81
2026/08/27 22:09:23.764, 0, NVIDIA RTX 6000 Ada Generation, 85 %, 27696 MiB, 49140 MiB, 282.48 W, 83
2026/08/27 22:09:23.765, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27662 MiB, 49140 MiB, 300.02 W, 82
2026/08/27 22:09:23.765, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27638 MiB, 49140 MiB, 299.40 W, 83
2026/08/27 22:09:23.765, 3, NVIDIA RTX 6000 Ada Generation, 91 %, 27614 MiB, 49140 MiB, 289.79 W, 81
2026/08/27 22:09:33.765, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27696 MiB, 49140 MiB, 299.86 W, 84
2026/08/27 22:09:33.766, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 27662 MiB, 49140 MiB, 299.49 W, 82
2026/08/27 22:09:33.766, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27638 MiB, 49140 MiB, 299.13 W, 83
2026/08/27 22:09:33.766, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27614 MiB, 49140 MiB, 299.67 W, 81
2026/08/27 22:09:43.767, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 27704 MiB, 49140 MiB, 131.41 W, 78
2026/08/27 22:09:43.767, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27662 MiB, 49140 MiB, 299.51 W, 82
2026/08/27 22:09:43.767, 2, NVIDIA RTX 6000 Ada Generation, 84 %, 27638 MiB, 49140 MiB, 289.92 W, 83
2026/08/27 22:09:43.767, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27616 MiB, 49140 MiB, 300.26 W, 81
2026/08/27 22:09:53.768, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 27704 MiB, 49140 MiB, 111.70 W, 73
2026/08/27 22:09:53.768, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 27702 MiB, 49140 MiB, 112.23 W, 76
2026/08/27 22:09:53.768, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27638 MiB, 49140 MiB, 299.92 W, 83
2026/08/27 22:09:53.768, 3, NVIDIA RTX 6000 Ada Generation, 98 %, 27616 MiB, 49140 MiB, 297.30 W, 82
2026/08/27 22:10:03.769, 0, NVIDIA RTX 6000 Ada Generation, 1 %, 27718 MiB, 49140 MiB, 107.29 W, 69
2026/08/27 22:10:03.769, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 27684 MiB, 49140 MiB, 101.39 W, 72
2026/08/27 22:10:03.769, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 27660 MiB, 49140 MiB, 153.89 W, 79
2026/08/27 22:10:03.769, 3, NVIDIA RTX 6000 Ada Generation, 1 %, 27638 MiB, 49140 MiB, 109.15 W, 71
