timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/27 19:18:57.422, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 94.08 W, 60
2026/08/27 19:18:57.423, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 85.96 W, 73
2026/08/27 19:18:57.424, 2, NVIDIA RTX 6000 Ada Generation, 3 %, 2 MiB, 49140 MiB, 54.07 W, 37
2026/08/27 19:18:57.425, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 58.68 W, 61
2026/08/27 19:19:07.427, 0, NVIDIA RTX 6000 Ada Generation, 29 %, 21044 MiB, 49140 MiB, 97.18 W, 57
2026/08/27 19:19:07.427, 1, NVIDIA RTX 6000 Ada Generation, 30 %, 20300 MiB, 49140 MiB, 102.72 W, 68
2026/08/27 19:19:07.427, 2, NVIDIA RTX 6000 Ada Generation, 29 %, 20108 MiB, 49140 MiB, 78.67 W, 38
2026/08/27 19:19:07.427, 3, NVIDIA RTX 6000 Ada Generation, 30 %, 20480 MiB, 49140 MiB, 96.27 W, 59
2026/08/27 19:19:17.428, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 27378 MiB, 49140 MiB, 285.05 W, 64
2026/08/27 19:19:17.428, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 27412 MiB, 49140 MiB, 275.17 W, 73
2026/08/27 19:19:17.429, 2, NVIDIA RTX 6000 Ada Generation, 88 %, 27526 MiB, 49140 MiB, 246.51 W, 47
2026/08/27 19:19:17.429, 3, NVIDIA RTX 6000 Ada Generation, 85 %, 27360 MiB, 49140 MiB, 250.11 W, 66
2026/08/27 19:19:27.430, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27406 MiB, 49140 MiB, 299.40 W, 67
2026/08/27 19:19:27.430, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 27452 MiB, 49140 MiB, 290.28 W, 76
2026/08/27 19:19:27.430, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 27778 MiB, 49140 MiB, 273.38 W, 52
2026/08/27 19:19:27.430, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 27406 MiB, 49140 MiB, 285.17 W, 71
2026/08/27 19:19:37.431, 0, NVIDIA RTX 6000 Ada Generation, 94 %, 27530 MiB, 49140 MiB, 284.70 W, 69
2026/08/27 19:19:37.432, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 27526 MiB, 49140 MiB, 286.82 W, 78
2026/08/27 19:19:37.432, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27778 MiB, 49140 MiB, 298.62 W, 57
2026/08/27 19:19:37.432, 3, NVIDIA RTX 6000 Ada Generation, 84 %, 27408 MiB, 49140 MiB, 261.03 W, 73
2026/08/27 19:19:47.433, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 27530 MiB, 49140 MiB, 288.73 W, 71
2026/08/27 19:19:47.433, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27526 MiB, 49140 MiB, 299.54 W, 80
2026/08/27 19:19:47.433, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27778 MiB, 49140 MiB, 299.62 W, 61
2026/08/27 19:19:47.433, 3, NVIDIA RTX 6000 Ada Generation, 86 %, 27440 MiB, 49140 MiB, 290.26 W, 75
2026/08/27 19:19:57.434, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27536 MiB, 49140 MiB, 299.65 W, 72
2026/08/27 19:19:57.435, 1, NVIDIA RTX 6000 Ada Generation, 91 %, 27646 MiB, 49140 MiB, 276.70 W, 80
