timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/27 16:19:43.449, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 94.49 W, 59
2026/08/27 16:19:43.450, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 97.71 W, 64
2026/08/27 16:19:43.451, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 93.34 W, 60
2026/08/27 16:19:43.452, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 89.86 W, 65
2026/08/27 16:19:53.454, 0, NVIDIA RTX 6000 Ada Generation, 22 %, 18100 MiB, 49140 MiB, 94.44 W, 56
2026/08/27 16:19:53.454, 1, NVIDIA RTX 6000 Ada Generation, 22 %, 18100 MiB, 49140 MiB, 96.42 W, 62
2026/08/27 16:19:53.454, 2, NVIDIA RTX 6000 Ada Generation, 1 %, 20480 MiB, 49140 MiB, 91.95 W, 57
2026/08/27 16:19:53.454, 3, NVIDIA RTX 6000 Ada Generation, 23 %, 18068 MiB, 49140 MiB, 97.13 W, 62
2026/08/27 16:20:03.456, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27348 MiB, 49140 MiB, 295.14 W, 63
2026/08/27 16:20:03.456, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 27422 MiB, 49140 MiB, 271.14 W, 68
2026/08/27 16:20:03.456, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27462 MiB, 49140 MiB, 299.34 W, 64
2026/08/27 16:20:03.456, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 27424 MiB, 49140 MiB, 297.79 W, 70
2026/08/27 16:20:13.457, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27458 MiB, 49140 MiB, 289.21 W, 66
2026/08/27 16:20:13.457, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27422 MiB, 49140 MiB, 287.15 W, 72
2026/08/27 16:20:13.457, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27462 MiB, 49140 MiB, 299.50 W, 67
2026/08/27 16:20:13.457, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27432 MiB, 49140 MiB, 299.83 W, 73
