timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/27 21:56:48.506, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 110.98 W, 72
2026/08/27 21:56:48.507, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 84.55 W, 65
2026/08/27 21:56:48.508, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 60.88 W, 45
2026/08/27 21:56:48.509, 3, NVIDIA RTX 6000 Ada Generation, 1 %, 2 MiB, 49140 MiB, 62.15 W, 51
2026/08/27 21:56:58.511, 0, NVIDIA RTX 6000 Ada Generation, 27 %, 18812 MiB, 49140 MiB, 108.07 W, 68
2026/08/27 21:56:58.511, 1, NVIDIA RTX 6000 Ada Generation, 4 %, 16016 MiB, 49140 MiB, 98.89 W, 64
2026/08/27 21:56:58.511, 2, NVIDIA RTX 6000 Ada Generation, 22 %, 16016 MiB, 49140 MiB, 81.60 W, 45
2026/08/27 21:56:58.511, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 16016 MiB, 49140 MiB, 91.14 W, 51
2026/08/27 21:57:08.512, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 25316 MiB, 49140 MiB, 291.28 W, 70
2026/08/27 21:57:08.512, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 25398 MiB, 49140 MiB, 265.65 W, 68
2026/08/27 21:57:08.512, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 25338 MiB, 49140 MiB, 271.94 W, 52
2026/08/27 21:57:08.512, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 25394 MiB, 49140 MiB, 256.46 W, 58
2026/08/27 21:57:18.513, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 25384 MiB, 49140 MiB, 299.06 W, 73
2026/08/27 21:57:18.513, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25398 MiB, 49140 MiB, 298.72 W, 74
2026/08/27 21:57:18.513, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25432 MiB, 49140 MiB, 295.96 W, 58
2026/08/27 21:57:18.513, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 25402 MiB, 49140 MiB, 292.68 W, 65
2026/08/27 21:57:28.514, 0, NVIDIA RTX 6000 Ada Generation, 95 %, 25410 MiB, 49140 MiB, 289.45 W, 75
2026/08/27 21:57:28.514, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25398 MiB, 49140 MiB, 297.09 W, 77
2026/08/27 21:57:28.514, 2, NVIDIA RTX 6000 Ada Generation, 93 %, 25432 MiB, 49140 MiB, 286.93 W, 62
2026/08/27 21:57:28.514, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 25402 MiB, 49140 MiB, 281.72 W, 69
2026/08/27 21:57:38.515, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 25410 MiB, 49140 MiB, 300.07 W, 77
2026/08/27 21:57:38.515, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25426 MiB, 49140 MiB, 299.91 W, 80
2026/08/27 21:57:38.515, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25432 MiB, 49140 MiB, 298.96 W, 65
2026/08/27 21:57:38.515, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 25404 MiB, 49140 MiB, 299.28 W, 73
2026/08/27 21:57:48.516, 0, NVIDIA RTX 6000 Ada Generation, 93 %, 25410 MiB, 49140 MiB, 290.32 W, 78
2026/08/27 21:57:48.516, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25426 MiB, 49140 MiB, 299.74 W, 82
2026/08/27 21:57:48.516, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25452 MiB, 49140 MiB, 299.01 W, 68
2026/08/27 21:57:48.516, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 25404 MiB, 49140 MiB, 299.90 W, 76
2026/08/27 21:57:58.517, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 25430 MiB, 49140 MiB, 299.30 W, 79
2026/08/27 21:57:58.517, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25516 MiB, 49140 MiB, 299.61 W, 83
2026/08/27 21:57:58.518, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25570 MiB, 49140 MiB, 299.42 W, 71
2026/08/27 21:57:58.518, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 25412 MiB, 49140 MiB, 298.59 W, 78
