timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/27 21:58:09.501, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 109.05 W, 71
2026/08/27 21:58:09.502, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 93.19 W, 75
2026/08/27 21:58:09.502, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 82.20 W, 62
2026/08/27 21:58:09.503, 3, NVIDIA RTX 6000 Ada Generation, 3 %, 2 MiB, 49140 MiB, 79.16 W, 71
2026/08/27 21:58:19.505, 0, NVIDIA RTX 6000 Ada Generation, 28 %, 22244 MiB, 49140 MiB, 107.02 W, 67
2026/08/27 21:58:19.505, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 20300 MiB, 49140 MiB, 104.18 W, 72
2026/08/27 21:58:19.505, 2, NVIDIA RTX 6000 Ada Generation, 26 %, 22808 MiB, 49140 MiB, 94.02 W, 59
2026/08/27 21:58:19.505, 3, NVIDIA RTX 6000 Ada Generation, 27 %, 22904 MiB, 49140 MiB, 104.27 W, 67
2026/08/27 21:58:29.506, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 18356 MiB, 49140 MiB, 294.88 W, 73
2026/08/27 21:58:29.506, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 18418 MiB, 49140 MiB, 299.40 W, 78
2026/08/27 21:58:29.506, 2, NVIDIA RTX 6000 Ada Generation, 94 %, 18396 MiB, 49140 MiB, 285.03 W, 66
2026/08/27 21:58:29.507, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 18410 MiB, 49140 MiB, 299.91 W, 76
2026/08/27 21:58:39.508, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 18422 MiB, 49140 MiB, 299.85 W, 75
2026/08/27 21:58:39.508, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 18418 MiB, 49140 MiB, 291.97 W, 80
2026/08/27 21:58:39.508, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 18446 MiB, 49140 MiB, 299.08 W, 70
2026/08/27 21:58:39.508, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 18420 MiB, 49140 MiB, 299.34 W, 78
2026/08/27 21:58:49.509, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 18422 MiB, 49140 MiB, 299.43 W, 76
2026/08/27 21:58:49.509, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 18436 MiB, 49140 MiB, 299.57 W, 82
2026/08/27 21:58:49.510, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 18446 MiB, 49140 MiB, 299.10 W, 72
2026/08/27 21:58:49.510, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 18420 MiB, 49140 MiB, 299.28 W, 81
2026/08/27 21:58:59.511, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 18426 MiB, 49140 MiB, 300.49 W, 78
2026/08/27 21:58:59.511, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 18440 MiB, 49140 MiB, 293.59 W, 84
2026/08/27 21:58:59.511, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 18446 MiB, 49140 MiB, 299.98 W, 74
2026/08/27 21:58:59.511, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 18420 MiB, 49140 MiB, 299.86 W, 82
2026/08/27 21:59:09.512, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 18442 MiB, 49140 MiB, 299.37 W, 79
2026/08/27 21:59:09.512, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 18460 MiB, 49140 MiB, 292.52 W, 85
2026/08/27 21:59:09.513, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 18588 MiB, 49140 MiB, 300.12 W, 75
2026/08/27 21:59:09.513, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 18428 MiB, 49140 MiB, 299.61 W, 84
2026/08/27 21:59:19.514, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 4 MiB, 49140 MiB, 140.53 W, 75
2026/08/27 21:59:19.534, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 4 MiB, 49140 MiB, 115.69 W, 81
2026/08/27 21:59:19.534, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 4 MiB, 49140 MiB, 99.81 W, 69
2026/08/27 21:59:19.534, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 4 MiB, 49140 MiB, 144.25 W, 80
