timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/27 20:25:19.517, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 79.88 W, 38
2026/08/27 20:25:19.519, 1, NVIDIA RTX 6000 Ada Generation, 11 %, 2 MiB, 49140 MiB, 83.19 W, 41
2026/08/27 20:25:19.520, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 75.32 W, 69
2026/08/27 20:25:19.521, 3, NVIDIA RTX 6000 Ada Generation, 10 %, 2 MiB, 49140 MiB, 63.97 W, 42
2026/08/27 20:25:29.523, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 16612 MiB, 49140 MiB, 83.47 W, 39
2026/08/27 20:25:29.523, 1, NVIDIA RTX 6000 Ada Generation, 14 %, 16856 MiB, 49140 MiB, 85.09 W, 42
2026/08/27 20:25:29.523, 2, NVIDIA RTX 6000 Ada Generation, 23 %, 16856 MiB, 49140 MiB, 99.31 W, 64
2026/08/27 20:25:29.523, 3, NVIDIA RTX 6000 Ada Generation, 21 %, 17600 MiB, 49140 MiB, 87.40 W, 43
2026/08/27 20:25:39.524, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27334 MiB, 49140 MiB, 279.25 W, 48
2026/08/27 20:25:39.524, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 27456 MiB, 49140 MiB, 266.42 W, 51
2026/08/27 20:25:39.524, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 27380 MiB, 49140 MiB, 294.63 W, 69
2026/08/27 20:25:39.524, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 27406 MiB, 49140 MiB, 260.67 W, 53
2026/08/27 20:25:49.525, 0, NVIDIA RTX 6000 Ada Generation, 84 %, 27472 MiB, 49140 MiB, 240.09 W, 52
2026/08/27 20:25:49.526, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 27530 MiB, 49140 MiB, 243.13 W, 55
2026/08/27 20:25:49.526, 2, NVIDIA RTX 6000 Ada Generation, 94 %, 27496 MiB, 49140 MiB, 296.30 W, 72
2026/08/27 20:25:49.526, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 27468 MiB, 49140 MiB, 287.00 W, 60
2026/08/27 20:25:59.527, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 27748 MiB, 49140 MiB, 277.12 W, 57
2026/08/27 20:25:59.527, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27530 MiB, 49140 MiB, 285.60 W, 61
2026/08/27 20:25:59.527, 2, NVIDIA RTX 6000 Ada Generation, 87 %, 27496 MiB, 49140 MiB, 277.30 W, 73
2026/08/27 20:25:59.527, 3, NVIDIA RTX 6000 Ada Generation, 88 %, 27468 MiB, 49140 MiB, 249.62 W, 63
2026/08/27 20:26:09.528, 0, NVIDIA RTX 6000 Ada Generation, 92 %, 27894 MiB, 49140 MiB, 265.55 W, 59
2026/08/27 20:26:09.528, 1, NVIDIA RTX 6000 Ada Generation, 89 %, 27572 MiB, 49140 MiB, 249.93 W, 64
2026/08/27 20:26:09.528, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 27526 MiB, 49140 MiB, 294.85 W, 74
2026/08/27 20:26:09.529, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27492 MiB, 49140 MiB, 299.18 W, 69
2026/08/27 20:26:19.529, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27894 MiB, 49140 MiB, 297.92 W, 64
2026/08/27 20:26:19.530, 1, NVIDIA RTX 6000 Ada Generation, 96 %, 27800 MiB, 49140 MiB, 274.25 W, 67
2026/08/27 20:26:19.530, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 27526 MiB, 49140 MiB, 299.48 W, 75
2026/08/27 20:26:19.530, 3, NVIDIA RTX 6000 Ada Generation, 89 %, 27636 MiB, 49140 MiB, 263.18 W, 71
2026/08/27 20:26:29.531, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27894 MiB, 49140 MiB, 299.52 W, 67
2026/08/27 20:26:29.531, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 27800 MiB, 49140 MiB, 285.04 W, 70
2026/08/27 20:26:29.531, 2, NVIDIA RTX 6000 Ada Generation, 85 %, 27532 MiB, 49140 MiB, 280.67 W, 76
2026/08/27 20:26:29.531, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 27852 MiB, 49140 MiB, 286.74 W, 74
2026/08/27 20:26:39.532, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27894 MiB, 49140 MiB, 299.32 W, 70
2026/08/27 20:26:39.532, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 27800 MiB, 49140 MiB, 265.01 W, 72
2026/08/27 20:26:39.532, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27532 MiB, 49140 MiB, 299.78 W, 77
2026/08/27 20:26:39.533, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 27852 MiB, 49140 MiB, 289.20 W, 76
2026/08/27 20:26:49.534, 0, NVIDIA RTX 6000 Ada Generation, 88 %, 27894 MiB, 49140 MiB, 268.90 W, 70
2026/08/27 20:26:49.534, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27800 MiB, 49140 MiB, 291.96 W, 75
2026/08/27 20:26:49.534, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 27572 MiB, 49140 MiB, 300.10 W, 77
2026/08/27 20:26:49.534, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 27854 MiB, 49140 MiB, 292.43 W, 79
2026/08/27 20:26:59.535, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27894 MiB, 49140 MiB, 299.61 W, 72
2026/08/27 20:26:59.535, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27800 MiB, 49140 MiB, 299.02 W, 77
2026/08/27 20:26:59.535, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27692 MiB, 49140 MiB, 300.28 W, 78
2026/08/27 20:26:59.535, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27854 MiB, 49140 MiB, 297.43 W, 81
2026/08/27 20:27:09.536, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27894 MiB, 49140 MiB, 299.87 W, 74
2026/08/27 20:27:09.537, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 27800 MiB, 49140 MiB, 290.52 W, 79
2026/08/27 20:27:09.537, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27692 MiB, 49140 MiB, 299.82 W, 79
2026/08/27 20:27:09.537, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27854 MiB, 49140 MiB, 298.98 W, 82
