timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/27 22:21:21.554, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 82.51 W, 41
2026/08/27 22:21:21.555, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 65.31 W, 49
2026/08/27 22:21:21.556, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 69.14 W, 40
2026/08/27 22:21:21.557, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 69.51 W, 48
2026/08/27 22:21:31.559, 0, NVIDIA RTX 6000 Ada Generation, 26 %, 19364 MiB, 49140 MiB, 84.68 W, 42
2026/08/27 22:21:31.559, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 19364 MiB, 49140 MiB, 89.49 W, 50
2026/08/27 22:21:31.559, 2, NVIDIA RTX 6000 Ada Generation, 31 %, 21692 MiB, 49140 MiB, 79.68 W, 41
2026/08/27 22:21:31.559, 3, NVIDIA RTX 6000 Ada Generation, 29 %, 17972 MiB, 49140 MiB, 90.06 W, 48
2026/08/27 22:21:41.560, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27370 MiB, 49140 MiB, 283.99 W, 52
2026/08/27 22:21:41.560, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 27642 MiB, 49140 MiB, 273.27 W, 59
2026/08/27 22:21:41.560, 2, NVIDIA RTX 6000 Ada Generation, 90 %, 27644 MiB, 49140 MiB, 258.17 W, 52
2026/08/27 22:21:41.560, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27498 MiB, 49140 MiB, 286.22 W, 59
2026/08/27 22:21:51.562, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27372 MiB, 49140 MiB, 289.30 W, 57
2026/08/27 22:21:51.562, 1, NVIDIA RTX 6000 Ada Generation, 93 %, 27848 MiB, 49140 MiB, 257.83 W, 63
2026/08/27 22:21:51.562, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27644 MiB, 49140 MiB, 296.87 W, 56
2026/08/27 22:21:51.562, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27498 MiB, 49140 MiB, 283.14 W, 64
2026/08/27 22:22:01.563, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27452 MiB, 49140 MiB, 295.16 W, 61
2026/08/27 22:22:01.563, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 28250 MiB, 49140 MiB, 272.24 W, 67
2026/08/27 22:22:01.563, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 27644 MiB, 49140 MiB, 287.69 W, 60
2026/08/27 22:22:01.563, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27538 MiB, 49140 MiB, 297.10 W, 68
2026/08/27 22:22:11.565, 0, NVIDIA RTX 6000 Ada Generation, 89 %, 27660 MiB, 49140 MiB, 259.37 W, 63
2026/08/27 22:22:11.565, 1, NVIDIA RTX 6000 Ada Generation, 96 %, 28250 MiB, 49140 MiB, 280.60 W, 70
2026/08/27 22:22:11.565, 2, NVIDIA RTX 6000 Ada Generation, 92 %, 27838 MiB, 49140 MiB, 274.24 W, 63
2026/08/27 22:22:11.565, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27538 MiB, 49140 MiB, 289.07 W, 72
2026/08/27 22:22:21.566, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27914 MiB, 49140 MiB, 288.77 W, 67
2026/08/27 22:22:21.566, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 28250 MiB, 49140 MiB, 299.37 W, 74
2026/08/27 22:22:21.566, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 28012 MiB, 49140 MiB, 290.63 W, 66
2026/08/27 22:22:21.566, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27538 MiB, 49140 MiB, 299.81 W, 75
2026/08/27 22:22:31.568, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27914 MiB, 49140 MiB, 299.43 W, 69
2026/08/27 22:22:31.568, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 28250 MiB, 49140 MiB, 299.55 W, 76
2026/08/27 22:22:31.568, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 28012 MiB, 49140 MiB, 299.74 W, 69
2026/08/27 22:22:31.568, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27538 MiB, 49140 MiB, 299.47 W, 77
2026/08/27 22:22:41.569, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27914 MiB, 49140 MiB, 299.65 W, 71
2026/08/27 22:22:41.569, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 28250 MiB, 49140 MiB, 299.19 W, 79
2026/08/27 22:22:41.569, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 28012 MiB, 49140 MiB, 299.87 W, 71
2026/08/27 22:22:41.569, 3, NVIDIA RTX 6000 Ada Generation, 85 %, 27558 MiB, 49140 MiB, 283.26 W, 78
2026/08/27 22:22:51.571, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27934 MiB, 49140 MiB, 294.46 W, 73
2026/08/27 22:22:51.571, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 28250 MiB, 49140 MiB, 300.01 W, 80
2026/08/27 22:22:51.571, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 28012 MiB, 49140 MiB, 299.45 W, 72
2026/08/27 22:22:51.571, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 27666 MiB, 49140 MiB, 293.42 W, 81
2026/08/27 22:23:01.572, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 27934 MiB, 49140 MiB, 299.63 W, 74
2026/08/27 22:23:01.572, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 28392 MiB, 49140 MiB, 268.55 W, 81
