timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/27 22:18:10.470, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 105.90 W, 68
2026/08/27 22:18:10.471, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 92.39 W, 76
2026/08/27 22:18:10.472, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 77.12 W, 67
2026/08/27 22:18:10.473, 3, NVIDIA RTX 6000 Ada Generation, 10 %, 2 MiB, 49140 MiB, 98.03 W, 76
2026/08/27 22:18:20.475, 0, NVIDIA RTX 6000 Ada Generation, 27 %, 19556 MiB, 49140 MiB, 104.16 W, 65
2026/08/27 22:18:20.475, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 18992 MiB, 49140 MiB, 104.95 W, 73
2026/08/27 22:18:20.475, 2, NVIDIA RTX 6000 Ada Generation, 30 %, 20948 MiB, 49140 MiB, 98.26 W, 63
2026/08/27 22:18:20.475, 3, NVIDIA RTX 6000 Ada Generation, 12 %, 20948 MiB, 49140 MiB, 110.37 W, 72
2026/08/27 22:18:30.476, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 27348 MiB, 49140 MiB, 298.69 W, 71
2026/08/27 22:18:30.478, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27422 MiB, 49140 MiB, 286.76 W, 78
2026/08/27 22:18:30.478, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 27462 MiB, 49140 MiB, 299.10 W, 70
2026/08/27 22:18:30.478, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 27420 MiB, 49140 MiB, 299.66 W, 80
2026/08/27 22:18:40.479, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 27458 MiB, 49140 MiB, 292.22 W, 73
2026/08/27 22:18:40.479, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 27422 MiB, 49140 MiB, 298.74 W, 81
2026/08/27 22:18:40.479, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 27462 MiB, 49140 MiB, 300.02 W, 72
2026/08/27 22:18:40.479, 3, NVIDIA RTX 6000 Ada Generation, 98 %, 27436 MiB, 49140 MiB, 299.22 W, 82
