timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 23:29:14.991, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 23:29:14.991, 1, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 23:29:14.991, 2, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 23:29:14.992, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 23:29:24.993, 0, NVIDIA L40S, 8 %, 16375 MiB
2026/09/06 23:29:24.993, 1, NVIDIA L40S, 6 %, 16375 MiB
2026/09/06 23:29:24.993, 2, NVIDIA L40S, 19 %, 16375 MiB
2026/09/06 23:29:24.993, 3, NVIDIA L40S, 8 %, 20287 MiB
2026/09/06 23:29:34.994, 0, NVIDIA L40S, 0 %, 28243 MiB
2026/09/06 23:29:34.995, 1, NVIDIA L40S, 0 %, 28243 MiB
2026/09/06 23:29:34.995, 2, NVIDIA L40S, 0 %, 28243 MiB
2026/09/06 23:29:34.995, 3, NVIDIA L40S, 0 %, 28243 MiB
2026/09/06 23:29:44.996, 0, NVIDIA L40S, 97 %, 28361 MiB
2026/09/06 23:29:44.996, 1, NVIDIA L40S, 85 %, 28553 MiB
2026/09/06 23:29:44.996, 2, NVIDIA L40S, 85 %, 28609 MiB
2026/09/06 23:29:44.996, 3, NVIDIA L40S, 91 %, 28469 MiB
2026/09/06 23:29:54.997, 0, NVIDIA L40S, 94 %, 28435 MiB
2026/09/06 23:29:54.997, 1, NVIDIA L40S, 93 %, 28743 MiB
2026/09/06 23:29:54.997, 2, NVIDIA L40S, 94 %, 28759 MiB
2026/09/06 23:29:54.997, 3, NVIDIA L40S, 89 %, 28469 MiB
2026/09/06 23:30:04.998, 0, NVIDIA L40S, 94 %, 28523 MiB
2026/09/06 23:30:04.999, 1, NVIDIA L40S, 94 %, 28743 MiB
2026/09/06 23:30:04.999, 2, NVIDIA L40S, 94 %, 28759 MiB
2026/09/06 23:30:04.999, 3, NVIDIA L40S, 91 %, 28469 MiB
2026/09/06 23:30:15.000, 0, NVIDIA L40S, 94 %, 28523 MiB
2026/09/06 23:30:15.000, 1, NVIDIA L40S, 94 %, 28743 MiB
2026/09/06 23:30:15.000, 2, NVIDIA L40S, 95 %, 28759 MiB
2026/09/06 23:30:15.000, 3, NVIDIA L40S, 81 %, 28469 MiB
2026/09/06 23:30:25.001, 0, NVIDIA L40S, 94 %, 28523 MiB
2026/09/06 23:30:25.001, 1, NVIDIA L40S, 94 %, 28743 MiB
2026/09/06 23:30:25.001, 2, NVIDIA L40S, 95 %, 28759 MiB
2026/09/06 23:30:25.001, 3, NVIDIA L40S, 91 %, 28475 MiB
2026/09/06 23:30:35.002, 0, NVIDIA L40S, 97 %, 28523 MiB
2026/09/06 23:30:35.002, 1, NVIDIA L40S, 94 %, 28743 MiB
2026/09/06 23:30:35.002, 2, NVIDIA L40S, 96 %, 28759 MiB
2026/09/06 23:30:35.003, 3, NVIDIA L40S, 91 %, 28475 MiB
2026/09/06 23:30:45.003, 0, NVIDIA L40S, 97 %, 28523 MiB
2026/09/06 23:30:45.004, 1, NVIDIA L40S, 93 %, 28743 MiB
2026/09/06 23:30:45.004, 2, NVIDIA L40S, 92 %, 28759 MiB
2026/09/06 23:30:45.004, 3, NVIDIA L40S, 94 %, 28475 MiB
2026/09/06 23:30:55.005, 0, NVIDIA L40S, 94 %, 28589 MiB
2026/09/06 23:30:55.005, 1, NVIDIA L40S, 97 %, 28743 MiB
2026/09/06 23:30:55.005, 2, NVIDIA L40S, 97 %, 28759 MiB
