timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 06:41:08.098, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 105.83 W, 68
2026/08/28 06:41:08.099, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 85.29 W, 68
2026/08/28 06:41:08.100, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 65.20 W, 56
2026/08/28 06:41:08.101, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 58.39 W, 57
2026/08/28 06:41:18.103, 0, NVIDIA RTX 6000 Ada Generation, 36 %, 21268 MiB, 49140 MiB, 102.70 W, 63
2026/08/28 06:41:18.103, 1, NVIDIA RTX 6000 Ada Generation, 6 %, 17998 MiB, 49140 MiB, 99.91 W, 65
2026/08/28 06:41:18.103, 2, NVIDIA RTX 6000 Ada Generation, 29 %, 21608 MiB, 49140 MiB, 90.42 W, 53
2026/08/28 06:41:18.103, 3, NVIDIA RTX 6000 Ada Generation, 24 %, 18678 MiB, 49140 MiB, 93.91 W, 57
2026/08/28 06:41:28.104, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 37906 MiB, 49140 MiB, 299.96 W, 71
2026/08/28 06:41:28.104, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 38044 MiB, 49140 MiB, 296.62 W, 71
2026/08/28 06:41:28.104, 2, NVIDIA RTX 6000 Ada Generation, 91 %, 38134 MiB, 49140 MiB, 275.41 W, 60
2026/08/28 06:41:28.105, 3, NVIDIA RTX 6000 Ada Generation, 87 %, 37928 MiB, 49140 MiB, 264.08 W, 65
2026/08/28 06:41:38.106, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 38188 MiB, 49140 MiB, 299.58 W, 69
2026/08/28 06:41:38.106, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 38164 MiB, 49140 MiB, 287.82 W, 73
2026/08/28 06:41:38.106, 2, NVIDIA RTX 6000 Ada Generation, 89 %, 38282 MiB, 49140 MiB, 273.66 W, 64
2026/08/28 06:41:38.106, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 38164 MiB, 49140 MiB, 287.87 W, 69
2026/08/28 06:41:48.107, 0, NVIDIA RTX 6000 Ada Generation, 93 %, 38386 MiB, 49140 MiB, 285.42 W, 71
2026/08/28 06:41:48.107, 1, NVIDIA RTX 6000 Ada Generation, 83 %, 38182 MiB, 49140 MiB, 272.60 W, 75
2026/08/28 06:41:48.107, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 38282 MiB, 49140 MiB, 279.44 W, 66
2026/08/28 06:41:48.107, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 38164 MiB, 49140 MiB, 290.11 W, 72
2026/08/28 06:41:58.108, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 38568 MiB, 49140 MiB, 299.62 W, 72
2026/08/28 06:41:58.109, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 38182 MiB, 49140 MiB, 292.55 W, 78
2026/08/28 06:41:58.109, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 38282 MiB, 49140 MiB, 298.67 W, 68
2026/08/28 06:41:58.109, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 38164 MiB, 49140 MiB, 298.39 W, 75
2026/08/28 06:42:08.110, 0, NVIDIA RTX 6000 Ada Generation, 92 %, 38568 MiB, 49140 MiB, 280.77 W, 73
2026/08/28 06:42:08.110, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 38234 MiB, 49140 MiB, 298.53 W, 80
2026/08/28 06:42:08.110, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 38282 MiB, 49140 MiB, 299.50 W, 70
2026/08/28 06:42:08.110, 3, NVIDIA RTX 6000 Ada Generation, 90 %, 38276 MiB, 49140 MiB, 278.84 W, 77
2026/08/28 06:42:18.112, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 38608 MiB, 49140 MiB, 292.99 W, 74
2026/08/28 06:42:18.112, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 38274 MiB, 49140 MiB, 282.99 W, 80
2026/08/28 06:42:18.112, 2, NVIDIA RTX 6000 Ada Generation, 92 %, 38408 MiB, 49140 MiB, 290.48 W, 71
2026/08/28 06:42:18.112, 3, NVIDIA RTX 6000 Ada Generation, 92 %, 38414 MiB, 49140 MiB, 287.64 W, 79
2026/08/28 06:42:28.113, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 38836 MiB, 49140 MiB, 298.87 W, 75
