timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 06:54:55.736, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 107.14 W, 69
2026/08/28 06:54:55.737, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 101.34 W, 77
2026/08/28 06:54:55.738, 2, NVIDIA RTX 6000 Ada Generation, 5 %, 2 MiB, 49140 MiB, 99.78 W, 68
2026/08/28 06:54:55.739, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 106.83 W, 76
2026/08/28 06:55:05.741, 0, NVIDIA RTX 6000 Ada Generation, 34 %, 20978 MiB, 49140 MiB, 104.90 W, 65
2026/08/28 06:55:05.741, 1, NVIDIA RTX 6000 Ada Generation, 21 %, 17998 MiB, 49140 MiB, 106.30 W, 73
2026/08/28 06:55:05.741, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 16398 MiB, 49140 MiB, 98.22 W, 64
2026/08/28 06:55:05.741, 3, NVIDIA RTX 6000 Ada Generation, 25 %, 17998 MiB, 49140 MiB, 109.64 W, 72
2026/08/28 06:55:15.742, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 37866 MiB, 49140 MiB, 300.12 W, 70
2026/08/28 06:55:15.742, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 37922 MiB, 49140 MiB, 299.32 W, 77
2026/08/28 06:55:15.742, 2, NVIDIA RTX 6000 Ada Generation, 93 %, 37874 MiB, 49140 MiB, 280.09 W, 68
2026/08/28 06:55:15.742, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 37930 MiB, 49140 MiB, 287.21 W, 77
2026/08/28 06:55:25.743, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 38188 MiB, 49140 MiB, 299.94 W, 72
2026/08/28 06:55:25.743, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 38162 MiB, 49140 MiB, 299.24 W, 80
2026/08/28 06:55:25.743, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 38282 MiB, 49140 MiB, 299.51 W, 71
2026/08/28 06:55:25.743, 3, NVIDIA RTX 6000 Ada Generation, 88 %, 38164 MiB, 49140 MiB, 284.09 W, 79
2026/08/28 06:55:35.744, 0, NVIDIA RTX 6000 Ada Generation, 90 %, 38360 MiB, 49140 MiB, 287.35 W, 73
2026/08/28 06:55:35.744, 1, NVIDIA RTX 6000 Ada Generation, 89 %, 38184 MiB, 49140 MiB, 275.52 W, 82
2026/08/28 06:55:35.744, 2, NVIDIA RTX 6000 Ada Generation, 85 %, 38282 MiB, 49140 MiB, 287.33 W, 73
2026/08/28 06:55:35.744, 3, NVIDIA RTX 6000 Ada Generation, 92 %, 38164 MiB, 49140 MiB, 287.10 W, 82
2026/08/28 06:55:45.745, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 38568 MiB, 49140 MiB, 299.76 W, 75
2026/08/28 06:55:45.745, 1, NVIDIA RTX 6000 Ada Generation, 83 %, 38184 MiB, 49140 MiB, 281.06 W, 83
2026/08/28 06:55:45.745, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 38282 MiB, 49140 MiB, 299.54 W, 74
2026/08/28 06:55:45.745, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 38164 MiB, 49140 MiB, 299.25 W, 83
2026/08/28 06:55:55.746, 0, NVIDIA RTX 6000 Ada Generation, 90 %, 38568 MiB, 49140 MiB, 284.08 W, 76
2026/08/28 06:55:55.746, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 38208 MiB, 49140 MiB, 299.35 W, 85
2026/08/28 06:55:55.746, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 38282 MiB, 49140 MiB, 299.80 W, 76
2026/08/28 06:55:55.746, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 38276 MiB, 49140 MiB, 290.25 W, 84
2026/08/28 06:56:05.747, 0, NVIDIA RTX 6000 Ada Generation, 95 %, 38588 MiB, 49140 MiB, 295.61 W, 78
2026/08/28 06:56:05.747, 1, NVIDIA RTX 6000 Ada Generation, 91 %, 38222 MiB, 49140 MiB, 284.88 W, 86
2026/08/28 06:56:05.747, 2, NVIDIA RTX 6000 Ada Generation, 91 %, 38366 MiB, 49140 MiB, 293.09 W, 77
2026/08/28 06:56:05.747, 3, NVIDIA RTX 6000 Ada Generation, 93 %, 38276 MiB, 49140 MiB, 291.54 W, 84
2026/08/28 06:56:15.748, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 38836 MiB, 49140 MiB, 299.28 W, 79
2026/08/28 06:56:15.748, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 38436 MiB, 49140 MiB, 298.73 W, 87
2026/08/28 06:56:15.748, 2, NVIDIA RTX 6000 Ada Generation, 85 %, 38586 MiB, 49140 MiB, 288.78 W, 78
2026/08/28 06:56:15.748, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 38674 MiB, 49140 MiB, 283.00 W, 82
2026/08/28 06:56:25.749, 0, NVIDIA RTX 6000 Ada Generation, 85 %, 38836 MiB, 49140 MiB, 284.33 W, 79
2026/08/28 06:56:25.749, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 38436 MiB, 49140 MiB, 297.57 W, 88
2026/08/28 06:56:25.749, 2, NVIDIA RTX 6000 Ada Generation, 90 %, 38586 MiB, 49140 MiB, 292.53 W, 78
2026/08/28 06:56:25.749, 3, NVIDIA RTX 6000 Ada Generation, 94 %, 38674 MiB, 49140 MiB, 280.45 W, 80
2026/08/28 06:56:35.750, 0, NVIDIA RTX 6000 Ada Generation, 92 %, 38836 MiB, 49140 MiB, 288.00 W, 80
2026/08/28 06:56:35.751, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 38436 MiB, 49140 MiB, 292.52 W, 88
2026/08/28 06:56:35.751, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 38622 MiB, 49140 MiB, 298.68 W, 79
2026/08/28 06:56:35.751, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 38714 MiB, 49140 MiB, 110.78 W, 72
2026/08/28 06:56:45.752, 0, NVIDIA RTX 6000 Ada Generation, 92 %, 38836 MiB, 49140 MiB, 292.68 W, 80
2026/08/28 06:56:45.752, 1, NVIDIA RTX 6000 Ada Generation, 93 %, 38480 MiB, 49140 MiB, 284.93 W, 87
2026/08/28 06:56:45.752, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 38622 MiB, 49140 MiB, 298.58 W, 80
2026/08/28 06:56:45.752, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 38714 MiB, 49140 MiB, 103.14 W, 68
2026/08/28 06:56:55.753, 0, NVIDIA RTX 6000 Ada Generation, 93 %, 38836 MiB, 49140 MiB, 296.34 W, 80
2026/08/28 06:56:55.753, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 38768 MiB, 49140 MiB, 293.90 W, 86
2026/08/28 06:56:55.754, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 38630 MiB, 49140 MiB, 104.18 W, 71
2026/08/28 06:56:55.754, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 38714 MiB, 49140 MiB, 35.33 W, 63
2026/08/28 06:57:05.755, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 38836 MiB, 49140 MiB, 298.60 W, 81
2026/08/28 06:57:05.755, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 38808 MiB, 49140 MiB, 115.44 W, 78
2026/08/28 06:57:05.755, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 38630 MiB, 49140 MiB, 99.17 W, 67
2026/08/28 06:57:05.755, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 38714 MiB, 49140 MiB, 33.49 W, 61
2026/08/28 06:57:15.756, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 38836 MiB, 49140 MiB, 299.10 W, 81
2026/08/28 06:57:15.756, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 38808 MiB, 49140 MiB, 106.02 W, 73
2026/08/28 06:57:15.756, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 38630 MiB, 49140 MiB, 96.29 W, 64
2026/08/28 06:57:15.756, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 38714 MiB, 49140 MiB, 32.23 W, 59
