timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 06:38:34.573, 0, NVIDIA RTX 6000 Ada Generation, 11 %, 2 MiB, 49140 MiB, 101.31 W, 65
2026/08/28 06:38:34.574, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 91.34 W, 74
2026/08/28 06:38:34.574, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 76.51 W, 65
2026/08/28 06:38:34.575, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 78.49 W, 73
2026/08/28 06:38:44.577, 0, NVIDIA RTX 6000 Ada Generation, 28 %, 19548 MiB, 49140 MiB, 100.67 W, 61
2026/08/28 06:38:44.577, 1, NVIDIA RTX 6000 Ada Generation, 34 %, 20178 MiB, 49140 MiB, 103.36 W, 70
2026/08/28 06:38:44.577, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 596 MiB, 49140 MiB, 93.85 W, 61
2026/08/28 06:38:44.577, 3, NVIDIA RTX 6000 Ada Generation, 28 %, 21608 MiB, 49140 MiB, 106.03 W, 69
2026/08/28 06:38:54.578, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 37866 MiB, 49140 MiB, 298.38 W, 66
2026/08/28 06:38:54.578, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 38044 MiB, 49140 MiB, 299.21 W, 74
2026/08/28 06:38:54.579, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 37662 MiB, 49140 MiB, 91.69 W, 58
2026/08/28 06:38:54.579, 3, NVIDIA RTX 6000 Ada Generation, 86 %, 37930 MiB, 49140 MiB, 268.75 W, 74
2026/08/28 06:39:04.580, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 38188 MiB, 49140 MiB, 299.14 W, 68
2026/08/28 06:39:04.580, 1, NVIDIA RTX 6000 Ada Generation, 84 %, 38164 MiB, 49140 MiB, 288.36 W, 76
2026/08/28 06:39:04.580, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 38234 MiB, 49140 MiB, 298.73 W, 66
2026/08/28 06:39:04.580, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 38164 MiB, 49140 MiB, 290.60 W, 77
2026/08/28 06:39:14.581, 0, NVIDIA RTX 6000 Ada Generation, 89 %, 38332 MiB, 49140 MiB, 280.44 W, 69
2026/08/28 06:39:14.581, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 38188 MiB, 49140 MiB, 279.34 W, 78
2026/08/28 06:39:14.581, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 38282 MiB, 49140 MiB, 289.35 W, 68
2026/08/28 06:39:14.581, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 38164 MiB, 49140 MiB, 290.16 W, 79
2026/08/28 06:39:24.582, 0, NVIDIA RTX 6000 Ada Generation, 95 %, 38568 MiB, 49140 MiB, 299.53 W, 71
2026/08/28 06:39:24.582, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 38188 MiB, 49140 MiB, 280.39 W, 80
2026/08/28 06:39:24.582, 2, NVIDIA RTX 6000 Ada Generation, 89 %, 38282 MiB, 49140 MiB, 286.70 W, 69
2026/08/28 06:39:24.582, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 38164 MiB, 49140 MiB, 299.40 W, 80
