timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 02:22:36.097, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 103.73 W, 66
2026/08/28 02:22:36.098, 1, NVIDIA RTX 6000 Ada Generation, 11 %, 2 MiB, 49140 MiB, 99.67 W, 70
2026/08/28 02:22:36.098, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 85.64 W, 55
2026/08/28 02:22:36.099, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 74.82 W, 64
2026/08/28 02:22:46.101, 0, NVIDIA RTX 6000 Ada Generation, 28 %, 25864 MiB, 49140 MiB, 101.89 W, 63
2026/08/28 02:22:46.101, 1, NVIDIA RTX 6000 Ada Generation, 22 %, 25864 MiB, 49140 MiB, 101.15 W, 68
2026/08/28 02:22:46.101, 2, NVIDIA RTX 6000 Ada Generation, 13 %, 25864 MiB, 49140 MiB, 89.56 W, 53
2026/08/28 02:22:46.101, 3, NVIDIA RTX 6000 Ada Generation, 8 %, 25864 MiB, 49140 MiB, 97.52 W, 62
2026/08/28 02:22:56.102, 0, NVIDIA RTX 6000 Ada Generation, 86 %, 27364 MiB, 49140 MiB, 248.72 W, 71
2026/08/28 02:22:56.103, 1, NVIDIA RTX 6000 Ada Generation, 93 %, 27396 MiB, 49140 MiB, 248.24 W, 74
2026/08/28 02:22:56.103, 2, NVIDIA RTX 6000 Ada Generation, 92 %, 27364 MiB, 49140 MiB, 248.71 W, 61
2026/08/28 02:22:56.103, 3, NVIDIA RTX 6000 Ada Generation, 94 %, 27396 MiB, 49140 MiB, 248.71 W, 68
