timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 02:32:50.110, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 90.22 W, 56
2026/08/28 02:32:50.111, 1, NVIDIA RTX 6000 Ada Generation, 11 %, 2 MiB, 49140 MiB, 98.74 W, 68
2026/08/28 02:32:50.112, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 71.31 W, 59
2026/08/28 02:32:50.113, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 71.60 W, 61
2026/08/28 02:33:00.115, 0, NVIDIA RTX 6000 Ada Generation, 13 %, 21788 MiB, 49140 MiB, 92.05 W, 54
2026/08/28 02:33:00.115, 1, NVIDIA RTX 6000 Ada Generation, 29 %, 21788 MiB, 49140 MiB, 100.49 W, 66
2026/08/28 02:33:00.115, 2, NVIDIA RTX 6000 Ada Generation, 28 %, 21820 MiB, 49140 MiB, 92.02 W, 56
2026/08/28 02:33:00.115, 3, NVIDIA RTX 6000 Ada Generation, 21 %, 21788 MiB, 49140 MiB, 95.26 W, 59
2026/08/28 02:33:10.116, 0, NVIDIA RTX 6000 Ada Generation, 90 %, 27364 MiB, 49140 MiB, 245.97 W, 59
2026/08/28 02:33:10.117, 1, NVIDIA RTX 6000 Ada Generation, 92 %, 27396 MiB, 49140 MiB, 249.96 W, 71
2026/08/28 02:33:10.117, 2, NVIDIA RTX 6000 Ada Generation, 91 %, 27364 MiB, 49140 MiB, 249.60 W, 62
2026/08/28 02:33:10.117, 3, NVIDIA RTX 6000 Ada Generation, 92 %, 27396 MiB, 49140 MiB, 246.71 W, 65
2026/08/28 02:33:20.118, 0, NVIDIA RTX 6000 Ada Generation, 88 %, 27364 MiB, 49140 MiB, 243.30 W, 64
2026/08/28 02:33:20.118, 1, NVIDIA RTX 6000 Ada Generation, 90 %, 27396 MiB, 49140 MiB, 249.26 W, 72
2026/08/28 02:33:20.118, 2, NVIDIA RTX 6000 Ada Generation, 89 %, 27364 MiB, 49140 MiB, 248.24 W, 65
2026/08/28 02:33:20.118, 3, NVIDIA RTX 6000 Ada Generation, 89 %, 27396 MiB, 49140 MiB, 245.29 W, 70
2026/08/28 02:33:30.119, 0, NVIDIA RTX 6000 Ada Generation, 93 %, 27364 MiB, 49140 MiB, 249.19 W, 63
2026/08/28 02:33:30.120, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 27396 MiB, 49140 MiB, 248.34 W, 73
2026/08/28 02:33:30.120, 2, NVIDIA RTX 6000 Ada Generation, 92 %, 27364 MiB, 49140 MiB, 252.05 W, 64
2026/08/28 02:33:30.120, 3, NVIDIA RTX 6000 Ada Generation, 94 %, 27396 MiB, 49140 MiB, 249.34 W, 70
2026/08/28 02:33:40.121, 0, NVIDIA RTX 6000 Ada Generation, 92 %, 27364 MiB, 49140 MiB, 249.58 W, 65
