timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 02:31:20.350, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 103.32 W, 66
2026/08/28 02:31:20.351, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 98.82 W, 77
2026/08/28 02:31:20.352, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 73.45 W, 51
2026/08/28 02:31:20.353, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 61.97 W, 63
2026/08/28 02:31:30.354, 0, NVIDIA RTX 6000 Ada Generation, 22 %, 18620 MiB, 49140 MiB, 101.54 W, 62
2026/08/28 02:31:30.355, 1, NVIDIA RTX 6000 Ada Generation, 18 %, 18620 MiB, 49140 MiB, 104.81 W, 73
2026/08/28 02:31:30.355, 2, NVIDIA RTX 6000 Ada Generation, 20 %, 19556 MiB, 49140 MiB, 100.08 W, 51
2026/08/28 02:31:30.355, 3, NVIDIA RTX 6000 Ada Generation, 25 %, 19556 MiB, 49140 MiB, 96.56 W, 62
2026/08/28 02:31:40.356, 0, NVIDIA RTX 6000 Ada Generation, 92 %, 27364 MiB, 49140 MiB, 244.79 W, 66
2026/08/28 02:31:40.356, 1, NVIDIA RTX 6000 Ada Generation, 89 %, 27396 MiB, 49140 MiB, 250.76 W, 78
2026/08/28 02:31:40.356, 2, NVIDIA RTX 6000 Ada Generation, 93 %, 27364 MiB, 49140 MiB, 247.26 W, 58
2026/08/28 02:31:40.356, 3, NVIDIA RTX 6000 Ada Generation, 90 %, 27396 MiB, 49140 MiB, 244.79 W, 68
