timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 02:31:51.142, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 97.34 W, 61
2026/08/28 02:31:51.143, 1, NVIDIA RTX 6000 Ada Generation, 11 %, 2 MiB, 49140 MiB, 99.30 W, 71
2026/08/28 02:31:51.144, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 68.58 W, 53
2026/08/28 02:31:51.145, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 76.79 W, 63
2026/08/28 02:32:01.147, 0, NVIDIA RTX 6000 Ada Generation, 28 %, 23996 MiB, 49140 MiB, 97.30 W, 58
2026/08/28 02:32:01.147, 1, NVIDIA RTX 6000 Ada Generation, 30 %, 23996 MiB, 49140 MiB, 102.29 W, 68
2026/08/28 02:32:01.147, 2, NVIDIA RTX 6000 Ada Generation, 9 %, 22832 MiB, 49140 MiB, 88.46 W, 52
2026/08/28 02:32:01.147, 3, NVIDIA RTX 6000 Ada Generation, 25 %, 23424 MiB, 49140 MiB, 96.93 W, 62
2026/08/28 02:32:11.148, 0, NVIDIA RTX 6000 Ada Generation, 79 %, 26238 MiB, 49140 MiB, 246.81 W, 64
2026/08/28 02:32:11.148, 1, NVIDIA RTX 6000 Ada Generation, 87 %, 26206 MiB, 49140 MiB, 270.02 W, 74
2026/08/28 02:32:11.148, 2, NVIDIA RTX 6000 Ada Generation, 81 %, 26370 MiB, 49140 MiB, 249.41 W, 59
2026/08/28 02:32:11.148, 3, NVIDIA RTX 6000 Ada Generation, 77 %, 26168 MiB, 49140 MiB, 245.54 W, 69
2026/08/28 02:32:21.149, 0, NVIDIA RTX 6000 Ada Generation, 87 %, 26422 MiB, 49140 MiB, 270.35 W, 66
2026/08/28 02:32:21.149, 1, NVIDIA RTX 6000 Ada Generation, 82 %, 26316 MiB, 49140 MiB, 254.87 W, 75
2026/08/28 02:32:21.149, 2, NVIDIA RTX 6000 Ada Generation, 84 %, 26530 MiB, 49140 MiB, 271.35 W, 62
2026/08/28 02:32:21.149, 3, NVIDIA RTX 6000 Ada Generation, 76 %, 26230 MiB, 49140 MiB, 249.32 W, 71
2026/08/28 02:32:31.150, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 26430 MiB, 49140 MiB, 95.72 W, 60
2026/08/28 02:32:31.150, 1, NVIDIA RTX 6000 Ada Generation, 72 %, 26416 MiB, 49140 MiB, 251.25 W, 76
2026/08/28 02:32:31.150, 2, NVIDIA RTX 6000 Ada Generation, 77 %, 26530 MiB, 49140 MiB, 254.39 W, 64
2026/08/28 02:32:31.150, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 26356 MiB, 49140 MiB, 98.92 W, 65
2026/08/28 02:32:41.151, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 26430 MiB, 49140 MiB, 93.22 W, 58
2026/08/28 02:32:41.151, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 26456 MiB, 49140 MiB, 101.14 W, 71
2026/08/28 02:32:41.152, 2, NVIDIA RTX 6000 Ada Generation, 78 %, 26536 MiB, 49140 MiB, 267.48 W, 66
2026/08/28 02:32:41.152, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 26356 MiB, 49140 MiB, 76.85 W, 61
