timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 02:17:33.466, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 81.90 W, 35
2026/08/28 02:17:33.468, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 73.15 W, 38
2026/08/28 02:17:33.468, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 55.69 W, 35
2026/08/28 02:17:33.469, 3, NVIDIA RTX 6000 Ada Generation, 10 %, 2 MiB, 49140 MiB, 57.41 W, 38
2026/08/28 02:17:43.471, 0, NVIDIA RTX 6000 Ada Generation, 22 %, 18612 MiB, 49140 MiB, 82.85 W, 36
2026/08/28 02:17:43.471, 1, NVIDIA RTX 6000 Ada Generation, 1 %, 18564 MiB, 49140 MiB, 84.67 W, 40
2026/08/28 02:17:43.471, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 17312 MiB, 49140 MiB, 76.24 W, 37
2026/08/28 02:17:43.471, 3, NVIDIA RTX 6000 Ada Generation, 1 %, 18564 MiB, 49140 MiB, 84.19 W, 40
2026/08/28 02:17:53.472, 0, NVIDIA RTX 6000 Ada Generation, 81 %, 26028 MiB, 49140 MiB, 232.64 W, 45
2026/08/28 02:17:53.472, 1, NVIDIA RTX 6000 Ada Generation, 76 %, 26216 MiB, 49140 MiB, 227.82 W, 48
2026/08/28 02:17:53.472, 2, NVIDIA RTX 6000 Ada Generation, 94 %, 26000 MiB, 49140 MiB, 286.35 W, 48
2026/08/28 02:17:53.473, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 26122 MiB, 49140 MiB, 277.58 W, 51
2026/08/28 02:18:03.473, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 26132 MiB, 49140 MiB, 284.06 W, 51
2026/08/28 02:18:03.474, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 26316 MiB, 49140 MiB, 280.55 W, 55
2026/08/28 02:18:03.474, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 26004 MiB, 49140 MiB, 292.83 W, 54
2026/08/28 02:18:03.474, 3, NVIDIA RTX 6000 Ada Generation, 79 %, 26126 MiB, 49140 MiB, 228.56 W, 54
2026/08/28 02:18:13.475, 0, NVIDIA RTX 6000 Ada Generation, 81 %, 26322 MiB, 49140 MiB, 237.75 W, 54
2026/08/28 02:18:13.475, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 26316 MiB, 49140 MiB, 286.66 W, 59
2026/08/28 02:18:13.475, 2, NVIDIA RTX 6000 Ada Generation, 76 %, 26192 MiB, 49140 MiB, 241.67 W, 56
2026/08/28 02:18:13.475, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 26216 MiB, 49140 MiB, 288.11 W, 61
2026/08/28 02:18:23.476, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 26322 MiB, 49140 MiB, 291.14 W, 59
2026/08/28 02:18:23.476, 1, NVIDIA RTX 6000 Ada Generation, 96 %, 26316 MiB, 49140 MiB, 287.46 W, 63
2026/08/28 02:18:23.476, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 26450 MiB, 49140 MiB, 299.59 W, 61
2026/08/28 02:18:23.476, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 26216 MiB, 49140 MiB, 274.96 W, 63
2026/08/28 02:18:33.477, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 26322 MiB, 49140 MiB, 296.55 W, 63
2026/08/28 02:18:33.478, 1, NVIDIA RTX 6000 Ada Generation, 76 %, 26316 MiB, 49140 MiB, 239.33 W, 64
2026/08/28 02:18:33.478, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 26450 MiB, 49140 MiB, 299.82 W, 64
2026/08/28 02:18:33.478, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 26216 MiB, 49140 MiB, 294.45 W, 68
2026/08/28 02:18:43.479, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 26322 MiB, 49140 MiB, 299.88 W, 66
2026/08/28 02:18:43.479, 1, NVIDIA RTX 6000 Ada Generation, 96 %, 26336 MiB, 49140 MiB, 293.49 W, 69
2026/08/28 02:18:43.479, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 26456 MiB, 49140 MiB, 270.35 W, 66
2026/08/28 02:18:43.479, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 26216 MiB, 49140 MiB, 298.62 W, 71
