timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 07:20:00.178, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 87.74 W, 57
2026/08/28 07:20:00.179, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 95.13 W, 72
2026/08/28 07:20:00.180, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 86.22 W, 73
2026/08/28 07:20:00.181, 3, NVIDIA RTX 6000 Ada Generation, 10 %, 2 MiB, 49140 MiB, 82.18 W, 70
2026/08/28 07:20:10.182, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 548 MiB, 49140 MiB, 88.58 W, 55
2026/08/28 07:20:10.182, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 548 MiB, 49140 MiB, 99.52 W, 70
2026/08/28 07:20:10.182, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 4 MiB, 49140 MiB, 44.74 W, 66
2026/08/28 07:20:10.183, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 548 MiB, 49140 MiB, 100.04 W, 68
2026/08/28 07:20:20.184, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 37702 MiB, 49140 MiB, 88.04 W, 55
2026/08/28 07:20:20.184, 1, NVIDIA RTX 6000 Ada Generation, 1 %, 37720 MiB, 49140 MiB, 99.31 W, 68
2026/08/28 07:20:20.184, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 37698 MiB, 49140 MiB, 96.05 W, 64
2026/08/28 07:20:20.184, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 37662 MiB, 49140 MiB, 99.27 W, 67
2026/08/28 07:20:30.185, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 38488 MiB, 49140 MiB, 280.94 W, 64
2026/08/28 07:20:30.185, 1, NVIDIA RTX 6000 Ada Generation, 92 %, 38322 MiB, 49140 MiB, 279.72 W, 76
2026/08/28 07:20:30.185, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 38182 MiB, 49140 MiB, 299.05 W, 72
2026/08/28 07:20:30.185, 3, NVIDIA RTX 6000 Ada Generation, 88 %, 38158 MiB, 49140 MiB, 284.68 W, 76
2026/08/28 07:20:40.186, 0, NVIDIA RTX 6000 Ada Generation, 90 %, 38490 MiB, 49140 MiB, 276.60 W, 68
2026/08/28 07:20:40.186, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 38514 MiB, 49140 MiB, 277.15 W, 79
2026/08/28 07:20:40.186, 2, NVIDIA RTX 6000 Ada Generation, 93 %, 38392 MiB, 49140 MiB, 292.89 W, 74
2026/08/28 07:20:40.186, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 38158 MiB, 49140 MiB, 299.50 W, 80
2026/08/28 07:20:50.187, 0, NVIDIA RTX 6000 Ada Generation, 89 %, 38526 MiB, 49140 MiB, 275.33 W, 71
2026/08/28 07:20:50.187, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 38520 MiB, 49140 MiB, 299.13 W, 82
2026/08/28 07:20:50.187, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 38760 MiB, 49140 MiB, 299.70 W, 75
2026/08/28 07:20:50.187, 3, NVIDIA RTX 6000 Ada Generation, 88 %, 38344 MiB, 49140 MiB, 285.56 W, 82
2026/08/28 07:21:00.188, 0, NVIDIA RTX 6000 Ada Generation, 91 %, 38526 MiB, 49140 MiB, 288.57 W, 73
2026/08/28 07:21:00.188, 1, NVIDIA RTX 6000 Ada Generation, 91 %, 38520 MiB, 49140 MiB, 285.48 W, 83
2026/08/28 07:21:00.188, 2, NVIDIA RTX 6000 Ada Generation, 88 %, 38760 MiB, 49140 MiB, 287.77 W, 76
2026/08/28 07:21:00.188, 3, NVIDIA RTX 6000 Ada Generation, 93 %, 38396 MiB, 49140 MiB, 292.73 W, 84
2026/08/28 07:21:10.189, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 38768 MiB, 49140 MiB, 299.07 W, 75
