timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 09:11:29.557, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 105.66 W, 68
2026/08/28 09:11:29.558, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 92.63 W, 59
2026/08/28 09:11:29.558, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 68.17 W, 40
2026/08/28 09:11:29.559, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 62.06 W, 47
2026/08/28 09:11:39.561, 0, NVIDIA RTX 6000 Ada Generation, 22 %, 17132 MiB, 49140 MiB, 101.31 W, 63
2026/08/28 09:11:39.561, 1, NVIDIA RTX 6000 Ada Generation, 22 %, 17036 MiB, 49140 MiB, 93.29 W, 58
2026/08/28 09:11:39.561, 2, NVIDIA RTX 6000 Ada Generation, 1 %, 17132 MiB, 49140 MiB, 78.26 W, 41
2026/08/28 09:11:39.561, 3, NVIDIA RTX 6000 Ada Generation, 29 %, 20576 MiB, 49140 MiB, 90.21 W, 48
2026/08/28 09:11:49.562, 0, NVIDIA RTX 6000 Ada Generation, 83 %, 25380 MiB, 49140 MiB, 255.34 W, 67
2026/08/28 09:11:49.562, 1, NVIDIA RTX 6000 Ada Generation, 87 %, 25468 MiB, 49140 MiB, 252.94 W, 65
2026/08/28 09:11:49.563, 2, NVIDIA RTX 6000 Ada Generation, 83 %, 25430 MiB, 49140 MiB, 240.82 W, 49
2026/08/28 09:11:49.563, 3, NVIDIA RTX 6000 Ada Generation, 83 %, 25426 MiB, 49140 MiB, 247.26 W, 56
2026/08/28 09:11:59.563, 0, NVIDIA RTX 6000 Ada Generation, 94 %, 25552 MiB, 49140 MiB, 286.58 W, 70
2026/08/28 09:11:59.564, 1, NVIDIA RTX 6000 Ada Generation, 84 %, 25488 MiB, 49140 MiB, 251.02 W, 68
2026/08/28 09:11:59.564, 2, NVIDIA RTX 6000 Ada Generation, 88 %, 25736 MiB, 49140 MiB, 253.05 W, 53
2026/08/28 09:11:59.564, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 25462 MiB, 49140 MiB, 267.91 W, 61
2026/08/28 09:12:09.565, 0, NVIDIA RTX 6000 Ada Generation, 82 %, 25584 MiB, 49140 MiB, 259.26 W, 70
2026/08/28 09:12:09.565, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 25548 MiB, 49140 MiB, 279.86 W, 72
2026/08/28 09:12:09.565, 2, NVIDIA RTX 6000 Ada Generation, 94 %, 25762 MiB, 49140 MiB, 278.14 W, 58
2026/08/28 09:12:09.565, 3, NVIDIA RTX 6000 Ada Generation, 84 %, 25482 MiB, 49140 MiB, 244.50 W, 64
2026/08/28 09:12:19.566, 0, NVIDIA RTX 6000 Ada Generation, 95 %, 25584 MiB, 49140 MiB, 289.66 W, 72
2026/08/28 09:12:19.566, 1, NVIDIA RTX 6000 Ada Generation, 84 %, 25608 MiB, 49140 MiB, 255.52 W, 73
