timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 05:08:14.590, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 82.68 W, 40
2026/08/28 05:08:14.591, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 88.47 W, 54
2026/08/28 05:08:14.592, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 90.96 W, 68
2026/08/28 05:08:14.593, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 58.27 W, 56
2026/08/28 05:08:24.595, 0, NVIDIA RTX 6000 Ada Generation, 14 %, 20402 MiB, 49140 MiB, 84.65 W, 40
2026/08/28 05:08:24.595, 1, NVIDIA RTX 6000 Ada Generation, 24 %, 20402 MiB, 49140 MiB, 90.20 W, 53
2026/08/28 05:08:24.595, 2, NVIDIA RTX 6000 Ada Generation, 17 %, 19552 MiB, 49140 MiB, 98.07 W, 63
2026/08/28 05:08:24.595, 3, NVIDIA RTX 6000 Ada Generation, 15 %, 20402 MiB, 49140 MiB, 94.37 W, 56
2026/08/28 05:08:34.596, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 32880 MiB, 49140 MiB, 299.13 W, 50
2026/08/28 05:08:34.596, 1, NVIDIA RTX 6000 Ada Generation, 92 %, 33308 MiB, 49140 MiB, 285.92 W, 62
2026/08/28 05:08:34.596, 2, NVIDIA RTX 6000 Ada Generation, 99 %, 32948 MiB, 49140 MiB, 300.09 W, 68
2026/08/28 05:08:34.596, 3, NVIDIA RTX 6000 Ada Generation, 91 %, 33058 MiB, 49140 MiB, 293.57 W, 66
2026/08/28 05:08:44.597, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 32912 MiB, 49140 MiB, 299.14 W, 55
2026/08/28 05:08:44.597, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 33384 MiB, 49140 MiB, 299.06 W, 67
2026/08/28 05:08:44.597, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 32948 MiB, 49140 MiB, 299.68 W, 70
2026/08/28 05:08:44.597, 3, NVIDIA RTX 6000 Ada Generation, 98 %, 33118 MiB, 49140 MiB, 299.66 W, 70
2026/08/28 05:08:54.598, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 32952 MiB, 49140 MiB, 299.76 W, 60
2026/08/28 05:08:54.598, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 33384 MiB, 49140 MiB, 299.49 W, 70
2026/08/28 05:08:54.598, 2, NVIDIA RTX 6000 Ada Generation, 94 %, 33138 MiB, 49140 MiB, 298.85 W, 72
2026/08/28 05:08:54.598, 3, NVIDIA RTX 6000 Ada Generation, 99 %, 33118 MiB, 49140 MiB, 299.16 W, 73
2026/08/28 05:09:04.599, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 32992 MiB, 49140 MiB, 299.64 W, 63
2026/08/28 05:09:04.600, 1, NVIDIA RTX 6000 Ada Generation, 90 %, 33442 MiB, 49140 MiB, 296.98 W, 73
2026/08/28 05:09:04.600, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 33158 MiB, 49140 MiB, 299.25 W, 73
2026/08/28 05:09:04.600, 3, NVIDIA RTX 6000 Ada Generation, 99 %, 33118 MiB, 49140 MiB, 299.90 W, 76
2026/08/28 05:09:14.601, 0, NVIDIA RTX 6000 Ada Generation, 99 %, 33052 MiB, 49140 MiB, 299.52 W, 65
2026/08/28 05:09:14.601, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 33568 MiB, 49140 MiB, 299.29 W, 75
2026/08/28 05:09:14.601, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 33158 MiB, 49140 MiB, 299.87 W, 74
2026/08/28 05:09:14.601, 3, NVIDIA RTX 6000 Ada Generation, 98 %, 33118 MiB, 49140 MiB, 299.71 W, 78
2026/08/28 05:09:24.602, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 33092 MiB, 49140 MiB, 299.60 W, 68
2026/08/28 05:09:24.602, 1, NVIDIA RTX 6000 Ada Generation, 98 %, 33568 MiB, 49140 MiB, 299.26 W, 77
2026/08/28 05:09:24.602, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 33158 MiB, 49140 MiB, 299.66 W, 75
2026/08/28 05:09:24.602, 3, NVIDIA RTX 6000 Ada Generation, 93 %, 33118 MiB, 49140 MiB, 298.63 W, 79
2026/08/28 05:09:34.603, 0, NVIDIA RTX 6000 Ada Generation, 93 %, 33194 MiB, 49140 MiB, 299.65 W, 69
2026/08/28 05:09:34.603, 1, NVIDIA RTX 6000 Ada Generation, 93 %, 33568 MiB, 49140 MiB, 299.04 W, 79
2026/08/28 05:09:34.603, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 33158 MiB, 49140 MiB, 299.30 W, 75
2026/08/28 05:09:34.603, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 33186 MiB, 49140 MiB, 296.90 W, 80
2026/08/28 05:09:44.604, 0, NVIDIA RTX 6000 Ada Generation, 99 %, 33326 MiB, 49140 MiB, 299.26 W, 71
