timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 03:23:44.638, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 82.57 W, 42
2026/08/28 03:23:44.639, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 91.96 W, 57
2026/08/28 03:23:44.640, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 97.09 W, 66
2026/08/28 03:23:44.641, 3, NVIDIA RTX 6000 Ada Generation, 11 %, 2 MiB, 49140 MiB, 79.12 W, 57
2026/08/28 03:23:54.643, 0, NVIDIA RTX 6000 Ada Generation, 30 %, 23622 MiB, 49140 MiB, 86.04 W, 42
2026/08/28 03:23:54.643, 1, NVIDIA RTX 6000 Ada Generation, 24 %, 23792 MiB, 49140 MiB, 94.02 W, 57
2026/08/28 03:23:54.643, 2, NVIDIA RTX 6000 Ada Generation, 26 %, 25052 MiB, 49140 MiB, 96.94 W, 62
2026/08/28 03:23:54.643, 3, NVIDIA RTX 6000 Ada Generation, 28 %, 23162 MiB, 49140 MiB, 93.52 W, 56
2026/08/28 03:24:04.644, 0, NVIDIA RTX 6000 Ada Generation, 81 %, 38942 MiB, 49140 MiB, 247.86 W, 50
2026/08/28 03:24:04.645, 1, NVIDIA RTX 6000 Ada Generation, 88 %, 39100 MiB, 49140 MiB, 276.21 W, 64
2026/08/28 03:24:04.645, 2, NVIDIA RTX 6000 Ada Generation, 83 %, 38982 MiB, 49140 MiB, 275.27 W, 67
2026/08/28 03:24:04.645, 3, NVIDIA RTX 6000 Ada Generation, 89 %, 38602 MiB, 49140 MiB, 278.72 W, 65
2026/08/28 03:24:14.646, 0, NVIDIA RTX 6000 Ada Generation, 86 %, 39230 MiB, 49140 MiB, 258.53 W, 54
2026/08/28 03:24:14.646, 1, NVIDIA RTX 6000 Ada Generation, 81 %, 39100 MiB, 49140 MiB, 262.70 W, 67
2026/08/28 03:24:14.646, 2, NVIDIA RTX 6000 Ada Generation, 89 %, 39042 MiB, 49140 MiB, 298.33 W, 69
2026/08/28 03:24:14.646, 3, NVIDIA RTX 6000 Ada Generation, 88 %, 38828 MiB, 49140 MiB, 262.32 W, 68
2026/08/28 03:24:24.647, 0, NVIDIA RTX 6000 Ada Generation, 90 %, 39344 MiB, 49140 MiB, 276.75 W, 58
2026/08/28 03:24:24.647, 1, NVIDIA RTX 6000 Ada Generation, 90 %, 39270 MiB, 49140 MiB, 269.22 W, 70
2026/08/28 03:24:24.647, 2, NVIDIA RTX 6000 Ada Generation, 81 %, 39042 MiB, 49140 MiB, 280.51 W, 70
2026/08/28 03:24:24.648, 3, NVIDIA RTX 6000 Ada Generation, 88 %, 39018 MiB, 49140 MiB, 286.14 W, 72
2026/08/28 03:24:34.649, 0, NVIDIA RTX 6000 Ada Generation, 91 %, 39344 MiB, 49140 MiB, 280.96 W, 61
2026/08/28 03:24:34.649, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 39482 MiB, 49140 MiB, 262.36 W, 73
2026/08/28 03:24:34.649, 2, NVIDIA RTX 6000 Ada Generation, 89 %, 39210 MiB, 49140 MiB, 290.10 W, 71
2026/08/28 03:24:34.649, 3, NVIDIA RTX 6000 Ada Generation, 87 %, 39018 MiB, 49140 MiB, 289.19 W, 75
2026/08/28 03:24:44.650, 0, NVIDIA RTX 6000 Ada Generation, 88 %, 39384 MiB, 49140 MiB, 262.84 W, 63
2026/08/28 03:24:44.650, 1, NVIDIA RTX 6000 Ada Generation, 90 %, 39562 MiB, 49140 MiB, 286.20 W, 75
2026/08/28 03:24:44.650, 2, NVIDIA RTX 6000 Ada Generation, 91 %, 39210 MiB, 49140 MiB, 299.23 W, 73
2026/08/28 03:24:44.651, 3, NVIDIA RTX 6000 Ada Generation, 86 %, 39018 MiB, 49140 MiB, 270.56 W, 76
2026/08/28 03:24:54.652, 0, NVIDIA RTX 6000 Ada Generation, 88 %, 39384 MiB, 49140 MiB, 283.06 W, 65
2026/08/28 03:24:54.652, 1, NVIDIA RTX 6000 Ada Generation, 88 %, 39562 MiB, 49140 MiB, 289.72 W, 77
2026/08/28 03:24:54.652, 2, NVIDIA RTX 6000 Ada Generation, 88 %, 39210 MiB, 49140 MiB, 277.92 W, 73
2026/08/28 03:24:54.652, 3, NVIDIA RTX 6000 Ada Generation, 86 %, 39066 MiB, 49140 MiB, 279.84 W, 78
2026/08/28 03:25:04.653, 0, NVIDIA RTX 6000 Ada Generation, 87 %, 39384 MiB, 49140 MiB, 265.69 W, 67
2026/08/28 03:25:04.653, 1, NVIDIA RTX 6000 Ada Generation, 88 %, 39562 MiB, 49140 MiB, 291.49 W, 78
2026/08/28 03:25:04.653, 2, NVIDIA RTX 6000 Ada Generation, 80 %, 39226 MiB, 49140 MiB, 280.95 W, 74
2026/08/28 03:25:04.653, 3, NVIDIA RTX 6000 Ada Generation, 89 %, 39150 MiB, 49140 MiB, 298.17 W, 80
2026/08/28 03:25:14.654, 0, NVIDIA RTX 6000 Ada Generation, 87 %, 39384 MiB, 49140 MiB, 270.32 W, 68
2026/08/28 03:25:14.655, 1, NVIDIA RTX 6000 Ada Generation, 84 %, 39562 MiB, 49140 MiB, 272.43 W, 79
2026/08/28 03:25:14.655, 2, NVIDIA RTX 6000 Ada Generation, 89 %, 39234 MiB, 49140 MiB, 297.78 W, 74
2026/08/28 03:25:14.655, 3, NVIDIA RTX 6000 Ada Generation, 90 %, 39154 MiB, 49140 MiB, 297.97 W, 81
2026/08/28 03:25:24.656, 0, NVIDIA RTX 6000 Ada Generation, 88 %, 39384 MiB, 49140 MiB, 275.53 W, 70
2026/08/28 03:25:24.656, 1, NVIDIA RTX 6000 Ada Generation, 88 %, 39572 MiB, 49140 MiB, 276.14 W, 79
2026/08/28 03:25:24.656, 2, NVIDIA RTX 6000 Ada Generation, 87 %, 39234 MiB, 49140 MiB, 283.23 W, 75
2026/08/28 03:25:24.656, 3, NVIDIA RTX 6000 Ada Generation, 86 %, 39154 MiB, 49140 MiB, 281.84 W, 81
2026/08/28 03:25:34.658, 0, NVIDIA RTX 6000 Ada Generation, 88 %, 39542 MiB, 49140 MiB, 289.37 W, 71
2026/08/28 03:25:34.658, 1, NVIDIA RTX 6000 Ada Generation, 87 %, 39572 MiB, 49140 MiB, 280.50 W, 80
2026/08/28 03:25:34.658, 2, NVIDIA RTX 6000 Ada Generation, 84 %, 39470 MiB, 49140 MiB, 287.85 W, 75
2026/08/28 03:25:34.658, 3, NVIDIA RTX 6000 Ada Generation, 89 %, 39154 MiB, 49140 MiB, 298.95 W, 83
2026/08/28 03:25:44.659, 0, NVIDIA RTX 6000 Ada Generation, 91 %, 39542 MiB, 49140 MiB, 289.72 W, 72
2026/08/28 03:25:44.659, 1, NVIDIA RTX 6000 Ada Generation, 88 %, 39572 MiB, 49140 MiB, 285.52 W, 81
2026/08/28 03:25:44.659, 2, NVIDIA RTX 6000 Ada Generation, 89 %, 39636 MiB, 49140 MiB, 298.84 W, 76
2026/08/28 03:25:44.659, 3, NVIDIA RTX 6000 Ada Generation, 93 %, 39154 MiB, 49140 MiB, 298.43 W, 84
2026/08/28 03:25:54.661, 0, NVIDIA RTX 6000 Ada Generation, 94 %, 39542 MiB, 49140 MiB, 290.12 W, 73
2026/08/28 03:25:54.661, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 39572 MiB, 49140 MiB, 276.24 W, 80
2026/08/28 03:25:54.661, 2, NVIDIA RTX 6000 Ada Generation, 93 %, 39636 MiB, 49140 MiB, 299.02 W, 76
2026/08/28 03:25:54.661, 3, NVIDIA RTX 6000 Ada Generation, 89 %, 39192 MiB, 49140 MiB, 297.77 W, 84
2026/08/28 03:26:04.662, 0, NVIDIA RTX 6000 Ada Generation, 88 %, 39542 MiB, 49140 MiB, 286.13 W, 74
2026/08/28 03:26:04.662, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 39572 MiB, 49140 MiB, 273.65 W, 82
2026/08/28 03:26:04.662, 2, NVIDIA RTX 6000 Ada Generation, 80 %, 39636 MiB, 49140 MiB, 281.70 W, 76
2026/08/28 03:26:04.663, 3, NVIDIA RTX 6000 Ada Generation, 86 %, 39258 MiB, 49140 MiB, 283.42 W, 83
2026/08/28 03:26:14.664, 0, NVIDIA RTX 6000 Ada Generation, 84 %, 39542 MiB, 49140 MiB, 274.18 W, 73
2026/08/28 03:26:14.664, 1, NVIDIA RTX 6000 Ada Generation, 87 %, 39572 MiB, 49140 MiB, 293.98 W, 83
2026/08/28 03:26:14.664, 2, NVIDIA RTX 6000 Ada Generation, 89 %, 39636 MiB, 49140 MiB, 297.10 W, 76
2026/08/28 03:26:14.664, 3, NVIDIA RTX 6000 Ada Generation, 90 %, 39258 MiB, 49140 MiB, 287.14 W, 83
2026/08/28 03:26:24.665, 0, NVIDIA RTX 6000 Ada Generation, 88 %, 39542 MiB, 49140 MiB, 295.43 W, 74
2026/08/28 03:26:24.665, 1, NVIDIA RTX 6000 Ada Generation, 78 %, 39572 MiB, 49140 MiB, 276.08 W, 83
2026/08/28 03:26:24.665, 2, NVIDIA RTX 6000 Ada Generation, 84 %, 39636 MiB, 49140 MiB, 280.83 W, 76
2026/08/28 03:26:24.665, 3, NVIDIA RTX 6000 Ada Generation, 93 %, 39604 MiB, 49140 MiB, 292.32 W, 83
2026/08/28 03:26:34.666, 0, NVIDIA RTX 6000 Ada Generation, 83 %, 39542 MiB, 49140 MiB, 275.06 W, 74
2026/08/28 03:26:34.667, 1, NVIDIA RTX 6000 Ada Generation, 88 %, 39572 MiB, 49140 MiB, 296.64 W, 84
2026/08/28 03:26:34.667, 2, NVIDIA RTX 6000 Ada Generation, 85 %, 39636 MiB, 49140 MiB, 284.68 W, 76
2026/08/28 03:26:34.667, 3, NVIDIA RTX 6000 Ada Generation, 86 %, 39604 MiB, 49140 MiB, 280.01 W, 82
2026/08/28 03:26:44.668, 0, NVIDIA RTX 6000 Ada Generation, 80 %, 39542 MiB, 49140 MiB, 276.07 W, 75
2026/08/28 03:26:44.668, 1, NVIDIA RTX 6000 Ada Generation, 87 %, 39572 MiB, 49140 MiB, 278.26 W, 84
2026/08/28 03:26:44.668, 2, NVIDIA RTX 6000 Ada Generation, 85 %, 39636 MiB, 49140 MiB, 290.81 W, 77
2026/08/28 03:26:44.668, 3, NVIDIA RTX 6000 Ada Generation, 91 %, 39604 MiB, 49140 MiB, 298.80 W, 82
2026/08/28 03:26:54.670, 0, NVIDIA RTX 6000 Ada Generation, 89 %, 39542 MiB, 49140 MiB, 278.16 W, 75
2026/08/28 03:26:54.670, 1, NVIDIA RTX 6000 Ada Generation, 79 %, 39572 MiB, 49140 MiB, 277.58 W, 85
2026/08/28 03:26:54.670, 2, NVIDIA RTX 6000 Ada Generation, 90 %, 39636 MiB, 49140 MiB, 298.49 W, 77
2026/08/28 03:26:54.670, 3, NVIDIA RTX 6000 Ada Generation, 88 %, 39604 MiB, 49140 MiB, 281.40 W, 80
2026/08/28 03:27:04.671, 0, NVIDIA RTX 6000 Ada Generation, 91 %, 39542 MiB, 49140 MiB, 295.43 W, 76
2026/08/28 03:27:04.671, 1, NVIDIA RTX 6000 Ada Generation, 88 %, 39572 MiB, 49140 MiB, 295.14 W, 86
2026/08/28 03:27:04.671, 2, NVIDIA RTX 6000 Ada Generation, 92 %, 39636 MiB, 49140 MiB, 299.13 W, 77
2026/08/28 03:27:04.671, 3, NVIDIA RTX 6000 Ada Generation, 91 %, 39604 MiB, 49140 MiB, 298.62 W, 80
2026/08/28 03:27:14.672, 0, NVIDIA RTX 6000 Ada Generation, 86 %, 39542 MiB, 49140 MiB, 270.73 W, 75
2026/08/28 03:27:14.673, 1, NVIDIA RTX 6000 Ada Generation, 88 %, 39572 MiB, 49140 MiB, 294.98 W, 86
2026/08/28 03:27:14.673, 2, NVIDIA RTX 6000 Ada Generation, 83 %, 39636 MiB, 49140 MiB, 281.74 W, 78
