timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 10:25:55.337, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 83.22 W, 49
2026/08/28 10:25:55.338, 1, NVIDIA RTX 6000 Ada Generation, 11 %, 2 MiB, 49140 MiB, 93.44 W, 60
2026/08/28 10:25:55.338, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 67.16 W, 48
2026/08/28 10:25:55.339, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 63.66 W, 48
2026/08/28 10:26:05.341, 0, NVIDIA RTX 6000 Ada Generation, 31 %, 24252 MiB, 49140 MiB, 88.02 W, 47
2026/08/28 10:26:05.341, 1, NVIDIA RTX 6000 Ada Generation, 28 %, 26942 MiB, 49140 MiB, 94.14 W, 58
2026/08/28 10:26:05.341, 2, NVIDIA RTX 6000 Ada Generation, 32 %, 25682 MiB, 49140 MiB, 83.08 W, 47
2026/08/28 10:26:05.341, 3, NVIDIA RTX 6000 Ada Generation, 31 %, 26942 MiB, 49140 MiB, 89.86 W, 48
2026/08/28 10:26:15.342, 0, NVIDIA RTX 6000 Ada Generation, 89 %, 38836 MiB, 49140 MiB, 254.01 W, 54
2026/08/28 10:26:15.342, 1, NVIDIA RTX 6000 Ada Generation, 90 %, 38978 MiB, 49140 MiB, 260.90 W, 64
2026/08/28 10:26:15.342, 2, NVIDIA RTX 6000 Ada Generation, 83 %, 38876 MiB, 49140 MiB, 257.22 W, 54
2026/08/28 10:26:15.342, 3, NVIDIA RTX 6000 Ada Generation, 82 %, 38562 MiB, 49140 MiB, 249.36 W, 57
2026/08/28 10:26:25.343, 0, NVIDIA RTX 6000 Ada Generation, 85 %, 39116 MiB, 49140 MiB, 262.94 W, 58
2026/08/28 10:26:25.344, 1, NVIDIA RTX 6000 Ada Generation, 79 %, 39310 MiB, 49140 MiB, 255.97 W, 67
2026/08/28 10:26:25.344, 2, NVIDIA RTX 6000 Ada Generation, 82 %, 38916 MiB, 49140 MiB, 263.78 W, 58
2026/08/28 10:26:25.344, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 38954 MiB, 49140 MiB, 132.94 W, 56
2026/08/28 10:26:35.345, 0, NVIDIA RTX 6000 Ada Generation, 70 %, 39268 MiB, 49140 MiB, 253.58 W, 60
2026/08/28 10:26:35.345, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 39490 MiB, 49140 MiB, 94.62 W, 62
2026/08/28 10:26:35.345, 2, NVIDIA RTX 6000 Ada Generation, 86 %, 39084 MiB, 49140 MiB, 269.89 W, 60
2026/08/28 10:26:35.345, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 38954 MiB, 49140 MiB, 89.68 W, 54
