timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 07:49:35.570, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 82.23 W, 38
2026/08/28 07:49:35.571, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 65.40 W, 47
2026/08/28 07:49:35.572, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 72.87 W, 66
2026/08/28 07:49:35.573, 3, NVIDIA RTX 6000 Ada Generation, 6 %, 2 MiB, 49140 MiB, 66.82 W, 46
2026/08/28 07:49:45.575, 0, NVIDIA RTX 6000 Ada Generation, 22 %, 19980 MiB, 49140 MiB, 83.18 W, 38
2026/08/28 07:49:45.575, 1, NVIDIA RTX 6000 Ada Generation, 6 %, 19776 MiB, 49140 MiB, 87.06 W, 47
2026/08/28 07:49:45.575, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 19544 MiB, 49140 MiB, 96.12 W, 62
2026/08/28 07:49:45.575, 3, NVIDIA RTX 6000 Ada Generation, 4 %, 19272 MiB, 49140 MiB, 88.18 W, 47
2026/08/28 07:49:55.576, 0, NVIDIA RTX 6000 Ada Generation, 73 %, 26136 MiB, 49140 MiB, 226.07 W, 46
2026/08/28 07:49:55.576, 1, NVIDIA RTX 6000 Ada Generation, 81 %, 26202 MiB, 49140 MiB, 231.24 W, 55
2026/08/28 07:49:55.576, 2, NVIDIA RTX 6000 Ada Generation, 79 %, 26176 MiB, 49140 MiB, 258.23 W, 66
2026/08/28 07:49:55.576, 3, NVIDIA RTX 6000 Ada Generation, 89 %, 26214 MiB, 49140 MiB, 249.45 W, 56
2026/08/28 07:50:05.577, 0, NVIDIA RTX 6000 Ada Generation, 83 %, 26222 MiB, 49140 MiB, 251.13 W, 51
2026/08/28 07:50:05.577, 1, NVIDIA RTX 6000 Ada Generation, 85 %, 26276 MiB, 49140 MiB, 240.33 W, 59
2026/08/28 07:50:05.577, 2, NVIDIA RTX 6000 Ada Generation, 80 %, 26408 MiB, 49140 MiB, 265.50 W, 68
2026/08/28 07:50:05.577, 3, NVIDIA RTX 6000 Ada Generation, 88 %, 26214 MiB, 49140 MiB, 249.17 W, 60
2026/08/28 07:50:15.578, 0, NVIDIA RTX 6000 Ada Generation, 76 %, 26222 MiB, 49140 MiB, 234.32 W, 54
2026/08/28 07:50:15.578, 1, NVIDIA RTX 6000 Ada Generation, 88 %, 26356 MiB, 49140 MiB, 255.55 W, 62
2026/08/28 07:50:15.578, 2, NVIDIA RTX 6000 Ada Generation, 88 %, 26428 MiB, 49140 MiB, 282.98 W, 70
2026/08/28 07:50:15.578, 3, NVIDIA RTX 6000 Ada Generation, 89 %, 26224 MiB, 49140 MiB, 259.48 W, 64
2026/08/28 07:50:25.579, 0, NVIDIA RTX 6000 Ada Generation, 77 %, 26222 MiB, 49140 MiB, 236.75 W, 56
