timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 10:25:06.434, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 82.67 W, 45
2026/08/28 10:25:06.435, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 88.58 W, 54
2026/08/28 10:25:06.436, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 64.01 W, 45
2026/08/28 10:25:06.437, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 62.60 W, 46
2026/08/28 10:25:16.439, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 18328 MiB, 49140 MiB, 82.73 W, 44
2026/08/28 10:25:16.439, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 18294 MiB, 49140 MiB, 88.60 W, 53
2026/08/28 10:25:16.439, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 18268 MiB, 49140 MiB, 78.56 W, 44
2026/08/28 10:25:16.439, 3, NVIDIA RTX 6000 Ada Generation, 4 %, 18238 MiB, 49140 MiB, 87.37 W, 45
2026/08/28 10:25:26.440, 0, NVIDIA RTX 6000 Ada Generation, 84 %, 18626 MiB, 49140 MiB, 253.40 W, 53
2026/08/28 10:25:26.440, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 18684 MiB, 49140 MiB, 256.49 W, 60
2026/08/28 10:25:26.440, 2, NVIDIA RTX 6000 Ada Generation, 88 %, 18550 MiB, 49140 MiB, 259.32 W, 53
2026/08/28 10:25:26.440, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 18508 MiB, 49140 MiB, 233.11 W, 53
2026/08/28 10:25:36.441, 0, NVIDIA RTX 6000 Ada Generation, 69 %, 18682 MiB, 49140 MiB, 247.43 W, 55
2026/08/28 10:25:36.441, 1, NVIDIA RTX 6000 Ada Generation, 88 %, 18940 MiB, 49140 MiB, 261.11 W, 64
2026/08/28 10:25:36.441, 2, NVIDIA RTX 6000 Ada Generation, 47 %, 18646 MiB, 49140 MiB, 190.90 W, 53
2026/08/28 10:25:36.441, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 18508 MiB, 49140 MiB, 87.51 W, 49
2026/08/28 10:25:46.442, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 18690 MiB, 49140 MiB, 85.10 W, 50
2026/08/28 10:25:46.442, 1, NVIDIA RTX 6000 Ada Generation, 84 %, 19200 MiB, 49140 MiB, 259.29 W, 66
2026/08/28 10:25:46.442, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 18646 MiB, 49140 MiB, 82.57 W, 50
2026/08/28 10:25:46.442, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 18508 MiB, 49140 MiB, 87.70 W, 49
