timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 10:31:20.260, 0, NVIDIA RTX 6000 Ada Generation, 11 %, 2 MiB, 49140 MiB, 83.56 W, 49
2026/08/28 10:31:20.261, 1, NVIDIA RTX 6000 Ada Generation, 8 %, 2 MiB, 49140 MiB, 69.36 W, 50
2026/08/28 10:31:20.262, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 72.36 W, 48
2026/08/28 10:31:20.263, 3, NVIDIA RTX 6000 Ada Generation, 12 %, 2 MiB, 49140 MiB, 75.08 W, 48
2026/08/28 10:31:30.265, 0, NVIDIA RTX 6000 Ada Generation, 21 %, 24092 MiB, 49140 MiB, 86.25 W, 47
2026/08/28 10:31:30.265, 1, NVIDIA RTX 6000 Ada Generation, 28 %, 23996 MiB, 49140 MiB, 87.37 W, 49
2026/08/28 10:31:30.265, 2, NVIDIA RTX 6000 Ada Generation, 24 %, 22308 MiB, 49140 MiB, 81.40 W, 46
2026/08/28 10:31:30.265, 3, NVIDIA RTX 6000 Ada Generation, 29 %, 24092 MiB, 49140 MiB, 89.32 W, 47
2026/08/28 10:31:40.266, 0, NVIDIA RTX 6000 Ada Generation, 84 %, 26158 MiB, 49140 MiB, 253.27 W, 54
2026/08/28 10:31:40.267, 1, NVIDIA RTX 6000 Ada Generation, 87 %, 26114 MiB, 49140 MiB, 250.24 W, 57
2026/08/28 10:31:40.267, 2, NVIDIA RTX 6000 Ada Generation, 88 %, 26302 MiB, 49140 MiB, 260.44 W, 54
2026/08/28 10:31:40.267, 3, NVIDIA RTX 6000 Ada Generation, 82 %, 26184 MiB, 49140 MiB, 230.27 W, 55
2026/08/28 10:31:50.268, 0, NVIDIA RTX 6000 Ada Generation, 79 %, 26178 MiB, 49140 MiB, 235.52 W, 56
2026/08/28 10:31:50.268, 1, NVIDIA RTX 6000 Ada Generation, 76 %, 26178 MiB, 49140 MiB, 235.60 W, 59
2026/08/28 10:31:50.268, 2, NVIDIA RTX 6000 Ada Generation, 75 %, 26480 MiB, 49140 MiB, 242.39 W, 57
2026/08/28 10:31:50.268, 3, NVIDIA RTX 6000 Ada Generation, 85 %, 26354 MiB, 49140 MiB, 254.27 W, 59
2026/08/28 10:32:00.269, 0, NVIDIA RTX 6000 Ada Generation, 81 %, 26202 MiB, 49140 MiB, 241.19 W, 58
2026/08/28 10:32:00.270, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 26386 MiB, 49140 MiB, 254.79 W, 62
2026/08/28 10:32:00.270, 2, NVIDIA RTX 6000 Ada Generation, 82 %, 26508 MiB, 49140 MiB, 250.04 W, 59
2026/08/28 10:32:00.270, 3, NVIDIA RTX 6000 Ada Generation, 85 %, 26354 MiB, 49140 MiB, 257.13 W, 63
