Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
56.9,19638726464,693,28338710.6,38708400.0,544,55123600,21168908.0,cudaStreamSynchronize
37.3,12865522688,999027,12878.1,2912.0,2144,3894496,64403.3,cudaLaunchKernel
4.8,1658216576,58515,28338.3,2704.0,1952,5891488,144318.5,cuLaunchKernel
0.6,217517344,25,8700693.8,2464.0,816,51823504,19048368.2,cudaDeviceSynchronize
0.1,44606464,67,665768.1,328224.0,157568,10647648,1533071.1,cudaMalloc
0.1,38788720,999027,38.8,32.0,0,74528,89.7,cuKernelGetName
0.1,18145520,1611,11263.5,6848.0,2848,1402288,42804.0,cudaMemcpyAsync
0.0,13343264,1195,11165.9,3216.0,2128,370688,35687.4,cuLaunchKernelEx
0.0,10743696,58515,183.6,176.0,96,7216,90.4,cuKernelGetFunction
0.0,7504432,609,12322.5,7504.0,2192,704240,39269.2,cudaMemsetAsync
0.0,2052592,8088,253.8,240.0,144,4160,126.2,cudaStreamIsCapturing_v10000
0.0,974832,256,3807.9,2952.0,2240,20016,2588.7,cudaLaunchKernelExC_v11060
0.0,4672,1,4672.0,4672.0,4672,4672,0.0,cuProfilerStart
