Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:ar,PushPop,23329749184,23332092736,1,23329749184.0,23329749184.0,23329749184,23329749184,0.0,529620,529620.0,0.0,256.0
:ar::target_decode,PushPop,23214081248,10787492304,255,91035612.7,90329664.0,89742432,98381280,1785146.7,526560,2064.9,1.0,0.0
:source,PushPop,6966743808,6968814192,1,6966743808.0,6966743808.0,6966743808,6966743808,0.0,248064,248064.0,0.0,212.0
:relay,PushPop,5115905600,5117137680,1,5115905600.0,5115905600.0,5115905600,5115905600,0.0,147075,147075.0,0.0,224.0
:native,PushPop,5091811392,5092062240,1,5091811392.0,5091811392.0,5091811392,5091811392,0.0,136438,136438.0,0.0,105.0
:relay::target_decode,PushPop,4443304032,2576510304,55,80787346.0,80295776.0,78941888,87531424,1665430.5,125467,2281.2,2.0,0.0
:relay::verification_full_target,PushPop,4443304032,2582025504,55,80787346.0,80295776.0,78941888,87531424,1665430.5,125467,2281.2,1.0,1.0
:source::target_decode,PushPop,4199796672,2443646112,52,80765320.6,80401296.0,78739584,86915072,1758988.9,118804,2284.7,2.0,0.0
:source::verification_full_target,PushPop,4199796672,2445397040,52,80765320.6,80401296.0,78739584,86915072,1758988.9,118804,2284.7,1.0,1.0
:native::target_decode,PushPop,4114860480,2752881136,51,80683538.8,80326272.0,78847360,86668064,1768359.4,116295,2280.3,1.0,0.0
:source::verification_source_trunk,PushPop,2104288448,1078391376,52,40467085.5,39722512.0,38398720,51293664,2547072.4,106712,2052.2,1.0,0.0
:relay::draft,PushPop,528017600,187123024,55,9600320.0,9448064.0,9228832,12335456,512003.8,18005,327.4,1.0,0.0
:source::draft,PushPop,503214560,181023456,52,9677203.1,9545536.0,9421408,12570432,573409.4,17485,336.3,1.0,0.0
:ar::target_prefill,PushPop,95183872,43715936,1,95183872.0,95183872.0,95183872,95183872,0.0,2036,2036.0,1.0,0.0
:source::prefill_full_target,PushPop,94599488,62704656,1,94599488.0,94599488.0,94599488,94599488,0.0,2036,2036.0,1.0,1.0
:source::target_prefill,PushPop,94599488,62673152,1,94599488.0,94599488.0,94599488,94599488,0.0,2036,2036.0,2.0,0.0
:native::target_prefill,PushPop,93454528,41861680,1,93454528.0,93454528.0,93454528,93454528,0.0,2036,2036.0,1.0,0.0
:relay::prefill_full_target,PushPop,93191520,41934560,1,93191520.0,93191520.0,93191520,93191520,0.0,2036,2036.0,1.0,1.0
:relay::target_prefill,PushPop,93191520,41906592,1,93191520.0,93191520.0,93191520,93191520,0.0,2036,2036.0,2.0,0.0
:source::prefill_source_trunk,PushPop,44786720,23422944,1,44786720.0,44786720.0,44786720,44786720,0.0,2128,2128.0,1.0,0.0
:relay::relay,PushPop,31789376,9425264,55,577988.7,559360.0,535584,813120,51199.5,605,11.0,1.0,0.0
:relay::prefill_relay,PushPop,627264,258144,1,627264.0,627264.0,627264,627264,0.0,12,12.0,1.0,0.0
CCCL:cub::DeviceScan::InclusiveScan,PushPop,610336,2921280,158,3862.9,3616.0,3520,20800,1407.8,316,2.0,1.0,0.0
CCCL:cub::DeviceSelect::Flagged,PushPop,22176,38896,3,7392.0,7456.0,7264,7456,110.9,6,2.0,1.0,0.0
CCCL:cub::DeviceReduce::Sum,PushPop,3232,32256,3,1077.3,1088.0,1056,1088,18.5,3,1.0,1.0,0.0
