timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/07 21:42:34.380, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/07 21:42:34.380, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/07 21:42:34.381, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/07 21:42:34.381, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/07 21:42:49.382, 0, NVIDIA L40S, 5 %, 4463 MiB
2026/09/07 21:42:49.382, 1, NVIDIA L40S, 0 %, 16401 MiB
2026/09/07 21:42:49.382, 2, NVIDIA L40S, 15 %, 8023 MiB
2026/09/07 21:42:49.382, 3, NVIDIA L40S, 0 %, 1697 MiB
2026/09/07 21:43:04.382, 0, NVIDIA L40S, 96 %, 17687 MiB
2026/09/07 21:43:04.383, 1, NVIDIA L40S, 96 %, 17667 MiB
2026/09/07 21:43:04.383, 2, NVIDIA L40S, 96 %, 33695 MiB
2026/09/07 21:43:04.383, 3, NVIDIA L40S, 0 %, 33575 MiB
2026/09/07 21:43:19.383, 0, NVIDIA L40S, 96 %, 17849 MiB
2026/09/07 21:43:19.383, 1, NVIDIA L40S, 100 %, 3 MiB
2026/09/07 21:43:19.384, 2, NVIDIA L40S, 99 %, 33805 MiB
2026/09/07 21:43:19.384, 3, NVIDIA L40S, 97 %, 33845 MiB
2026/09/07 21:43:34.384, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/07 21:43:34.384, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/07 21:43:34.384, 2, NVIDIA L40S, 97 %, 34045 MiB
2026/09/07 21:43:34.384, 3, NVIDIA L40S, 99 %, 34025 MiB
2026/09/07 21:43:49.385, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/07 21:43:49.385, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/07 21:43:49.385, 2, NVIDIA L40S, 99 %, 34197 MiB
2026/09/07 21:43:49.385, 3, NVIDIA L40S, 99 %, 34025 MiB
