timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 03:58:07.975, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:58:07.975, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:58:07.976, 2, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 03:58:07.976, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:58:17.977, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:58:17.978, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:58:17.978, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:58:17.978, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:58:27.979, 0, NVIDIA L40S, 13 %, 24725 MiB
2026/09/06 03:58:27.979, 1, NVIDIA L40S, 63 %, 25335 MiB
2026/09/06 03:58:27.979, 2, NVIDIA L40S, 0 %, 25311 MiB
2026/09/06 03:58:27.979, 3, NVIDIA L40S, 63 %, 25335 MiB
2026/09/06 03:58:37.980, 0, NVIDIA L40S, 63 %, 25341 MiB
2026/09/06 03:58:37.980, 1, NVIDIA L40S, 74 %, 25341 MiB
2026/09/06 03:58:37.980, 2, NVIDIA L40S, 68 %, 25341 MiB
2026/09/06 03:58:37.980, 3, NVIDIA L40S, 63 %, 25341 MiB
2026/09/06 03:58:47.981, 0, NVIDIA L40S, 64 %, 25341 MiB
2026/09/06 03:58:47.981, 1, NVIDIA L40S, 59 %, 25341 MiB
2026/09/06 03:58:47.981, 2, NVIDIA L40S, 68 %, 25341 MiB
2026/09/06 03:58:47.981, 3, NVIDIA L40S, 64 %, 25341 MiB
2026/09/06 03:58:57.982, 0, NVIDIA L40S, 4 %, 2561 MiB
2026/09/06 03:58:57.982, 1, NVIDIA L40S, 0 %, 2785 MiB
2026/09/06 03:58:57.982, 2, NVIDIA L40S, 2 %, 2561 MiB
2026/09/06 03:58:57.982, 3, NVIDIA L40S, 2 %, 2791 MiB
2026/09/06 03:59:07.983, 0, NVIDIA L40S, 21 %, 4033 MiB
2026/09/06 03:59:07.983, 1, NVIDIA L40S, 18 %, 4033 MiB
2026/09/06 03:59:07.983, 2, NVIDIA L40S, 19 %, 2869 MiB
2026/09/06 03:59:07.983, 3, NVIDIA L40S, 19 %, 2869 MiB
2026/09/06 03:59:17.984, 0, NVIDIA L40S, 29 %, 4033 MiB
2026/09/06 03:59:17.985, 1, NVIDIA L40S, 29 %, 4033 MiB
2026/09/06 03:59:17.985, 2, NVIDIA L40S, 17 %, 2869 MiB
2026/09/06 03:59:17.985, 3, NVIDIA L40S, 17 %, 2869 MiB
2026/09/06 03:59:27.986, 0, NVIDIA L40S, 23 %, 4033 MiB
2026/09/06 03:59:27.986, 1, NVIDIA L40S, 7 %, 4033 MiB
2026/09/06 03:59:27.986, 2, NVIDIA L40S, 16 %, 2869 MiB
2026/09/06 03:59:27.986, 3, NVIDIA L40S, 17 %, 2869 MiB
2026/09/06 03:59:37.987, 0, NVIDIA L40S, 23 %, 4033 MiB
2026/09/06 03:59:37.987, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:59:37.987, 2, NVIDIA L40S, 19 %, 2869 MiB
2026/09/06 03:59:37.987, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:59:47.989, 0, NVIDIA L40S, 23 %, 4033 MiB
2026/09/06 03:59:47.989, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:59:47.989, 2, NVIDIA L40S, 18 %, 2869 MiB
2026/09/06 03:59:47.989, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:59:57.990, 0, NVIDIA L40S, 0 %, 4033 MiB
2026/09/06 03:59:57.991, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:59:57.991, 2, NVIDIA L40S, 20 %, 2869 MiB
2026/09/06 03:59:57.991, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:00:07.992, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:00:07.992, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:00:07.992, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:00:07.992, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:00:17.993, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:00:17.994, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:00:17.994, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:00:17.994, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:00:27.995, 0, NVIDIA L40S, 19 %, 19819 MiB
2026/09/06 04:00:27.995, 1, NVIDIA L40S, 19 %, 19819 MiB
2026/09/06 04:00:27.995, 2, NVIDIA L40S, 19 %, 19819 MiB
2026/09/06 04:00:27.995, 3, NVIDIA L40S, 11 %, 24079 MiB
2026/09/06 04:00:37.996, 0, NVIDIA L40S, 5 %, 29831 MiB
2026/09/06 04:00:37.996, 1, NVIDIA L40S, 2 %, 30835 MiB
2026/09/06 04:00:37.996, 2, NVIDIA L40S, 0 %, 29831 MiB
2026/09/06 04:00:37.996, 3, NVIDIA L40S, 2 %, 30835 MiB
2026/09/06 04:00:47.997, 0, NVIDIA L40S, 78 %, 30987 MiB
2026/09/06 04:00:47.997, 1, NVIDIA L40S, 73 %, 30999 MiB
2026/09/06 04:00:47.998, 2, NVIDIA L40S, 74 %, 31021 MiB
2026/09/06 04:00:47.998, 3, NVIDIA L40S, 74 %, 31005 MiB
