timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 02:52:14.137, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:52:14.137, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:52:14.138, 2, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 02:52:14.138, 3, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 02:52:24.139, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 02:52:24.139, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 02:52:24.140, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 02:52:24.140, 3, NVIDIA L40S, 27 %, 4295 MiB
2026/09/06 02:52:34.141, 0, NVIDIA L40S, 69 %, 25437 MiB
2026/09/06 02:52:34.141, 1, NVIDIA L40S, 64 %, 25397 MiB
2026/09/06 02:52:34.141, 2, NVIDIA L40S, 66 %, 25457 MiB
2026/09/06 02:52:34.141, 3, NVIDIA L40S, 2 %, 3167 MiB
2026/09/06 02:52:44.142, 0, NVIDIA L40S, 6 %, 4639 MiB
2026/09/06 02:52:44.142, 1, NVIDIA L40S, 17 %, 3393 MiB
2026/09/06 02:52:44.142, 2, NVIDIA L40S, 21 %, 3419 MiB
2026/09/06 02:52:44.142, 3, NVIDIA L40S, 17 %, 4287 MiB
2026/09/06 02:52:54.143, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:52:54.144, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:52:54.144, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:52:54.144, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:53:04.145, 0, NVIDIA L40S, 21 %, 14335 MiB
2026/09/06 02:53:04.145, 1, NVIDIA L40S, 20 %, 14335 MiB
2026/09/06 02:53:04.145, 2, NVIDIA L40S, 20 %, 14335 MiB
2026/09/06 02:53:04.145, 3, NVIDIA L40S, 20 %, 14335 MiB
2026/09/06 02:53:14.146, 0, NVIDIA L40S, 2 %, 29611 MiB
2026/09/06 02:53:14.146, 1, NVIDIA L40S, 2 %, 29611 MiB
2026/09/06 02:53:14.146, 2, NVIDIA L40S, 2 %, 29631 MiB
2026/09/06 02:53:14.146, 3, NVIDIA L40S, 2 %, 29611 MiB
2026/09/06 02:53:24.148, 0, NVIDIA L40S, 70 %, 32029 MiB
2026/09/06 02:53:24.148, 1, NVIDIA L40S, 72 %, 32017 MiB
2026/09/06 02:53:24.148, 2, NVIDIA L40S, 77 %, 32035 MiB
2026/09/06 02:53:24.148, 3, NVIDIA L40S, 76 %, 32045 MiB
2026/09/06 02:53:34.149, 0, NVIDIA L40S, 72 %, 32063 MiB
2026/09/06 02:53:34.149, 1, NVIDIA L40S, 71 %, 32041 MiB
2026/09/06 02:53:34.149, 2, NVIDIA L40S, 74 %, 32071 MiB
2026/09/06 02:53:34.149, 3, NVIDIA L40S, 79 %, 32049 MiB
2026/09/06 02:53:44.150, 0, NVIDIA L40S, 74 %, 32085 MiB
2026/09/06 02:53:44.150, 1, NVIDIA L40S, 71 %, 32043 MiB
2026/09/06 02:53:44.150, 2, NVIDIA L40S, 73 %, 32071 MiB
2026/09/06 02:53:44.151, 3, NVIDIA L40S, 61 %, 32065 MiB
2026/09/06 02:53:54.151, 0, NVIDIA L40S, 63 %, 32141 MiB
2026/09/06 02:53:54.152, 1, NVIDIA L40S, 71 %, 32043 MiB
2026/09/06 02:53:54.152, 2, NVIDIA L40S, 65 %, 32071 MiB
2026/09/06 02:53:54.152, 3, NVIDIA L40S, 0 %, 32069 MiB
