timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 03:36:56.744, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:36:56.744, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:36:56.744, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:36:56.745, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:37:06.746, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:37:06.746, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 03:37:06.746, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:37:06.747, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 03:37:16.748, 0, NVIDIA L40S, 0 %, 25307 MiB
2026/09/06 03:37:16.748, 1, NVIDIA L40S, 62 %, 25335 MiB
2026/09/06 03:37:16.748, 2, NVIDIA L40S, 58 %, 25335 MiB
2026/09/06 03:37:16.748, 3, NVIDIA L40S, 63 %, 25335 MiB
2026/09/06 03:37:26.749, 0, NVIDIA L40S, 67 %, 25341 MiB
2026/09/06 03:37:26.749, 1, NVIDIA L40S, 62 %, 25341 MiB
2026/09/06 03:37:26.749, 2, NVIDIA L40S, 63 %, 25341 MiB
2026/09/06 03:37:26.749, 3, NVIDIA L40S, 64 %, 25341 MiB
2026/09/06 03:37:36.750, 0, NVIDIA L40S, 67 %, 25341 MiB
2026/09/06 03:37:36.750, 1, NVIDIA L40S, 67 %, 25341 MiB
2026/09/06 03:37:36.750, 2, NVIDIA L40S, 65 %, 25341 MiB
2026/09/06 03:37:36.750, 3, NVIDIA L40S, 65 %, 25341 MiB
2026/09/06 03:37:46.751, 0, NVIDIA L40S, 65 %, 25341 MiB
2026/09/06 03:37:46.752, 1, NVIDIA L40S, 21 %, 2847 MiB
2026/09/06 03:37:46.752, 2, NVIDIA L40S, 4 %, 2791 MiB
2026/09/06 03:37:46.752, 3, NVIDIA L40S, 21 %, 2869 MiB
2026/09/06 03:37:56.753, 0, NVIDIA L40S, 22 %, 4033 MiB
2026/09/06 03:37:56.753, 1, NVIDIA L40S, 19 %, 2847 MiB
2026/09/06 03:37:56.753, 2, NVIDIA L40S, 17 %, 2869 MiB
2026/09/06 03:37:56.753, 3, NVIDIA L40S, 16 %, 2869 MiB
2026/09/06 03:38:06.754, 0, NVIDIA L40S, 22 %, 4033 MiB
2026/09/06 03:38:06.754, 1, NVIDIA L40S, 18 %, 2847 MiB
2026/09/06 03:38:06.755, 2, NVIDIA L40S, 16 %, 2869 MiB
2026/09/06 03:38:06.755, 3, NVIDIA L40S, 16 %, 2869 MiB
2026/09/06 03:38:16.756, 0, NVIDIA L40S, 22 %, 4033 MiB
2026/09/06 03:38:16.756, 1, NVIDIA L40S, 3 %, 2847 MiB
2026/09/06 03:38:16.756, 2, NVIDIA L40S, 15 %, 2869 MiB
2026/09/06 03:38:16.756, 3, NVIDIA L40S, 6 %, 2869 MiB
2026/09/06 03:38:26.757, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:38:26.757, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:38:26.758, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:38:26.758, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:38:36.759, 0, NVIDIA L40S, 19 %, 14707 MiB
2026/09/06 03:38:36.759, 1, NVIDIA L40S, 19 %, 14707 MiB
2026/09/06 03:38:36.759, 2, NVIDIA L40S, 19 %, 14707 MiB
2026/09/06 03:38:36.759, 3, NVIDIA L40S, 20 %, 14707 MiB
2026/09/06 03:38:46.760, 0, NVIDIA L40S, 3 %, 29611 MiB
2026/09/06 03:38:46.760, 1, NVIDIA L40S, 6 %, 29631 MiB
2026/09/06 03:38:46.760, 2, NVIDIA L40S, 6 %, 29631 MiB
2026/09/06 03:38:46.760, 3, NVIDIA L40S, 3 %, 29631 MiB
2026/09/06 03:38:56.761, 0, NVIDIA L40S, 70 %, 32033 MiB
2026/09/06 03:38:56.761, 1, NVIDIA L40S, 78 %, 32017 MiB
2026/09/06 03:38:56.761, 2, NVIDIA L40S, 64 %, 32035 MiB
2026/09/06 03:38:56.761, 3, NVIDIA L40S, 72 %, 32045 MiB
2026/09/06 03:39:06.762, 0, NVIDIA L40S, 72 %, 32063 MiB
2026/09/06 03:39:06.762, 1, NVIDIA L40S, 73 %, 32041 MiB
2026/09/06 03:39:06.762, 2, NVIDIA L40S, 75 %, 32069 MiB
2026/09/06 03:39:06.762, 3, NVIDIA L40S, 73 %, 32051 MiB
2026/09/06 03:39:16.763, 0, NVIDIA L40S, 71 %, 32083 MiB
2026/09/06 03:39:16.763, 1, NVIDIA L40S, 73 %, 32041 MiB
2026/09/06 03:39:16.763, 2, NVIDIA L40S, 74 %, 32075 MiB
2026/09/06 03:39:16.763, 3, NVIDIA L40S, 78 %, 32065 MiB
2026/09/06 03:39:26.764, 0, NVIDIA L40S, 58 %, 32085 MiB
2026/09/06 03:39:26.764, 1, NVIDIA L40S, 0 %, 32043 MiB
2026/09/06 03:39:26.764, 2, NVIDIA L40S, 73 %, 32075 MiB
2026/09/06 03:39:26.764, 3, NVIDIA L40S, 0 %, 32065 MiB
