timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 03:53:10.134, 0, NVIDIA L40S, 4 %, 0 MiB
2026/09/06 03:53:10.135, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:53:10.135, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:53:10.136, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:53:20.137, 0, NVIDIA L40S, 0 %, 633 MiB
2026/09/06 03:53:20.137, 1, NVIDIA L40S, 0 %, 633 MiB
2026/09/06 03:53:20.137, 2, NVIDIA L40S, 0 %, 633 MiB
2026/09/06 03:53:20.137, 3, NVIDIA L40S, 0 %, 633 MiB
2026/09/06 03:53:30.138, 0, NVIDIA L40S, 0 %, 6021 MiB
2026/09/06 03:53:30.138, 1, NVIDIA L40S, 25 %, 4539 MiB
2026/09/06 03:53:30.139, 2, NVIDIA L40S, 0 %, 6021 MiB
2026/09/06 03:53:30.139, 3, NVIDIA L40S, 24 %, 3217 MiB
2026/09/06 03:53:40.140, 0, NVIDIA L40S, 82 %, 7137 MiB
2026/09/06 03:53:40.140, 1, NVIDIA L40S, 50 %, 6329 MiB
2026/09/06 03:53:40.140, 2, NVIDIA L40S, 80 %, 7137 MiB
2026/09/06 03:53:40.140, 3, NVIDIA L40S, 50 %, 6329 MiB
2026/09/06 03:53:50.141, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:53:50.141, 1, NVIDIA L40S, 57 %, 7187 MiB
2026/09/06 03:53:50.141, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:53:50.142, 3, NVIDIA L40S, 55 %, 7187 MiB
2026/09/06 03:54:00.142, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:54:00.143, 1, NVIDIA L40S, 82 %, 7187 MiB
2026/09/06 03:54:00.143, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:54:00.143, 3, NVIDIA L40S, 81 %, 7187 MiB
2026/09/06 03:54:10.143, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:54:10.143, 1, NVIDIA L40S, 80 %, 7187 MiB
2026/09/06 03:54:10.144, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:54:10.144, 3, NVIDIA L40S, 81 %, 7187 MiB
2026/09/06 03:54:20.144, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:54:20.144, 1, NVIDIA L40S, 52 %, 7187 MiB
2026/09/06 03:54:20.144, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:54:20.144, 3, NVIDIA L40S, 56 %, 7187 MiB
2026/09/06 03:54:30.145, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:54:30.145, 1, NVIDIA L40S, 80 %, 7187 MiB
2026/09/06 03:54:30.145, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:54:30.145, 3, NVIDIA L40S, 81 %, 7187 MiB
2026/09/06 03:54:40.146, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:54:40.146, 1, NVIDIA L40S, 80 %, 7187 MiB
2026/09/06 03:54:40.146, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:54:40.146, 3, NVIDIA L40S, 81 %, 7187 MiB
2026/09/06 03:54:50.147, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:54:50.147, 1, NVIDIA L40S, 81 %, 7187 MiB
2026/09/06 03:54:50.147, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:54:50.147, 3, NVIDIA L40S, 80 %, 7187 MiB
2026/09/06 03:55:00.148, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:55:00.148, 1, NVIDIA L40S, 81 %, 7187 MiB
2026/09/06 03:55:00.148, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:55:00.149, 3, NVIDIA L40S, 81 %, 7187 MiB
2026/09/06 03:55:10.150, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:55:10.150, 1, NVIDIA L40S, 75 %, 7187 MiB
2026/09/06 03:55:10.150, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:55:10.150, 3, NVIDIA L40S, 81 %, 7187 MiB
2026/09/06 03:55:20.151, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:55:20.151, 1, NVIDIA L40S, 80 %, 7187 MiB
2026/09/06 03:55:20.151, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:55:20.151, 3, NVIDIA L40S, 81 %, 7187 MiB
2026/09/06 03:55:30.152, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:55:30.153, 1, NVIDIA L40S, 81 %, 7187 MiB
2026/09/06 03:55:30.153, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:55:30.153, 3, NVIDIA L40S, 81 %, 7187 MiB
2026/09/06 03:55:40.154, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:55:40.154, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:55:40.154, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:55:40.154, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:55:50.155, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:55:50.155, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:55:50.155, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:55:50.155, 3, NVIDIA L40S, 0 %, 0 MiB
