timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 23:15:23.490, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:15:23.491, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:15:23.491, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:15:23.492, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 23:15:33.493, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:15:33.493, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/05 23:15:33.493, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/05 23:15:33.493, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:15:43.494, 0, NVIDIA L40S, 0 %, 25123 MiB
2026/09/05 23:15:43.494, 1, NVIDIA L40S, 0 %, 25123 MiB
2026/09/05 23:15:43.494, 2, NVIDIA L40S, 0 %, 25123 MiB
2026/09/05 23:15:43.494, 3, NVIDIA L40S, 0 %, 25123 MiB
2026/09/05 23:15:53.495, 0, NVIDIA L40S, 0 %, 633 MiB
2026/09/05 23:15:53.496, 1, NVIDIA L40S, 0 %, 493 MiB
2026/09/05 23:15:53.496, 2, NVIDIA L40S, 0 %, 493 MiB
2026/09/05 23:15:53.496, 3, NVIDIA L40S, 0 %, 493 MiB
2026/09/05 23:16:03.497, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:16:03.497, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:16:03.497, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:16:03.497, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:16:13.498, 0, NVIDIA L40S, 0 %, 27403 MiB
2026/09/05 23:16:13.498, 1, NVIDIA L40S, 0 %, 27403 MiB
2026/09/05 23:16:13.498, 2, NVIDIA L40S, 94 %, 27493 MiB
2026/09/05 23:16:13.498, 3, NVIDIA L40S, 0 %, 27403 MiB
2026/09/05 23:16:23.499, 0, NVIDIA L40S, 95 %, 27531 MiB
2026/09/05 23:16:23.499, 1, NVIDIA L40S, 94 %, 27511 MiB
2026/09/05 23:16:23.499, 2, NVIDIA L40S, 90 %, 27541 MiB
2026/09/05 23:16:23.499, 3, NVIDIA L40S, 93 %, 27517 MiB
2026/09/05 23:16:33.500, 0, NVIDIA L40S, 91 %, 27547 MiB
2026/09/05 23:16:33.500, 1, NVIDIA L40S, 93 %, 27511 MiB
2026/09/05 23:16:33.500, 2, NVIDIA L40S, 88 %, 27545 MiB
2026/09/05 23:16:33.500, 3, NVIDIA L40S, 93 %, 27519 MiB
2026/09/05 23:16:43.501, 0, NVIDIA L40S, 94 %, 27553 MiB
2026/09/05 23:16:43.501, 1, NVIDIA L40S, 93 %, 27511 MiB
2026/09/05 23:16:43.501, 2, NVIDIA L40S, 90 %, 27545 MiB
2026/09/05 23:16:43.501, 3, NVIDIA L40S, 95 %, 27539 MiB
2026/09/05 23:16:53.502, 0, NVIDIA L40S, 96 %, 27553 MiB
2026/09/05 23:16:53.502, 1, NVIDIA L40S, 98 %, 27511 MiB
2026/09/05 23:16:53.502, 2, NVIDIA L40S, 76 %, 27549 MiB
2026/09/05 23:16:53.502, 3, NVIDIA L40S, 93 %, 27541 MiB
2026/09/05 23:17:03.503, 0, NVIDIA L40S, 0 %, 27627 MiB
2026/09/05 23:17:03.503, 1, NVIDIA L40S, 0 %, 27511 MiB
2026/09/05 23:17:03.503, 2, NVIDIA L40S, 84 %, 27551 MiB
2026/09/05 23:17:03.503, 3, NVIDIA L40S, 0 %, 27543 MiB
