timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 00:53:06.315, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 00:53:06.315, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 00:53:06.315, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 00:53:06.316, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 00:53:16.317, 0, NVIDIA L40S, 0 %, 547 MiB
2026/09/06 00:53:16.317, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 00:53:16.317, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 00:53:16.317, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 00:53:26.318, 0, NVIDIA L40S, 1 %, 27255 MiB
2026/09/06 00:53:26.318, 1, NVIDIA L40S, 0 %, 27255 MiB
2026/09/06 00:53:26.318, 2, NVIDIA L40S, 0 %, 27255 MiB
2026/09/06 00:53:26.318, 3, NVIDIA L40S, 0 %, 27255 MiB
2026/09/06 00:53:36.319, 0, NVIDIA L40S, 1 %, 28737 MiB
2026/09/06 00:53:36.319, 1, NVIDIA L40S, 0 %, 28557 MiB
2026/09/06 00:53:36.319, 2, NVIDIA L40S, 8 %, 28737 MiB
2026/09/06 00:53:36.319, 3, NVIDIA L40S, 8 %, 28737 MiB
2026/09/06 00:53:46.320, 0, NVIDIA L40S, 92 %, 28855 MiB
2026/09/06 00:53:46.320, 1, NVIDIA L40S, 95 %, 28837 MiB
2026/09/06 00:53:46.320, 2, NVIDIA L40S, 92 %, 28859 MiB
2026/09/06 00:53:46.320, 3, NVIDIA L40S, 94 %, 28915 MiB
2026/09/06 00:53:56.321, 0, NVIDIA L40S, 88 %, 28947 MiB
2026/09/06 00:53:56.321, 1, NVIDIA L40S, 94 %, 28925 MiB
2026/09/06 00:53:56.321, 2, NVIDIA L40S, 92 %, 28947 MiB
2026/09/06 00:53:56.321, 3, NVIDIA L40S, 93 %, 28933 MiB
2026/09/06 00:54:06.322, 0, NVIDIA L40S, 91 %, 28947 MiB
2026/09/06 00:54:06.322, 1, NVIDIA L40S, 91 %, 28927 MiB
2026/09/06 00:54:06.322, 2, NVIDIA L40S, 92 %, 28947 MiB
2026/09/06 00:54:06.322, 3, NVIDIA L40S, 94 %, 28933 MiB
2026/09/06 00:54:16.323, 0, NVIDIA L40S, 90 %, 28947 MiB
2026/09/06 00:54:16.323, 1, NVIDIA L40S, 93 %, 28927 MiB
2026/09/06 00:54:16.323, 2, NVIDIA L40S, 93 %, 28947 MiB
2026/09/06 00:54:16.323, 3, NVIDIA L40S, 94 %, 28933 MiB
2026/09/06 00:54:26.324, 0, NVIDIA L40S, 88 %, 28947 MiB
2026/09/06 00:54:26.324, 1, NVIDIA L40S, 93 %, 28927 MiB
2026/09/06 00:54:26.324, 2, NVIDIA L40S, 93 %, 28947 MiB
2026/09/06 00:54:26.324, 3, NVIDIA L40S, 94 %, 28933 MiB
2026/09/06 00:54:36.325, 0, NVIDIA L40S, 89 %, 28947 MiB
2026/09/06 00:54:36.325, 1, NVIDIA L40S, 93 %, 28927 MiB
2026/09/06 00:54:36.325, 2, NVIDIA L40S, 95 %, 28947 MiB
2026/09/06 00:54:36.325, 3, NVIDIA L40S, 92 %, 28933 MiB
2026/09/06 00:54:46.326, 0, NVIDIA L40S, 90 %, 28947 MiB
2026/09/06 00:54:46.326, 1, NVIDIA L40S, 92 %, 28927 MiB
2026/09/06 00:54:46.326, 2, NVIDIA L40S, 93 %, 28947 MiB
2026/09/06 00:54:46.326, 3, NVIDIA L40S, 94 %, 28933 MiB
2026/09/06 00:54:56.327, 0, NVIDIA L40S, 85 %, 28957 MiB
2026/09/06 00:54:56.327, 1, NVIDIA L40S, 94 %, 28927 MiB
2026/09/06 00:54:56.327, 2, NVIDIA L40S, 94 %, 28949 MiB
2026/09/06 00:54:56.327, 3, NVIDIA L40S, 97 %, 28933 MiB
2026/09/06 00:55:06.328, 0, NVIDIA L40S, 91 %, 28957 MiB
2026/09/06 00:55:06.328, 1, NVIDIA L40S, 96 %, 28927 MiB
2026/09/06 00:55:06.328, 2, NVIDIA L40S, 93 %, 28949 MiB
2026/09/06 00:55:06.328, 3, NVIDIA L40S, 94 %, 28933 MiB
2026/09/06 00:55:16.329, 0, NVIDIA L40S, 91 %, 28957 MiB
2026/09/06 00:55:16.329, 1, NVIDIA L40S, 93 %, 28927 MiB
2026/09/06 00:55:16.329, 2, NVIDIA L40S, 94 %, 28949 MiB
2026/09/06 00:55:16.329, 3, NVIDIA L40S, 95 %, 28933 MiB
2026/09/06 00:55:26.329, 0, NVIDIA L40S, 90 %, 28959 MiB
2026/09/06 00:55:26.330, 1, NVIDIA L40S, 95 %, 28927 MiB
2026/09/06 00:55:26.330, 2, NVIDIA L40S, 93 %, 28949 MiB
2026/09/06 00:55:26.330, 3, NVIDIA L40S, 94 %, 28933 MiB
2026/09/06 00:55:36.330, 0, NVIDIA L40S, 92 %, 28959 MiB
2026/09/06 00:55:36.331, 1, NVIDIA L40S, 92 %, 28927 MiB
2026/09/06 00:55:36.331, 2, NVIDIA L40S, 95 %, 28949 MiB
2026/09/06 00:55:36.331, 3, NVIDIA L40S, 94 %, 28933 MiB
2026/09/06 00:55:46.331, 0, NVIDIA L40S, 91 %, 28959 MiB
2026/09/06 00:55:46.331, 1, NVIDIA L40S, 93 %, 28927 MiB
2026/09/06 00:55:46.332, 2, NVIDIA L40S, 94 %, 28949 MiB
2026/09/06 00:55:46.332, 3, NVIDIA L40S, 93 %, 28933 MiB
2026/09/06 00:55:56.332, 0, NVIDIA L40S, 91 %, 28959 MiB
2026/09/06 00:55:56.332, 1, NVIDIA L40S, 93 %, 28927 MiB
2026/09/06 00:55:56.332, 2, NVIDIA L40S, 94 %, 28949 MiB
2026/09/06 00:55:56.333, 3, NVIDIA L40S, 97 %, 28933 MiB
2026/09/06 00:56:06.333, 0, NVIDIA L40S, 90 %, 28959 MiB
2026/09/06 00:56:06.333, 1, NVIDIA L40S, 95 %, 28927 MiB
2026/09/06 00:56:06.333, 2, NVIDIA L40S, 92 %, 28949 MiB
2026/09/06 00:56:06.333, 3, NVIDIA L40S, 94 %, 28945 MiB
2026/09/06 00:56:16.334, 0, NVIDIA L40S, 91 %, 28959 MiB
2026/09/06 00:56:16.334, 1, NVIDIA L40S, 83 %, 28927 MiB
2026/09/06 00:56:16.334, 2, NVIDIA L40S, 93 %, 28949 MiB
2026/09/06 00:56:16.334, 3, NVIDIA L40S, 96 %, 28945 MiB
2026/09/06 00:56:26.335, 0, NVIDIA L40S, 91 %, 28959 MiB
2026/09/06 00:56:26.335, 1, NVIDIA L40S, 95 %, 28953 MiB
2026/09/06 00:56:26.335, 2, NVIDIA L40S, 92 %, 28949 MiB
2026/09/06 00:56:26.335, 3, NVIDIA L40S, 92 %, 28945 MiB
2026/09/06 00:56:36.336, 0, NVIDIA L40S, 89 %, 28965 MiB
2026/09/06 00:56:36.336, 1, NVIDIA L40S, 93 %, 28953 MiB
2026/09/06 00:56:36.336, 2, NVIDIA L40S, 95 %, 28949 MiB
