timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 23:44:53.898, 0, NVIDIA L40S, 12 %, 0 MiB
2026/09/05 23:44:53.899, 1, NVIDIA L40S, 12 %, 0 MiB
2026/09/05 23:44:53.899, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:44:53.899, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 23:45:03.901, 0, NVIDIA L40S, 0 %, 455 MiB
2026/09/05 23:45:03.901, 1, NVIDIA L40S, 0 %, 455 MiB
2026/09/05 23:45:03.901, 2, NVIDIA L40S, 0 %, 793 MiB
2026/09/05 23:45:03.901, 3, NVIDIA L40S, 0 %, 795 MiB
2026/09/05 23:45:13.902, 0, NVIDIA L40S, 0 %, 455 MiB
2026/09/05 23:45:13.902, 1, NVIDIA L40S, 0 %, 455 MiB
2026/09/05 23:45:13.903, 2, NVIDIA L40S, 0 %, 795 MiB
2026/09/05 23:45:13.903, 3, NVIDIA L40S, 0 %, 795 MiB
2026/09/05 23:45:23.904, 0, NVIDIA L40S, 35 %, 693 MiB
2026/09/05 23:45:23.904, 1, NVIDIA L40S, 0 %, 455 MiB
2026/09/05 23:45:23.904, 2, NVIDIA L40S, 0 %, 795 MiB
2026/09/05 23:45:23.904, 3, NVIDIA L40S, 44 %, 3511 MiB
2026/09/05 23:45:33.905, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:45:33.905, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:45:33.905, 2, NVIDIA L40S, 0 %, 3671 MiB
2026/09/05 23:45:33.905, 3, NVIDIA L40S, 0 %, 3513 MiB
2026/09/05 23:45:43.906, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:45:43.906, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:45:43.907, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:45:43.907, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:45:53.907, 0, NVIDIA L40S, 23 %, 14047 MiB
2026/09/05 23:45:53.908, 1, NVIDIA L40S, 0 %, 583 MiB
2026/09/05 23:45:53.908, 2, NVIDIA L40S, 26 %, 15451 MiB
2026/09/05 23:45:53.908, 3, NVIDIA L40S, 22 %, 14047 MiB
2026/09/05 23:46:03.909, 0, NVIDIA L40S, 0 %, 27505 MiB
2026/09/05 23:46:03.909, 1, NVIDIA L40S, 0 %, 27505 MiB
2026/09/05 23:46:03.909, 2, NVIDIA L40S, 0 %, 27505 MiB
2026/09/05 23:46:03.909, 3, NVIDIA L40S, 0 %, 27505 MiB
2026/09/05 23:46:13.910, 0, NVIDIA L40S, 93 %, 27623 MiB
2026/09/05 23:46:13.910, 1, NVIDIA L40S, 93 %, 27611 MiB
2026/09/05 23:46:13.910, 2, NVIDIA L40S, 93 %, 27629 MiB
2026/09/05 23:46:13.910, 3, NVIDIA L40S, 94 %, 27619 MiB
2026/09/05 23:46:23.912, 0, NVIDIA L40S, 93 %, 27645 MiB
2026/09/05 23:46:23.912, 1, NVIDIA L40S, 94 %, 27613 MiB
2026/09/05 23:46:23.912, 2, NVIDIA L40S, 94 %, 27647 MiB
2026/09/05 23:46:23.912, 3, NVIDIA L40S, 95 %, 27621 MiB
2026/09/05 23:46:33.913, 0, NVIDIA L40S, 93 %, 27647 MiB
2026/09/05 23:46:33.913, 1, NVIDIA L40S, 96 %, 27613 MiB
2026/09/05 23:46:33.913, 2, NVIDIA L40S, 97 %, 27647 MiB
2026/09/05 23:46:33.913, 3, NVIDIA L40S, 84 %, 27621 MiB
2026/09/05 23:46:43.914, 0, NVIDIA L40S, 93 %, 27655 MiB
2026/09/05 23:46:43.914, 1, NVIDIA L40S, 95 %, 27613 MiB
2026/09/05 23:46:43.915, 2, NVIDIA L40S, 94 %, 27651 MiB
2026/09/05 23:46:43.915, 3, NVIDIA L40S, 79 %, 27643 MiB
2026/09/05 23:46:53.916, 0, NVIDIA L40S, 98 %, 27655 MiB
2026/09/05 23:46:53.916, 1, NVIDIA L40S, 93 %, 27613 MiB
2026/09/05 23:46:53.916, 2, NVIDIA L40S, 94 %, 27651 MiB
2026/09/05 23:46:53.916, 3, NVIDIA L40S, 94 %, 27643 MiB
2026/09/05 23:47:03.917, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:47:03.917, 1, NVIDIA L40S, 36 %, 3 MiB
2026/09/05 23:47:03.917, 2, NVIDIA L40S, 100 %, 3 MiB
2026/09/05 23:47:03.917, 3, NVIDIA L40S, 10 %, 3 MiB
