timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 10:19:53.596, 0, NVIDIA L40S, 1 %, 0 MiB
2026/09/06 10:19:53.597, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 10:19:53.597, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 10:19:53.597, 3, NVIDIA L40S, 7 %, 0 MiB
2026/09/06 10:20:03.598, 0, NVIDIA L40S, 0 %, 547 MiB
2026/09/06 10:20:03.598, 1, NVIDIA L40S, 0 %, 547 MiB
2026/09/06 10:20:03.598, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 10:20:03.598, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 10:20:13.599, 0, NVIDIA L40S, 0 %, 25123 MiB
2026/09/06 10:20:13.599, 1, NVIDIA L40S, 0 %, 25123 MiB
2026/09/06 10:20:13.599, 2, NVIDIA L40S, 0 %, 25123 MiB
2026/09/06 10:20:13.599, 3, NVIDIA L40S, 0 %, 25125 MiB
2026/09/06 10:20:23.600, 0, NVIDIA L40S, 68 %, 25223 MiB
2026/09/06 10:20:23.600, 1, NVIDIA L40S, 59 %, 25225 MiB
2026/09/06 10:20:23.601, 2, NVIDIA L40S, 63 %, 25223 MiB
2026/09/06 10:20:23.601, 3, NVIDIA L40S, 67 %, 25223 MiB
2026/09/06 10:20:33.602, 0, NVIDIA L40S, 69 %, 25225 MiB
2026/09/06 10:20:33.602, 1, NVIDIA L40S, 59 %, 25225 MiB
2026/09/06 10:20:33.602, 2, NVIDIA L40S, 67 %, 25225 MiB
2026/09/06 10:20:33.602, 3, NVIDIA L40S, 74 %, 25227 MiB
2026/09/06 10:20:43.603, 0, NVIDIA L40S, 74 %, 25227 MiB
2026/09/06 10:20:43.603, 1, NVIDIA L40S, 67 %, 25225 MiB
2026/09/06 10:20:43.603, 2, NVIDIA L40S, 68 %, 25225 MiB
2026/09/06 10:20:43.603, 3, NVIDIA L40S, 56 %, 25227 MiB
2026/09/06 10:20:53.604, 0, NVIDIA L40S, 69 %, 25227 MiB
2026/09/06 10:20:53.605, 1, NVIDIA L40S, 59 %, 25225 MiB
2026/09/06 10:20:53.605, 2, NVIDIA L40S, 71 %, 25227 MiB
2026/09/06 10:20:53.605, 3, NVIDIA L40S, 58 %, 25227 MiB
2026/09/06 10:21:03.606, 0, NVIDIA L40S, 63 %, 25227 MiB
2026/09/06 10:21:03.606, 1, NVIDIA L40S, 55 %, 25227 MiB
2026/09/06 10:21:03.606, 2, NVIDIA L40S, 71 %, 25227 MiB
2026/09/06 10:21:03.606, 3, NVIDIA L40S, 70 %, 25227 MiB
2026/09/06 10:21:13.607, 0, NVIDIA L40S, 58 %, 25227 MiB
2026/09/06 10:21:13.607, 1, NVIDIA L40S, 70 %, 25227 MiB
2026/09/06 10:21:13.608, 2, NVIDIA L40S, 65 %, 25227 MiB
2026/09/06 10:21:13.608, 3, NVIDIA L40S, 80 %, 25227 MiB
2026/09/06 10:21:23.608, 0, NVIDIA L40S, 72 %, 25227 MiB
2026/09/06 10:21:23.609, 1, NVIDIA L40S, 76 %, 25227 MiB
2026/09/06 10:21:23.609, 2, NVIDIA L40S, 63 %, 25227 MiB
2026/09/06 10:21:23.609, 3, NVIDIA L40S, 77 %, 25227 MiB
2026/09/06 10:21:33.609, 0, NVIDIA L40S, 54 %, 25227 MiB
2026/09/06 10:21:33.610, 1, NVIDIA L40S, 63 %, 25227 MiB
2026/09/06 10:21:33.610, 2, NVIDIA L40S, 63 %, 25227 MiB
2026/09/06 10:21:33.610, 3, NVIDIA L40S, 62 %, 25227 MiB
2026/09/06 10:21:43.610, 0, NVIDIA L40S, 0 %, 25261 MiB
2026/09/06 10:21:43.611, 1, NVIDIA L40S, 0 %, 25261 MiB
2026/09/06 10:21:43.611, 2, NVIDIA L40S, 0 %, 25261 MiB
2026/09/06 10:21:43.611, 3, NVIDIA L40S, 0 %, 25261 MiB
