timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 09:57:53.908, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 09:57:53.908, 1, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 09:57:53.909, 2, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 09:57:53.909, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 09:58:03.910, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 09:58:03.913, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 09:58:03.916, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 09:58:03.916, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 09:58:13.917, 0, NVIDIA L40S, 1 %, 25173 MiB
2026/09/06 09:58:13.917, 1, NVIDIA L40S, 36 %, 25201 MiB
2026/09/06 09:58:13.917, 2, NVIDIA L40S, 0 %, 25123 MiB
2026/09/06 09:58:13.917, 3, NVIDIA L40S, 0 %, 25123 MiB
2026/09/06 09:58:23.918, 0, NVIDIA L40S, 0 %, 633 MiB
2026/09/06 09:58:23.919, 1, NVIDIA L40S, 0 %, 493 MiB
2026/09/06 09:58:23.919, 2, NVIDIA L40S, 0 %, 493 MiB
2026/09/06 09:58:23.919, 3, NVIDIA L40S, 0 %, 493 MiB
2026/09/06 09:58:33.920, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 09:58:33.920, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 09:58:33.920, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 09:58:33.920, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 09:58:43.921, 0, NVIDIA L40S, 0 %, 27383 MiB
2026/09/06 09:58:43.921, 1, NVIDIA L40S, 1 %, 27403 MiB
2026/09/06 09:58:43.921, 2, NVIDIA L40S, 0 %, 27283 MiB
2026/09/06 09:58:43.921, 3, NVIDIA L40S, 0 %, 27283 MiB
2026/09/06 09:58:53.922, 0, NVIDIA L40S, 94 %, 27523 MiB
2026/09/06 09:58:53.922, 1, NVIDIA L40S, 93 %, 27511 MiB
2026/09/06 09:58:53.922, 2, NVIDIA L40S, 92 %, 27541 MiB
2026/09/06 09:58:53.922, 3, NVIDIA L40S, 94 %, 27517 MiB
2026/09/06 09:59:03.923, 0, NVIDIA L40S, 94 %, 27547 MiB
2026/09/06 09:59:03.923, 1, NVIDIA L40S, 93 %, 27511 MiB
2026/09/06 09:59:03.923, 2, NVIDIA L40S, 93 %, 27545 MiB
2026/09/06 09:59:03.923, 3, NVIDIA L40S, 93 %, 27519 MiB
2026/09/06 09:59:13.924, 0, NVIDIA L40S, 93 %, 27553 MiB
2026/09/06 09:59:13.925, 1, NVIDIA L40S, 94 %, 27511 MiB
2026/09/06 09:59:13.925, 2, NVIDIA L40S, 94 %, 27545 MiB
2026/09/06 09:59:13.925, 3, NVIDIA L40S, 93 %, 27519 MiB
2026/09/06 09:59:23.926, 0, NVIDIA L40S, 94 %, 27553 MiB
2026/09/06 09:59:23.926, 1, NVIDIA L40S, 97 %, 27511 MiB
2026/09/06 09:59:23.926, 2, NVIDIA L40S, 77 %, 27549 MiB
2026/09/06 09:59:23.926, 3, NVIDIA L40S, 93 %, 27541 MiB
2026/09/06 09:59:33.927, 0, NVIDIA L40S, 93 %, 27627 MiB
2026/09/06 09:59:33.927, 1, NVIDIA L40S, 0 %, 27511 MiB
2026/09/06 09:59:33.927, 2, NVIDIA L40S, 90 %, 27551 MiB
2026/09/06 09:59:33.928, 3, NVIDIA L40S, 0 %, 27543 MiB
