timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 00:29:47.878, 0, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 00:29:47.879, 1, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 00:29:47.879, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 00:29:47.879, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 00:29:57.881, 0, NVIDIA L40S, 0 %, 633 MiB
2026/09/06 00:29:57.881, 1, NVIDIA L40S, 0 %, 633 MiB
2026/09/06 00:29:57.881, 2, NVIDIA L40S, 0 %, 493 MiB
2026/09/06 00:29:57.881, 3, NVIDIA L40S, 0 %, 493 MiB
2026/09/06 00:30:07.882, 0, NVIDIA L40S, 95 %, 7335 MiB
2026/09/06 00:30:08.112, 1, NVIDIA L40S, 96 %, 7335 MiB
2026/09/06 00:30:08.116, 2, NVIDIA L40S, 0 %, 6087 MiB
2026/09/06 00:30:08.117, 3, NVIDIA L40S, 35 %, 6295 MiB
2026/09/06 00:30:18.118, 0, NVIDIA L40S, 96 %, 7335 MiB
2026/09/06 00:30:18.118, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 00:30:18.118, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 00:30:18.118, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 00:30:28.119, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 00:30:28.119, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 00:30:28.119, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 00:30:28.119, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 00:30:38.121, 0, NVIDIA L40S, 95 %, 7335 MiB
2026/09/06 00:30:38.121, 1, NVIDIA L40S, 26 %, 3483 MiB
2026/09/06 00:30:38.121, 2, NVIDIA L40S, 24 %, 6295 MiB
2026/09/06 00:30:38.121, 3, NVIDIA L40S, 24 %, 6295 MiB
2026/09/06 00:30:48.122, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 00:30:48.122, 1, NVIDIA L40S, 7 %, 7335 MiB
2026/09/06 00:30:48.122, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 00:30:48.122, 3, NVIDIA L40S, 0 %, 3 MiB
