timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 03:02:30.738, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:02:30.739, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:02:30.739, 2, NVIDIA L40S, 3 %, 0 MiB
2026/09/06 03:02:30.739, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:02:40.740, 0, NVIDIA L40S, 0 %, 793 MiB
2026/09/06 03:02:40.741, 1, NVIDIA L40S, 0 %, 795 MiB
2026/09/06 03:02:40.741, 2, NVIDIA L40S, 0 %, 793 MiB
2026/09/06 03:02:40.741, 3, NVIDIA L40S, 0 %, 795 MiB
2026/09/06 03:02:50.742, 0, NVIDIA L40S, 0 %, 795 MiB
2026/09/06 03:02:50.742, 1, NVIDIA L40S, 0 %, 795 MiB
2026/09/06 03:02:50.742, 2, NVIDIA L40S, 0 %, 6181 MiB
2026/09/06 03:02:50.742, 3, NVIDIA L40S, 0 %, 6181 MiB
2026/09/06 03:03:00.743, 0, NVIDIA L40S, 0 %, 795 MiB
2026/09/06 03:03:00.743, 1, NVIDIA L40S, 0 %, 22303 MiB
2026/09/06 03:03:00.743, 2, NVIDIA L40S, 59 %, 6489 MiB
2026/09/06 03:03:00.743, 3, NVIDIA L40S, 64 %, 7937 MiB
2026/09/06 03:03:10.744, 0, NVIDIA L40S, 0 %, 22303 MiB
2026/09/06 03:03:10.744, 1, NVIDIA L40S, 59 %, 22611 MiB
2026/09/06 03:03:10.745, 2, NVIDIA L40S, 64 %, 8097 MiB
2026/09/06 03:03:10.745, 3, NVIDIA L40S, 84 %, 8177 MiB
2026/09/06 03:03:20.746, 0, NVIDIA L40S, 63 %, 24059 MiB
2026/09/06 03:03:20.746, 1, NVIDIA L40S, 82 %, 24219 MiB
2026/09/06 03:03:20.746, 2, NVIDIA L40S, 92 %, 8177 MiB
2026/09/06 03:03:20.746, 3, NVIDIA L40S, 65 %, 8177 MiB
2026/09/06 03:03:30.747, 0, NVIDIA L40S, 73 %, 24219 MiB
2026/09/06 03:03:30.747, 1, NVIDIA L40S, 88 %, 24219 MiB
2026/09/06 03:03:30.747, 2, NVIDIA L40S, 93 %, 8177 MiB
2026/09/06 03:03:30.747, 3, NVIDIA L40S, 86 %, 8177 MiB
