timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 23:17:15.039, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:17:15.039, 1, NVIDIA L40S, 12 %, 0 MiB
2026/09/05 23:17:15.039, 2, NVIDIA L40S, 10 %, 0 MiB
2026/09/05 23:17:15.040, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:17:25.041, 0, NVIDIA L40S, 12 %, 9583 MiB
2026/09/05 23:17:25.041, 1, NVIDIA L40S, 20 %, 8215 MiB
2026/09/05 23:17:25.041, 2, NVIDIA L40S, 24 %, 9583 MiB
2026/09/05 23:17:25.041, 3, NVIDIA L40S, 21 %, 8215 MiB
2026/09/05 23:17:35.042, 0, NVIDIA L40S, 90 %, 26589 MiB
2026/09/05 23:17:35.042, 1, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:17:35.042, 2, NVIDIA L40S, 90 %, 26589 MiB
2026/09/05 23:17:35.043, 3, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:17:45.043, 0, NVIDIA L40S, 85 %, 26589 MiB
2026/09/05 23:17:45.044, 1, NVIDIA L40S, 88 %, 26591 MiB
2026/09/05 23:17:45.044, 2, NVIDIA L40S, 89 %, 26589 MiB
2026/09/05 23:17:45.044, 3, NVIDIA L40S, 88 %, 26591 MiB
2026/09/05 23:17:55.045, 0, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:17:55.045, 1, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:17:55.045, 2, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 23:17:55.045, 3, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:18:05.046, 0, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 23:18:05.046, 1, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:18:05.046, 2, NVIDIA L40S, 88 %, 26591 MiB
2026/09/05 23:18:05.046, 3, NVIDIA L40S, 91 %, 26591 MiB
2026/09/05 23:18:15.047, 0, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 23:18:15.047, 1, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 23:18:15.047, 2, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:18:15.047, 3, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:18:25.048, 0, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 23:18:25.048, 1, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 23:18:25.048, 2, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 23:18:25.048, 3, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 23:18:35.049, 0, NVIDIA L40S, 88 %, 26591 MiB
2026/09/05 23:18:35.049, 1, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:18:35.049, 2, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:18:35.049, 3, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 23:18:45.050, 0, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 23:18:45.050, 1, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:18:45.050, 2, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:18:45.050, 3, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:18:55.051, 0, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:18:55.051, 1, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:18:55.052, 2, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:18:55.052, 3, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 23:19:05.052, 0, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 23:19:05.053, 1, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:19:05.053, 2, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 23:19:05.053, 3, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 23:19:15.054, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:19:15.054, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:19:15.054, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:19:15.054, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:19:25.055, 0, NVIDIA L40S, 18 %, 3423 MiB
2026/09/05 23:19:25.055, 1, NVIDIA L40S, 18 %, 3423 MiB
2026/09/05 23:19:25.055, 2, NVIDIA L40S, 16 %, 3423 MiB
2026/09/05 23:19:25.055, 3, NVIDIA L40S, 15 %, 3423 MiB
2026/09/05 23:19:35.056, 0, NVIDIA L40S, 97 %, 27333 MiB
2026/09/05 23:19:35.056, 1, NVIDIA L40S, 98 %, 27347 MiB
2026/09/05 23:19:35.056, 2, NVIDIA L40S, 81 %, 27387 MiB
2026/09/05 23:19:35.056, 3, NVIDIA L40S, 93 %, 27411 MiB
2026/09/05 23:19:45.057, 0, NVIDIA L40S, 96 %, 27435 MiB
2026/09/05 23:19:45.057, 1, NVIDIA L40S, 97 %, 27409 MiB
2026/09/05 23:19:45.057, 2, NVIDIA L40S, 85 %, 27437 MiB
2026/09/05 23:19:45.058, 3, NVIDIA L40S, 92 %, 27411 MiB
2026/09/05 23:19:55.058, 0, NVIDIA L40S, 76 %, 27467 MiB
2026/09/05 23:19:55.058, 1, NVIDIA L40S, 97 %, 27409 MiB
2026/09/05 23:19:55.059, 2, NVIDIA L40S, 97 %, 27441 MiB
2026/09/05 23:19:55.059, 3, NVIDIA L40S, 77 %, 27425 MiB
2026/09/05 23:20:05.059, 0, NVIDIA L40S, 97 %, 27467 MiB
2026/09/05 23:20:05.060, 1, NVIDIA L40S, 97 %, 27437 MiB
2026/09/05 23:20:05.060, 2, NVIDIA L40S, 96 %, 27441 MiB
2026/09/05 23:20:05.060, 3, NVIDIA L40S, 86 %, 27437 MiB
2026/09/05 23:20:15.060, 0, NVIDIA L40S, 97 %, 27507 MiB
2026/09/05 23:20:15.061, 1, NVIDIA L40S, 97 %, 27437 MiB
2026/09/05 23:20:15.061, 2, NVIDIA L40S, 97 %, 27501 MiB
2026/09/05 23:20:15.061, 3, NVIDIA L40S, 97 %, 27437 MiB
2026/09/05 23:20:25.062, 0, NVIDIA L40S, 0 %, 27541 MiB
2026/09/05 23:20:25.062, 1, NVIDIA L40S, 0 %, 27471 MiB
2026/09/05 23:20:25.062, 2, NVIDIA L40S, 0 %, 27535 MiB
2026/09/05 23:20:25.062, 3, NVIDIA L40S, 0 %, 27471 MiB
