timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 22:19:20.441, 0, NVIDIA L40S, 12 %, 0 MiB
2026/09/05 22:19:20.441, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:19:20.442, 2, NVIDIA L40S, 12 %, 0 MiB
2026/09/05 22:19:20.442, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 22:19:30.443, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 22:19:30.443, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 22:19:30.443, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/05 22:19:30.444, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/05 22:19:40.445, 0, NVIDIA L40S, 0 %, 25123 MiB
2026/09/05 22:19:40.445, 1, NVIDIA L40S, 26 %, 24079 MiB
2026/09/05 22:19:40.445, 2, NVIDIA L40S, 0 %, 25123 MiB
2026/09/05 22:19:40.445, 3, NVIDIA L40S, 17 %, 24079 MiB
2026/09/05 22:19:50.446, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:19:50.446, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:19:50.446, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:19:50.446, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:20:00.447, 0, NVIDIA L40S, 20 %, 24079 MiB
2026/09/05 22:20:00.447, 1, NVIDIA L40S, 23 %, 26419 MiB
2026/09/05 22:20:00.447, 2, NVIDIA L40S, 19 %, 24079 MiB
2026/09/05 22:20:00.447, 3, NVIDIA L40S, 17 %, 24079 MiB
2026/09/05 22:20:10.448, 0, NVIDIA L40S, 93 %, 27363 MiB
2026/09/05 22:20:10.449, 1, NVIDIA L40S, 93 %, 27351 MiB
2026/09/05 22:20:10.449, 2, NVIDIA L40S, 97 %, 27383 MiB
2026/09/05 22:20:10.449, 3, NVIDIA L40S, 98 %, 27357 MiB
2026/09/05 22:20:20.450, 0, NVIDIA L40S, 93 %, 27467 MiB
2026/09/05 22:20:20.450, 1, NVIDIA L40S, 93 %, 27351 MiB
2026/09/05 22:20:20.450, 2, NVIDIA L40S, 97 %, 27385 MiB
2026/09/05 22:20:20.450, 3, NVIDIA L40S, 85 %, 27381 MiB
