timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 02:04:29.489, 0, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 02:04:29.490, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:04:29.490, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:04:29.490, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:04:39.491, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 02:04:39.492, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 02:04:39.492, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 02:04:39.492, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 02:04:49.493, 0, NVIDIA L40S, 76 %, 25643 MiB
2026/09/06 02:04:49.493, 1, NVIDIA L40S, 67 %, 25441 MiB
2026/09/06 02:04:49.493, 2, NVIDIA L40S, 77 %, 25361 MiB
2026/09/06 02:04:49.493, 3, NVIDIA L40S, 69 %, 25381 MiB
2026/09/06 02:04:59.494, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 02:04:59.494, 1, NVIDIA L40S, 4 %, 3309 MiB
2026/09/06 02:04:59.494, 2, NVIDIA L40S, 4 %, 3331 MiB
2026/09/06 02:04:59.494, 3, NVIDIA L40S, 4 %, 3331 MiB
