timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 01:06:36.353, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:06:36.354, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:06:36.354, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:06:36.355, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:06:46.356, 0, NVIDIA L40S, 0 %, 547 MiB
2026/09/06 01:06:46.356, 1, NVIDIA L40S, 0 %, 547 MiB
2026/09/06 01:06:46.356, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:06:46.356, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:06:56.357, 0, NVIDIA L40S, 68 %, 25949 MiB
2026/09/06 01:06:56.357, 1, NVIDIA L40S, 64 %, 25949 MiB
2026/09/06 01:06:56.357, 2, NVIDIA L40S, 65 %, 25949 MiB
2026/09/06 01:06:56.357, 3, NVIDIA L40S, 60 %, 25949 MiB
2026/09/06 01:07:06.358, 0, NVIDIA L40S, 53 %, 2147 MiB
2026/09/06 01:07:06.359, 1, NVIDIA L40S, 0 %, 987 MiB
2026/09/06 01:07:06.359, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:07:06.359, 3, NVIDIA L40S, 0 %, 989 MiB
2026/09/06 01:07:16.360, 0, NVIDIA L40S, 0 %, 1771 MiB
2026/09/06 01:07:16.360, 1, NVIDIA L40S, 13 %, 1953 MiB
2026/09/06 01:07:16.360, 2, NVIDIA L40S, 20 %, 1771 MiB
2026/09/06 01:07:16.360, 3, NVIDIA L40S, 0 %, 1771 MiB
2026/09/06 01:07:26.361, 0, NVIDIA L40S, 81 %, 29187 MiB
2026/09/06 01:07:26.361, 1, NVIDIA L40S, 82 %, 29163 MiB
2026/09/06 01:07:26.361, 2, NVIDIA L40S, 71 %, 29193 MiB
2026/09/06 01:07:26.361, 3, NVIDIA L40S, 71 %, 29175 MiB
2026/09/06 01:07:36.362, 0, NVIDIA L40S, 81 %, 29247 MiB
2026/09/06 01:07:36.362, 1, NVIDIA L40S, 82 %, 29207 MiB
2026/09/06 01:07:36.362, 2, NVIDIA L40S, 85 %, 29239 MiB
2026/09/06 01:07:36.362, 3, NVIDIA L40S, 82 %, 29197 MiB
2026/09/06 01:07:46.363, 0, NVIDIA L40S, 82 %, 29247 MiB
2026/09/06 01:07:46.363, 1, NVIDIA L40S, 82 %, 29207 MiB
2026/09/06 01:07:46.364, 2, NVIDIA L40S, 85 %, 29239 MiB
2026/09/06 01:07:46.364, 3, NVIDIA L40S, 83 %, 29201 MiB
2026/09/06 01:07:56.365, 0, NVIDIA L40S, 82 %, 29247 MiB
2026/09/06 01:07:56.365, 1, NVIDIA L40S, 94 %, 29207 MiB
2026/09/06 01:07:56.365, 2, NVIDIA L40S, 86 %, 29239 MiB
2026/09/06 01:07:56.365, 3, NVIDIA L40S, 93 %, 29201 MiB
2026/09/06 01:08:06.366, 0, NVIDIA L40S, 82 %, 29247 MiB
2026/09/06 01:08:06.366, 1, NVIDIA L40S, 82 %, 29207 MiB
2026/09/06 01:08:06.366, 2, NVIDIA L40S, 83 %, 29239 MiB
2026/09/06 01:08:06.366, 3, NVIDIA L40S, 83 %, 29219 MiB
2026/09/06 01:08:16.367, 0, NVIDIA L40S, 83 %, 29247 MiB
2026/09/06 01:08:16.367, 1, NVIDIA L40S, 86 %, 29207 MiB
2026/09/06 01:08:16.367, 2, NVIDIA L40S, 75 %, 29239 MiB
2026/09/06 01:08:16.368, 3, NVIDIA L40S, 82 %, 29245 MiB
2026/09/06 01:08:26.369, 0, NVIDIA L40S, 71 %, 29263 MiB
2026/09/06 01:08:26.369, 1, NVIDIA L40S, 83 %, 29209 MiB
2026/09/06 01:08:26.369, 2, NVIDIA L40S, 84 %, 29239 MiB
2026/09/06 01:08:26.369, 3, NVIDIA L40S, 55 %, 29245 MiB
2026/09/06 01:08:36.370, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:08:36.370, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:08:36.370, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:08:36.370, 3, NVIDIA L40S, 0 %, 0 MiB
