timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 01:55:14.407, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:55:14.408, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:55:14.408, 2, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 01:55:14.408, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:55:24.409, 0, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:24.410, 1, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:24.410, 2, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:24.410, 3, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:34.411, 0, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:34.411, 1, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:34.411, 2, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:34.411, 3, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:44.412, 0, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:44.412, 1, NVIDIA L40S, 58 %, 1541 MiB
2026/09/06 01:55:44.412, 2, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:44.412, 3, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:54.413, 0, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:54.413, 1, NVIDIA L40S, 62 %, 1661 MiB
2026/09/06 01:55:54.413, 2, NVIDIA L40S, 0 %, 613 MiB
2026/09/06 01:55:54.413, 3, NVIDIA L40S, 57 %, 1701 MiB
2026/09/06 01:56:04.414, 0, NVIDIA L40S, 39 %, 1541 MiB
2026/09/06 01:56:04.414, 1, NVIDIA L40S, 60 %, 1661 MiB
2026/09/06 01:56:04.415, 2, NVIDIA L40S, 49 %, 1701 MiB
2026/09/06 01:56:04.415, 3, NVIDIA L40S, 56 %, 1701 MiB
2026/09/06 01:56:14.415, 0, NVIDIA L40S, 55 %, 1621 MiB
2026/09/06 01:56:14.416, 1, NVIDIA L40S, 55 %, 1661 MiB
2026/09/06 01:56:14.416, 2, NVIDIA L40S, 44 %, 1701 MiB
2026/09/06 01:56:14.416, 3, NVIDIA L40S, 53 %, 1701 MiB
2026/09/06 01:56:24.417, 0, NVIDIA L40S, 49 %, 1661 MiB
2026/09/06 01:56:24.417, 1, NVIDIA L40S, 55 %, 1661 MiB
2026/09/06 01:56:24.417, 2, NVIDIA L40S, 51 %, 1701 MiB
2026/09/06 01:56:24.417, 3, NVIDIA L40S, 48 %, 1701 MiB
2026/09/06 01:56:34.418, 0, NVIDIA L40S, 38 %, 1661 MiB
2026/09/06 01:56:34.418, 1, NVIDIA L40S, 62 %, 1661 MiB
2026/09/06 01:56:34.418, 2, NVIDIA L40S, 47 %, 1701 MiB
2026/09/06 01:56:34.418, 3, NVIDIA L40S, 52 %, 1701 MiB
2026/09/06 01:56:44.419, 0, NVIDIA L40S, 30 %, 1661 MiB
2026/09/06 01:56:44.419, 1, NVIDIA L40S, 63 %, 1661 MiB
2026/09/06 01:56:44.419, 2, NVIDIA L40S, 31 %, 1701 MiB
2026/09/06 01:56:44.420, 3, NVIDIA L40S, 55 %, 1701 MiB
2026/09/06 01:56:54.420, 0, NVIDIA L40S, 51 %, 1661 MiB
2026/09/06 01:56:54.421, 1, NVIDIA L40S, 60 %, 1661 MiB
2026/09/06 01:56:54.421, 2, NVIDIA L40S, 51 %, 1701 MiB
2026/09/06 01:56:54.421, 3, NVIDIA L40S, 52 %, 1701 MiB
2026/09/06 01:57:04.421, 0, NVIDIA L40S, 47 %, 1661 MiB
2026/09/06 01:57:04.422, 1, NVIDIA L40S, 59 %, 1661 MiB
2026/09/06 01:57:04.422, 2, NVIDIA L40S, 57 %, 1701 MiB
2026/09/06 01:57:04.422, 3, NVIDIA L40S, 56 %, 1701 MiB
2026/09/06 01:57:14.423, 0, NVIDIA L40S, 54 %, 1661 MiB
2026/09/06 01:57:14.423, 1, NVIDIA L40S, 62 %, 1661 MiB
2026/09/06 01:57:14.423, 2, NVIDIA L40S, 33 %, 1701 MiB
2026/09/06 01:57:14.423, 3, NVIDIA L40S, 48 %, 1701 MiB
2026/09/06 01:57:24.424, 0, NVIDIA L40S, 52 %, 1661 MiB
2026/09/06 01:57:24.424, 1, NVIDIA L40S, 57 %, 1661 MiB
2026/09/06 01:57:24.424, 2, NVIDIA L40S, 51 %, 1701 MiB
2026/09/06 01:57:24.424, 3, NVIDIA L40S, 48 %, 1701 MiB
2026/09/06 01:57:34.425, 0, NVIDIA L40S, 49 %, 1661 MiB
2026/09/06 01:57:34.425, 1, NVIDIA L40S, 57 %, 1661 MiB
2026/09/06 01:57:34.425, 2, NVIDIA L40S, 55 %, 1701 MiB
2026/09/06 01:57:34.425, 3, NVIDIA L40S, 48 %, 1701 MiB
2026/09/06 01:57:44.426, 0, NVIDIA L40S, 31 %, 1661 MiB
2026/09/06 01:57:44.426, 1, NVIDIA L40S, 61 %, 1661 MiB
2026/09/06 01:57:44.426, 2, NVIDIA L40S, 56 %, 1701 MiB
2026/09/06 01:57:44.426, 3, NVIDIA L40S, 59 %, 1701 MiB
2026/09/06 01:57:54.427, 0, NVIDIA L40S, 55 %, 1661 MiB
2026/09/06 01:57:54.427, 1, NVIDIA L40S, 57 %, 1661 MiB
2026/09/06 01:57:54.427, 2, NVIDIA L40S, 40 %, 1701 MiB
2026/09/06 01:57:54.427, 3, NVIDIA L40S, 57 %, 1701 MiB
2026/09/06 01:58:04.428, 0, NVIDIA L40S, 36 %, 1661 MiB
2026/09/06 01:58:04.428, 1, NVIDIA L40S, 56 %, 1661 MiB
2026/09/06 01:58:04.428, 2, NVIDIA L40S, 49 %, 1701 MiB
2026/09/06 01:58:04.428, 3, NVIDIA L40S, 58 %, 1701 MiB
2026/09/06 01:58:14.429, 0, NVIDIA L40S, 53 %, 1661 MiB
2026/09/06 01:58:14.429, 1, NVIDIA L40S, 54 %, 1661 MiB
2026/09/06 01:58:14.429, 2, NVIDIA L40S, 49 %, 1701 MiB
2026/09/06 01:58:14.429, 3, NVIDIA L40S, 47 %, 1701 MiB
2026/09/06 01:58:24.430, 0, NVIDIA L40S, 54 %, 1661 MiB
2026/09/06 01:58:24.430, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:58:24.430, 2, NVIDIA L40S, 54 %, 1701 MiB
2026/09/06 01:58:24.430, 3, NVIDIA L40S, 53 %, 1701 MiB
2026/09/06 01:58:34.431, 0, NVIDIA L40S, 61 %, 1661 MiB
2026/09/06 01:58:34.432, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:58:34.432, 2, NVIDIA L40S, 41 %, 1701 MiB
2026/09/06 01:58:34.432, 3, NVIDIA L40S, 31 %, 1701 MiB
2026/09/06 01:58:44.433, 0, NVIDIA L40S, 59 %, 1661 MiB
2026/09/06 01:58:44.433, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:58:44.433, 2, NVIDIA L40S, 37 %, 1701 MiB
2026/09/06 01:58:44.433, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:58:54.434, 0, NVIDIA L40S, 53 %, 1661 MiB
2026/09/06 01:58:54.435, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:58:54.435, 2, NVIDIA L40S, 42 %, 1701 MiB
2026/09/06 01:58:54.435, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:59:04.436, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:59:04.436, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:59:04.436, 2, NVIDIA L40S, 54 %, 1701 MiB
2026/09/06 01:59:04.436, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:59:14.437, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:59:14.438, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:59:14.438, 2, NVIDIA L40S, 27 %, 1701 MiB
2026/09/06 01:59:14.438, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:59:24.439, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:59:24.439, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:59:24.439, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:59:24.439, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:59:34.440, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:59:34.440, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:59:34.441, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:59:34.441, 3, NVIDIA L40S, 0 %, 0 MiB
