timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 10:23:45.114, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 10:23:45.115, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 10:23:45.115, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 10:23:45.115, 3, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 10:23:55.117, 0, NVIDIA L40S, 12 %, 12837 MiB
2026/09/06 10:23:55.117, 1, NVIDIA L40S, 17 %, 12837 MiB
2026/09/06 10:23:55.117, 2, NVIDIA L40S, 6 %, 12837 MiB
2026/09/06 10:23:55.117, 3, NVIDIA L40S, 24 %, 15165 MiB
2026/09/06 10:24:05.118, 0, NVIDIA L40S, 88 %, 29527 MiB
2026/09/06 10:24:05.118, 1, NVIDIA L40S, 79 %, 29499 MiB
2026/09/06 10:24:05.118, 2, NVIDIA L40S, 76 %, 29531 MiB
2026/09/06 10:24:05.118, 3, NVIDIA L40S, 87 %, 29515 MiB
2026/09/06 10:24:15.119, 0, NVIDIA L40S, 88 %, 29559 MiB
2026/09/06 10:24:15.120, 1, NVIDIA L40S, 85 %, 29639 MiB
2026/09/06 10:24:15.120, 2, NVIDIA L40S, 81 %, 29765 MiB
2026/09/06 10:24:15.120, 3, NVIDIA L40S, 83 %, 29589 MiB
2026/09/06 10:24:25.121, 0, NVIDIA L40S, 85 %, 29675 MiB
2026/09/06 10:24:25.121, 1, NVIDIA L40S, 77 %, 29813 MiB
2026/09/06 10:24:25.121, 2, NVIDIA L40S, 85 %, 29965 MiB
2026/09/06 10:24:25.121, 3, NVIDIA L40S, 82 %, 29589 MiB
2026/09/06 10:24:35.122, 0, NVIDIA L40S, 85 %, 29675 MiB
2026/09/06 10:24:35.122, 1, NVIDIA L40S, 79 %, 29973 MiB
2026/09/06 10:24:35.122, 2, NVIDIA L40S, 85 %, 29965 MiB
2026/09/06 10:24:35.122, 3, NVIDIA L40S, 83 %, 29589 MiB
2026/09/06 10:24:45.124, 0, NVIDIA L40S, 84 %, 29755 MiB
2026/09/06 10:24:45.124, 1, NVIDIA L40S, 82 %, 29973 MiB
2026/09/06 10:24:45.124, 2, NVIDIA L40S, 86 %, 29965 MiB
2026/09/06 10:24:45.124, 3, NVIDIA L40S, 92 %, 29589 MiB
2026/09/06 10:24:55.125, 0, NVIDIA L40S, 85 %, 29755 MiB
2026/09/06 10:24:55.125, 1, NVIDIA L40S, 82 %, 29973 MiB
2026/09/06 10:24:55.125, 2, NVIDIA L40S, 86 %, 29965 MiB
2026/09/06 10:24:55.125, 3, NVIDIA L40S, 81 %, 29663 MiB
2026/09/06 10:25:05.126, 0, NVIDIA L40S, 84 %, 29755 MiB
2026/09/06 10:25:05.126, 1, NVIDIA L40S, 81 %, 29973 MiB
2026/09/06 10:25:05.127, 2, NVIDIA L40S, 86 %, 29965 MiB
2026/09/06 10:25:05.127, 3, NVIDIA L40S, 84 %, 29663 MiB
2026/09/06 10:25:15.128, 0, NVIDIA L40S, 84 %, 29755 MiB
2026/09/06 10:25:15.128, 1, NVIDIA L40S, 82 %, 29973 MiB
2026/09/06 10:25:15.128, 2, NVIDIA L40S, 86 %, 29965 MiB
2026/09/06 10:25:15.128, 3, NVIDIA L40S, 83 %, 29663 MiB
2026/09/06 10:25:25.129, 0, NVIDIA L40S, 95 %, 29755 MiB
2026/09/06 10:25:25.129, 1, NVIDIA L40S, 79 %, 29973 MiB
2026/09/06 10:25:25.129, 2, NVIDIA L40S, 84 %, 29965 MiB
2026/09/06 10:25:25.129, 3, NVIDIA L40S, 93 %, 29663 MiB
2026/09/06 10:25:35.130, 0, NVIDIA L40S, 89 %, 29755 MiB
2026/09/06 10:25:35.131, 1, NVIDIA L40S, 81 %, 29973 MiB
2026/09/06 10:25:35.131, 2, NVIDIA L40S, 84 %, 29965 MiB
2026/09/06 10:25:35.131, 3, NVIDIA L40S, 89 %, 29663 MiB
2026/09/06 10:25:45.132, 0, NVIDIA L40S, 85 %, 29859 MiB
2026/09/06 10:25:45.132, 1, NVIDIA L40S, 80 %, 29973 MiB
2026/09/06 10:25:45.132, 2, NVIDIA L40S, 94 %, 29965 MiB
2026/09/06 10:25:45.132, 3, NVIDIA L40S, 83 %, 29773 MiB
2026/09/06 10:25:55.133, 0, NVIDIA L40S, 86 %, 29859 MiB
2026/09/06 10:25:55.133, 1, NVIDIA L40S, 89 %, 29973 MiB
2026/09/06 10:25:55.133, 2, NVIDIA L40S, 95 %, 29965 MiB
2026/09/06 10:25:55.133, 3, NVIDIA L40S, 84 %, 29773 MiB
2026/09/06 10:26:05.134, 0, NVIDIA L40S, 85 %, 30027 MiB
2026/09/06 10:26:05.135, 1, NVIDIA L40S, 89 %, 29973 MiB
2026/09/06 10:26:05.135, 2, NVIDIA L40S, 97 %, 29965 MiB
2026/09/06 10:26:05.135, 3, NVIDIA L40S, 93 %, 29773 MiB
2026/09/06 10:26:15.136, 0, NVIDIA L40S, 86 %, 30149 MiB
2026/09/06 10:26:15.353, 1, NVIDIA L40S, 90 %, 29973 MiB
2026/09/06 10:26:15.353, 2, NVIDIA L40S, 90 %, 29965 MiB
2026/09/06 10:26:15.353, 3, NVIDIA L40S, 81 %, 29773 MiB
2026/09/06 10:26:25.354, 0, NVIDIA L40S, 87 %, 30149 MiB
2026/09/06 10:26:25.354, 1, NVIDIA L40S, 80 %, 29973 MiB
2026/09/06 10:26:25.355, 2, NVIDIA L40S, 85 %, 29965 MiB
2026/09/06 10:26:25.355, 3, NVIDIA L40S, 82 %, 29773 MiB
2026/09/06 10:26:35.355, 0, NVIDIA L40S, 88 %, 30149 MiB
2026/09/06 10:26:35.356, 1, NVIDIA L40S, 82 %, 29973 MiB
2026/09/06 10:26:35.356, 2, NVIDIA L40S, 85 %, 29965 MiB
2026/09/06 10:26:35.356, 3, NVIDIA L40S, 84 %, 29773 MiB
2026/09/06 10:26:45.357, 0, NVIDIA L40S, 88 %, 30149 MiB
2026/09/06 10:26:45.357, 1, NVIDIA L40S, 83 %, 29973 MiB
2026/09/06 10:26:45.357, 2, NVIDIA L40S, 86 %, 29965 MiB
2026/09/06 10:26:45.357, 3, NVIDIA L40S, 82 %, 29773 MiB
2026/09/06 10:26:55.358, 0, NVIDIA L40S, 85 %, 30149 MiB
2026/09/06 10:26:55.358, 1, NVIDIA L40S, 88 %, 29973 MiB
2026/09/06 10:26:55.359, 2, NVIDIA L40S, 84 %, 29965 MiB
2026/09/06 10:26:55.359, 3, NVIDIA L40S, 83 %, 29773 MiB
2026/09/06 10:27:05.360, 0, NVIDIA L40S, 95 %, 30149 MiB
2026/09/06 10:27:05.360, 1, NVIDIA L40S, 88 %, 29973 MiB
2026/09/06 10:27:05.360, 2, NVIDIA L40S, 94 %, 29965 MiB
2026/09/06 10:27:05.360, 3, NVIDIA L40S, 92 %, 29773 MiB
2026/09/06 10:27:15.361, 0, NVIDIA L40S, 96 %, 30149 MiB
2026/09/06 10:27:15.361, 1, NVIDIA L40S, 73 %, 29973 MiB
