timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 10:01:32.595, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 10:01:32.596, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 10:01:32.596, 2, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 10:01:32.596, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 10:01:42.597, 0, NVIDIA L40S, 0 %, 547 MiB
2026/09/06 10:01:42.598, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 10:01:42.598, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 10:01:42.598, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 10:01:52.599, 0, NVIDIA L40S, 0 %, 29093 MiB
2026/09/06 10:01:52.599, 1, NVIDIA L40S, 0 %, 29093 MiB
2026/09/06 10:01:52.599, 2, NVIDIA L40S, 1 %, 29093 MiB
2026/09/06 10:01:52.599, 3, NVIDIA L40S, 0 %, 29093 MiB
2026/09/06 10:02:02.600, 0, NVIDIA L40S, 95 %, 29527 MiB
2026/09/06 10:02:02.600, 1, NVIDIA L40S, 86 %, 29579 MiB
2026/09/06 10:02:02.600, 2, NVIDIA L40S, 74 %, 29629 MiB
2026/09/06 10:02:02.600, 3, NVIDIA L40S, 81 %, 29585 MiB
2026/09/06 10:02:12.601, 0, NVIDIA L40S, 82 %, 29675 MiB
2026/09/06 10:02:12.601, 1, NVIDIA L40S, 73 %, 29763 MiB
2026/09/06 10:02:12.601, 2, NVIDIA L40S, 80 %, 29965 MiB
2026/09/06 10:02:12.602, 3, NVIDIA L40S, 82 %, 29589 MiB
2026/09/06 10:02:22.603, 0, NVIDIA L40S, 83 %, 29675 MiB
2026/09/06 10:02:22.603, 1, NVIDIA L40S, 84 %, 29973 MiB
2026/09/06 10:02:22.603, 2, NVIDIA L40S, 87 %, 29965 MiB
2026/09/06 10:02:22.603, 3, NVIDIA L40S, 83 %, 29589 MiB
2026/09/06 10:02:32.604, 0, NVIDIA L40S, 85 %, 29675 MiB
2026/09/06 10:02:32.604, 1, NVIDIA L40S, 83 %, 29973 MiB
2026/09/06 10:02:32.604, 2, NVIDIA L40S, 84 %, 29965 MiB
2026/09/06 10:02:32.604, 3, NVIDIA L40S, 94 %, 29589 MiB
2026/09/06 10:02:42.605, 0, NVIDIA L40S, 83 %, 29755 MiB
2026/09/06 10:02:42.605, 1, NVIDIA L40S, 83 %, 29973 MiB
