timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 23:26:32.975, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:26:32.976, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:26:32.976, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:26:32.976, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 23:26:42.977, 0, NVIDIA L40S, 18 %, 8215 MiB
2026/09/05 23:26:42.978, 1, NVIDIA L40S, 18 %, 8215 MiB
2026/09/05 23:26:42.978, 2, NVIDIA L40S, 18 %, 8215 MiB
2026/09/05 23:26:42.978, 3, NVIDIA L40S, 18 %, 8215 MiB
2026/09/05 23:26:52.978, 0, NVIDIA L40S, 87 %, 25635 MiB
2026/09/05 23:26:52.979, 1, NVIDIA L40S, 89 %, 25637 MiB
2026/09/05 23:26:52.979, 2, NVIDIA L40S, 84 %, 25635 MiB
2026/09/05 23:26:52.979, 3, NVIDIA L40S, 90 %, 25637 MiB
2026/09/05 23:27:02.979, 0, NVIDIA L40S, 85 %, 25637 MiB
2026/09/05 23:27:02.980, 1, NVIDIA L40S, 82 %, 25637 MiB
2026/09/05 23:27:02.980, 2, NVIDIA L40S, 87 %, 25637 MiB
2026/09/05 23:27:02.980, 3, NVIDIA L40S, 90 %, 25637 MiB
2026/09/05 23:27:12.981, 0, NVIDIA L40S, 88 %, 25637 MiB
2026/09/05 23:27:12.981, 1, NVIDIA L40S, 89 %, 25637 MiB
2026/09/05 23:27:12.981, 2, NVIDIA L40S, 88 %, 25637 MiB
2026/09/05 23:27:12.981, 3, NVIDIA L40S, 70 %, 25637 MiB
2026/09/05 23:27:22.982, 0, NVIDIA L40S, 82 %, 25637 MiB
2026/09/05 23:27:22.982, 1, NVIDIA L40S, 85 %, 25637 MiB
2026/09/05 23:27:22.982, 2, NVIDIA L40S, 87 %, 25637 MiB
2026/09/05 23:27:22.982, 3, NVIDIA L40S, 88 %, 25637 MiB
2026/09/05 23:27:32.983, 0, NVIDIA L40S, 87 %, 25637 MiB
2026/09/05 23:27:32.983, 1, NVIDIA L40S, 91 %, 25637 MiB
2026/09/05 23:27:32.983, 2, NVIDIA L40S, 80 %, 25637 MiB
2026/09/05 23:27:32.983, 3, NVIDIA L40S, 86 %, 25637 MiB
2026/09/05 23:27:42.984, 0, NVIDIA L40S, 83 %, 25637 MiB
2026/09/05 23:27:42.985, 1, NVIDIA L40S, 86 %, 25637 MiB
2026/09/05 23:27:42.985, 2, NVIDIA L40S, 86 %, 25637 MiB
2026/09/05 23:27:42.985, 3, NVIDIA L40S, 90 %, 25637 MiB
2026/09/05 23:27:52.986, 0, NVIDIA L40S, 84 %, 25637 MiB
2026/09/05 23:27:52.986, 1, NVIDIA L40S, 81 %, 25637 MiB
2026/09/05 23:27:52.986, 2, NVIDIA L40S, 91 %, 25637 MiB
2026/09/05 23:27:52.986, 3, NVIDIA L40S, 86 %, 25637 MiB
2026/09/05 23:28:02.987, 0, NVIDIA L40S, 75 %, 25637 MiB
2026/09/05 23:28:02.987, 1, NVIDIA L40S, 83 %, 25637 MiB
2026/09/05 23:28:02.987, 2, NVIDIA L40S, 90 %, 25637 MiB
2026/09/05 23:28:02.987, 3, NVIDIA L40S, 87 %, 25637 MiB
2026/09/05 23:28:12.988, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:28:12.988, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:28:12.988, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:28:12.988, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:28:22.989, 0, NVIDIA L40S, 18 %, 7643 MiB
2026/09/05 23:28:22.989, 1, NVIDIA L40S, 18 %, 7643 MiB
2026/09/05 23:28:22.989, 2, NVIDIA L40S, 18 %, 7643 MiB
2026/09/05 23:28:22.989, 3, NVIDIA L40S, 5 %, 9499 MiB
2026/09/05 23:28:32.990, 0, NVIDIA L40S, 97 %, 27253 MiB
2026/09/05 23:28:32.991, 1, NVIDIA L40S, 84 %, 27305 MiB
2026/09/05 23:28:32.991, 2, NVIDIA L40S, 93 %, 27355 MiB
2026/09/05 23:28:32.991, 3, NVIDIA L40S, 97 %, 27337 MiB
2026/09/05 23:28:42.992, 0, NVIDIA L40S, 97 %, 27355 MiB
2026/09/05 23:28:42.992, 1, NVIDIA L40S, 95 %, 27333 MiB
2026/09/05 23:28:42.992, 2, NVIDIA L40S, 82 %, 27355 MiB
2026/09/05 23:28:42.992, 3, NVIDIA L40S, 97 %, 27339 MiB
2026/09/05 23:28:52.993, 0, NVIDIA L40S, 86 %, 27387 MiB
2026/09/05 23:28:52.993, 1, NVIDIA L40S, 96 %, 27333 MiB
2026/09/05 23:28:52.993, 2, NVIDIA L40S, 97 %, 27361 MiB
2026/09/05 23:28:52.993, 3, NVIDIA L40S, 93 %, 27357 MiB
2026/09/05 23:29:02.994, 0, NVIDIA L40S, 96 %, 27387 MiB
2026/09/05 23:29:02.995, 1, NVIDIA L40S, 93 %, 27359 MiB
2026/09/05 23:29:02.995, 2, NVIDIA L40S, 97 %, 27361 MiB
2026/09/05 23:29:02.995, 3, NVIDIA L40S, 93 %, 27357 MiB
2026/09/05 23:29:12.996, 0, NVIDIA L40S, 97 %, 27427 MiB
2026/09/05 23:29:12.996, 1, NVIDIA L40S, 81 %, 27359 MiB
2026/09/05 23:29:12.996, 2, NVIDIA L40S, 97 %, 27421 MiB
2026/09/05 23:29:12.996, 3, NVIDIA L40S, 81 %, 27357 MiB
2026/09/05 23:29:22.997, 0, NVIDIA L40S, 92 %, 27427 MiB
2026/09/05 23:29:22.997, 1, NVIDIA L40S, 0 %, 27359 MiB
2026/09/05 23:29:22.997, 2, NVIDIA L40S, 0 %, 27421 MiB
2026/09/05 23:29:22.998, 3, NVIDIA L40S, 0 %, 27357 MiB
