timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 22:50:37.173, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:50:37.174, 1, NVIDIA L40S, 1 %, 0 MiB
2026/09/05 22:50:37.174, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:50:37.174, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:50:47.176, 0, NVIDIA L40S, 21 %, 11167 MiB
2026/09/05 22:50:47.176, 1, NVIDIA L40S, 8 %, 13027 MiB
2026/09/05 22:50:47.176, 2, NVIDIA L40S, 18 %, 13219 MiB
2026/09/05 22:50:47.176, 3, NVIDIA L40S, 21 %, 11167 MiB
2026/09/05 22:50:57.177, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:50:57.177, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:50:57.177, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:50:57.177, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:51:07.178, 0, NVIDIA L40S, 21 %, 17863 MiB
2026/09/05 22:51:07.178, 1, NVIDIA L40S, 3 %, 20691 MiB
2026/09/05 22:51:07.179, 2, NVIDIA L40S, 21 %, 17863 MiB
2026/09/05 22:51:07.179, 3, NVIDIA L40S, 23 %, 20563 MiB
2026/09/05 22:51:17.179, 0, NVIDIA L40S, 93 %, 27283 MiB
2026/09/05 22:51:17.180, 1, NVIDIA L40S, 95 %, 27271 MiB
2026/09/05 22:51:17.180, 2, NVIDIA L40S, 94 %, 27295 MiB
2026/09/05 22:51:17.180, 3, NVIDIA L40S, 90 %, 27279 MiB
2026/09/05 22:51:27.181, 0, NVIDIA L40S, 79 %, 27387 MiB
2026/09/05 22:51:27.181, 1, NVIDIA L40S, 93 %, 27271 MiB
2026/09/05 22:51:27.181, 2, NVIDIA L40S, 94 %, 27303 MiB
2026/09/05 22:51:27.181, 3, NVIDIA L40S, 90 %, 27299 MiB
