timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 22:22:38.470, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:22:38.471, 1, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 22:22:38.471, 2, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 22:22:38.472, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:22:48.473, 0, NVIDIA L40S, 20 %, 6867 MiB
2026/09/05 22:22:48.473, 1, NVIDIA L40S, 17 %, 8311 MiB
2026/09/05 22:22:48.473, 2, NVIDIA L40S, 20 %, 6867 MiB
2026/09/05 22:22:48.473, 3, NVIDIA L40S, 28 %, 8311 MiB
2026/09/05 22:22:58.474, 0, NVIDIA L40S, 100 %, 3 MiB
2026/09/05 22:22:58.474, 1, NVIDIA L40S, 100 %, 3 MiB
2026/09/05 22:22:58.474, 2, NVIDIA L40S, 100 %, 3 MiB
2026/09/05 22:22:58.474, 3, NVIDIA L40S, 100 %, 3 MiB
2026/09/05 22:23:08.475, 0, NVIDIA L40S, 21 %, 15111 MiB
2026/09/05 22:23:08.475, 1, NVIDIA L40S, 26 %, 18427 MiB
2026/09/05 22:23:08.475, 2, NVIDIA L40S, 21 %, 15111 MiB
2026/09/05 22:23:08.475, 3, NVIDIA L40S, 26 %, 18107 MiB
2026/09/05 22:23:18.476, 0, NVIDIA L40S, 87 %, 27263 MiB
2026/09/05 22:23:18.476, 1, NVIDIA L40S, 92 %, 27271 MiB
2026/09/05 22:23:18.476, 2, NVIDIA L40S, 93 %, 27291 MiB
2026/09/05 22:23:18.476, 3, NVIDIA L40S, 91 %, 27279 MiB
2026/09/05 22:23:28.477, 0, NVIDIA L40S, 78 %, 27333 MiB
2026/09/05 22:23:28.477, 1, NVIDIA L40S, 93 %, 27271 MiB
2026/09/05 22:23:28.477, 2, NVIDIA L40S, 93 %, 27303 MiB
2026/09/05 22:23:28.477, 3, NVIDIA L40S, 92 %, 27299 MiB
