timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 22:48:29.521, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:48:29.521, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:48:29.522, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:48:29.522, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 22:48:39.523, 0, NVIDIA L40S, 4 %, 8311 MiB
2026/09/05 22:48:39.524, 1, NVIDIA L40S, 15 %, 8311 MiB
2026/09/05 22:48:39.524, 2, NVIDIA L40S, 18 %, 8311 MiB
2026/09/05 22:48:39.524, 3, NVIDIA L40S, 25 %, 9775 MiB
2026/09/05 22:48:49.525, 0, NVIDIA L40S, 100 %, 3 MiB
2026/09/05 22:48:49.525, 1, NVIDIA L40S, 100 %, 3 MiB
2026/09/05 22:48:49.525, 2, NVIDIA L40S, 100 %, 3 MiB
2026/09/05 22:48:49.525, 3, NVIDIA L40S, 36 %, 3 MiB
2026/09/05 22:48:59.526, 0, NVIDIA L40S, 26 %, 19819 MiB
2026/09/05 22:48:59.526, 1, NVIDIA L40S, 13 %, 19915 MiB
2026/09/05 22:48:59.526, 2, NVIDIA L40S, 23 %, 19915 MiB
2026/09/05 22:48:59.526, 3, NVIDIA L40S, 26 %, 19171 MiB
2026/09/05 22:49:09.527, 0, NVIDIA L40S, 83 %, 27283 MiB
2026/09/05 22:49:09.527, 1, NVIDIA L40S, 88 %, 27271 MiB
2026/09/05 22:49:09.527, 2, NVIDIA L40S, 95 %, 27303 MiB
2026/09/05 22:49:09.527, 3, NVIDIA L40S, 97 %, 27279 MiB
2026/09/05 22:49:19.528, 0, NVIDIA L40S, 84 %, 27385 MiB
2026/09/05 22:49:19.528, 1, NVIDIA L40S, 90 %, 27271 MiB
2026/09/05 22:49:19.528, 2, NVIDIA L40S, 97 %, 27309 MiB
2026/09/05 22:49:19.528, 3, NVIDIA L40S, 97 %, 27299 MiB
