timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 22:20:31.093, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:20:31.093, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:20:31.094, 2, NVIDIA L40S, 10 %, 0 MiB
2026/09/05 22:20:31.094, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 22:20:41.095, 0, NVIDIA L40S, 27 %, 10519 MiB
2026/09/05 22:20:41.095, 1, NVIDIA L40S, 27 %, 12155 MiB
2026/09/05 22:20:41.095, 2, NVIDIA L40S, 22 %, 10147 MiB
2026/09/05 22:20:41.095, 3, NVIDIA L40S, 15 %, 10147 MiB
2026/09/05 22:20:51.096, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:20:51.097, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:20:51.097, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:20:51.097, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:21:01.098, 0, NVIDIA L40S, 19 %, 19723 MiB
2026/09/05 22:21:01.098, 1, NVIDIA L40S, 20 %, 19723 MiB
2026/09/05 22:21:01.098, 2, NVIDIA L40S, 19 %, 19723 MiB
2026/09/05 22:21:01.098, 3, NVIDIA L40S, 19 %, 19723 MiB
2026/09/05 22:21:11.099, 0, NVIDIA L40S, 93 %, 27283 MiB
2026/09/05 22:21:11.099, 1, NVIDIA L40S, 93 %, 27271 MiB
2026/09/05 22:21:11.099, 2, NVIDIA L40S, 89 %, 27295 MiB
2026/09/05 22:21:11.099, 3, NVIDIA L40S, 97 %, 27279 MiB
2026/09/05 22:21:21.100, 0, NVIDIA L40S, 82 %, 27387 MiB
2026/09/05 22:21:21.100, 1, NVIDIA L40S, 94 %, 27271 MiB
2026/09/05 22:21:21.100, 2, NVIDIA L40S, 90 %, 27303 MiB
2026/09/05 22:21:21.100, 3, NVIDIA L40S, 97 %, 27299 MiB
